------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"Oklahoma",40000,30.8,1200804,"8 of 52"
"United States",00000,32.4,104105673,"N/A"
"Payne County",40119,22.9,18483,"22 of 3141"
"Custer County",40039,26.5,7729,"95 of 3141"
"Woods County",40151,26.6,2427,"101 of 3141"
"Texas County",40139,28.2,6042,"201 of 3141"
"Comanche County",40031,28.5,35079,"233 of 3141"
"Cherokee County",40021,28.8,13959,"260 of 3141"
"Garfield County",40047,29.0,18088,"273 of 3141"
"Pontotoc County",40123,29.0,11120,"283 of 3141"
"Jackson County",40065,29.3,7482,"303 of 3141"
"Cleveland County",40027,29.3,80366,"307 of 3141"
"Cimarron County",40025,29.8,661,"365 of 3141"
"Oklahoma County",40109,29.8,231014,"375 of 3141"
"Kay County",40071,30.0,13539,"393 of 3141"
"Latimer County",40077,30.0,3189,"400 of 3141"
"Bryan County",40013,30.2,13601,"425 of 3141"
"Ottawa County",40115,30.3,9627,"457 of 3141"
"Haskell County",40061,30.7,3910,"522 of 3141"
"Tulsa County",40143,30.8,196165,"548 of 3141"
"Woodward County",40153,30.8,6511,"553 of 3141"
"Hughes County",40063,31.1,4200,"614 of 3141"
"Beckham County",40009,31.2,7172,"652 of 3141"
"Caddo County",40015,31.3,9222,"681 of 3141"
"Washita County",40149,31.3,3619,"685 of 3141"
"Washington County",40147,31.3,16258,"687 of 3141"
"Muskogee County",40101,31.3,21777,"688 of 3141"
"Love County",40085,31.4,3091,"706 of 3141"
"Harper County",40059,31.4,1207,"708 of 3141"
"Johnston County",40069,31.4,3468,"711 of 3141"
"Garvin County",40049,31.4,8720,"714 of 3141"
"Dewey County",40043,31.4,1542,"725 of 3141"
"Marshall County",40095,31.6,5126,"772 of 3141"
"Pottawatomie County",40125,31.6,22663,"788 of 3141"
"Okmulgee County",40111,31.7,12399,"803 of 3141"
"McCurtain County",40089,31.7,10484,"823 of 3141"
"Canadian County",40017,31.8,42300,"842 of 3141"
"Coal County",40029,31.8,1804,"850 of 3141"
"Greer County",40055,31.9,1917,"857 of 3141"
"Seminole County",40133,32.0,8068,"890 of 3141"
"Major County",40093,32.0,2473,"905 of 3141"
"Carter County",40019,32.0,15508,"919 of 3141"
"Adair County",40001,32.2,7117,"974 of 3141"
"Cotton County",40033,32.3,1935,"1012 of 3141"
"Kingfisher County",40073,32.3,5003,"1015 of 3141"
"Pittsburg County",40121,32.3,14437,"1038 of 3141"
"Le Flore County",40079,32.4,16145,"1065 of 3141"
"Stephens County",40137,32.4,14349,"1073 of 3141"
"Beaver County",40007,32.4,1764,"1074 of 3141"
"Roger Mills County",40129,32.5,1212,"1101 of 3141"
"Tillman County",40141,32.6,2477,"1165 of 3141"
"McClain County",40087,32.7,12408,"1203 of 3141"
"Atoka County",40005,32.8,4554,"1220 of 3141"
"Mayes County",40097,32.8,13421,"1236 of 3141"
"Wagoner County",40145,32.8,25219,"1249 of 3141"
"Okfuskee County",40107,32.9,4006,"1310 of 3141"
"Pushmataha County",40127,33.0,3679,"1361 of 3141"
"Grady County",40051,33.1,17974,"1365 of 3141"
"Murray County",40099,33.1,4567,"1381 of 3141"
"Rogers County",40131,33.1,29854,"1400 of 3141"
"Logan County",40083,33.1,15021,"1402 of 3141"
"Choctaw County",40023,33.3,4982,"1460 of 3141"
"Craig County",40035,33.3,4844,"1462 of 3141"
"Noble County",40103,33.3,3808,"1495 of 3141"
"Sequoyah County",40135,33.4,13804,"1511 of 3141"
"Kiowa County",40075,33.5,3055,"1578 of 3141"
"Jefferson County",40067,33.5,2100,"1589 of 3141"
"Grant County",40053,33.6,1496,"1617 of 3141"
"Creek County",40037,33.6,23793,"1618 of 3141"
"McIntosh County",40091,33.6,6670,"1619 of 3141"
"Pawnee County",40117,33.6,5532,"1667 of 3141"
"Lincoln County",40081,33.6,11693,"1672 of 3141"
"Delaware County",40041,33.8,14150,"1753 of 3141"
"Ellis County",40045,33.9,1391,"1826 of 3141"
"Nowata County",40105,33.9,3543,"1827 of 3141"
"Osage County",40113,34.4,16305,"2092 of 3141"
"Blaine County",40011,34.6,3353,"2184 of 3141"
"Harmon County",40057,35.1,967,"2390 of 3141"
"Alfalfa County",40003,36.9,2166,"2896 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40-64, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
