------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Oklahoma",40000,89.9,3501372,"23 of 52"
"Texas County",40139,54.9,11760,"120 of 3141"
"Harmon County",40057,72.1,1988,"248 of 3141"
"Tillman County",40141,74.2,5635,"283 of 3141"
"Jackson County",40065,76.7,19612,"317 of 3141"
"Harper County",40059,77.8,2988,"338 of 3141"
"Beaver County",40007,77.9,4243,"340 of 3141"
"Cimarron County",40025,79.2,1758,"362 of 3141"
"Custer County",40039,82.5,24074,"442 of 3141"
"Marshall County",40095,83.2,13493,"459 of 3141"
"Oklahoma County",40109,83.2,644113,"460 of 3141"
"Kingfisher County",40073,84.8,13157,"508 of 3141"
"Love County",40085,85.1,8375,"517 of 3141"
"Beckham County",40009,85.8,19699,"540 of 3141"
"Comanche County",40031,87.3,107458,"588 of 3141"
"Woodward County",40153,87.8,18565,"616 of 3141"
"Tulsa County",40143,87.9,559764,"617 of 3141"
"Caddo County",40015,87.9,25874,"620 of 3141"
"Garfield County",40047,88.4,55154,"642 of 3141"
"Kiowa County",40075,88.8,8108,"665 of 3141"
"Greer County",40055,89.0,5356,"677 of 3141"
"Jefferson County",40067,90.0,5646,"737 of 3141"
"Blaine County",40011,90.2,8732,"750 of 3141"
"Washita County",40149,90.4,10437,"764 of 3141"
"Major County",40093,90.8,7016,"791 of 3141"
"Canadian County",40017,91.7,121935,"876 of 3141"
"Cleveland County",40027,91.8,251598,"881 of 3141"
"Garvin County",40049,91.8,25484,"883 of 3141"
"McClain County",40087,92.2,34980,"910 of 3141"
"Kay County",40071,92.4,41743,"926 of 3141"
"Cotton County",40033,92.7,5562,"964 of 3141"
"Ellis County",40045,92.7,3804,"969 of 3141"
"Stephens County",40137,92.8,41085,"972 of 3141"
"Cherokee County",40021,93.1,45082,"1007 of 3141"
"Carter County",40019,93.2,45101,"1011 of 3141"
"Roger Mills County",40129,93.2,3479,"1012 of 3141"
