------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"United States",00000,14.6,45650345,"N/A"
"Oklahoma",40000,16.2,612714,"39 of 52"
"Canadian County",40017,7.9,10332,"225 of 3141"
"Kingfisher County",40073,8.9,1357,"330 of 3141"
"Rogers County",40131,9.4,8315,"423 of 3141"
"McClain County",40087,9.5,3574,"451 of 3141"
"Grant County",40053,9.6,420,"464 of 3141"
"Wagoner County",40145,10.7,8151,"658 of 3141"
"Alfalfa County",40003,11.2,539,"751 of 3141"
"Noble County",40103,11.6,1316,"848 of 3141"
"Woodward County",40153,11.7,2348,"858 of 3141"
"Beaver County",40007,11.7,623,"860 of 3141"
"Love County",40085,12.2,1184,"952 of 3141"
"Grady County",40051,12.4,6645,"994 of 3141"
"Beckham County",40009,12.6,2661,"1027 of 3141"
"Cleveland County",40027,12.6,33054,"1033 of 3141"
"Woods County",40151,12.9,1067,"1087 of 3141"
"Major County",40093,13.1,996,"1149 of 3141"
"Logan County",40083,13.2,5775,"1162 of 3141"
"Harper County",40059,13.2,505,"1169 of 3141"
"Garfield County",40047,13.6,8241,"1251 of 3141"
"Washington County",40147,14.0,7134,"1349 of 3141"
"Murray County",40099,14.1,1889,"1363 of 3141"
"Washita County",40149,14.2,1595,"1372 of 3141"
"Lincoln County",40081,14.3,4895,"1400 of 3141"
"Marshall County",40095,14.7,2344,"1483 of 3141"
"Pawnee County",40117,15.0,2427,"1529 of 3141"
"Blaine County",40011,15.0,1224,"1533 of 3141"
"Stephens County",40137,15.1,6561,"1552 of 3141"
"Creek County",40037,15.2,10589,"1565 of 3141"
"Cotton County",40033,15.4,895,"1604 of 3141"
"Tulsa County",40143,15.5,97358,"1637 of 3141"
"Osage County",40113,15.7,7203,"1683 of 3141"
"Custer County",40039,15.8,4366,"1703 of 3141"
"Cimarron County",40025,15.9,349,"1714 of 3141"
"Harmon County",40057,16.1,426,"1761 of 3141"
"Carter County",40019,16.4,7783,"1806 of 3141"
"Comanche County",40031,16.7,18951,"1878 of 3141"
"Texas County",40139,16.8,3506,"1898 of 3141"
"Oklahoma County",40109,17.0,128566,"1933 of 3141"
"Pottawatomie County",40125,17.0,11581,"1934 of 3141"
"Garvin County",40049,17.1,4678,"1961 of 3141"
"Pittsburg County",40121,17.1,7287,"1967 of 3141"
"Ellis County",40045,17.2,696,"1976 of 3141"
"Pontotoc County",40123,17.3,6351,"1993 of 3141"
"Bryan County",40013,17.5,7643,"2045 of 3141"
"Kay County",40071,17.6,7795,"2068 of 3141"
"Craig County",40035,17.9,2476,"2134 of 3141"
"Jackson County",40065,18.0,4432,"2139 of 3141"
"Nowata County",40105,18.1,1849,"2159 of 3141"
"Roger Mills County",40129,18.4,677,"2211 of 3141"
"McIntosh County",40091,18.5,3617,"2226 of 3141"
"Dewey County",40043,18.6,889,"2248 of 3141"
"Latimer County",40077,18.9,1932,"2292 of 3141"
"Delaware County",40041,19.0,7861,"2306 of 3141"
"Mayes County",40097,19.2,7726,"2322 of 3141"
"Haskell County",40061,19.2,2427,"2325 of 3141"
"Greer County",40055,19.2,959,"2327 of 3141"
"Okmulgee County",40111,19.5,7332,"2361 of 3141"
"Atoka County",40005,19.8,2420,"2411 of 3141"
"Johnston County",40069,20.0,2147,"2427 of 3141"
"Hughes County",40063,20.1,2383,"2437 of 3141"
"Coal County",40029,20.3,1122,"2458 of 3141"
"Pushmataha County",40127,20.3,2233,"2468 of 3141"
"Caddo County",40015,20.8,5879,"2512 of 3141"
"Jefferson County",40067,20.9,1274,"2518 of 3141"
"Cherokee County",40021,21.1,9824,"2549 of 3141"
"Ottawa County",40115,21.8,6685,"2635 of 3141"
"Muskogee County",40101,21.9,14375,"2646 of 3141"
"Tillman County",40141,22.1,1600,"2661 of 3141"
"Le Flore County",40079,22.2,10791,"2671 of 3141"
"Seminole County",40133,22.7,5548,"2710 of 3141"
"McCurtain County",40089,23.6,7690,"2785 of 3141"
"Kiowa County",40075,23.9,2110,"2801 of 3141"
"Sequoyah County",40135,24.6,10048,"2843 of 3141"
"Okfuskee County",40107,25.2,2796,"2867 of 3141"
"Payne County",40119,26.3,19108,"2930 of 3141"
"Adair County",40001,30.8,6744,"3047 of 3141"
"Choctaw County",40023,31.0,4565,"3050 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
