------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Oklahoma",40000,2.2,86213,"32 of 52"
"United States",00000,5.5,17756436,"N/A"
"Alfalfa County",40003,0.0,0,"2927 of 3141"
"Beaver County",40007,0.0,0,"2927 of 3141"
"Cotton County",40033,0.0,0,"2927 of 3141"
"Greer County",40055,0.0,0,"2927 of 3141"
"Harper County",40059,0.0,0,"2927 of 3141"
"Roger Mills County",40129,0.0,1,"2903 of 3141"
"Kingfisher County",40073,0.0,5,"2895 of 3141"
"Noble County",40103,0.1,6,"2866 of 3141"
"Hughes County",40063,0.1,13,"2785 of 3141"
"Jefferson County",40067,0.1,7,"2753 of 3141"
"Blaine County",40011,0.1,14,"2691 of 3141"
"Marshall County",40095,0.2,27,"2653 of 3141"
"Okfuskee County",40107,0.2,21,"2642 of 3141"
"Cimarron County",40025,0.2,4,"2622 of 3141"
"Washita County",40149,0.2,21,"2618 of 3141"
"Woodward County",40153,0.2,44,"2562 of 3141"
"McIntosh County",40091,0.2,43,"2549 of 3141"
"Seminole County",40133,0.2,55,"2547 of 3141"
"Grant County",40053,0.2,10,"2534 of 3141"
"Choctaw County",40023,0.3,41,"2449 of 3141"
"Coal County",40029,0.3,16,"2425 of 3141"
"Nowata County",40105,0.3,32,"2379 of 3141"
"Tillman County",40141,0.3,24,"2349 of 3141"
"Johnston County",40069,0.3,36,"2333 of 3141"
"Lincoln County",40081,0.4,127,"2241 of 3141"
"Okmulgee County",40111,0.4,160,"2131 of 3141"
"McClain County",40087,0.4,164,"2057 of 3141"
"Pushmataha County",40127,0.5,52,"1975 of 3141"
"Pawnee County",40117,0.5,78,"1953 of 3141"
"Pittsburg County",40121,0.5,212,"1950 of 3141"
"Osage County",40113,0.5,229,"1920 of 3141"
"Grady County",40051,0.5,265,"1912 of 3141"
"Caddo County",40015,0.5,144,"1909 of 3141"
"Kiowa County",40075,0.5,45,"1901 of 3141"
"Latimer County",40077,0.5,56,"1819 of 3141"
"Dewey County",40043,0.5,26,"1810 of 3141"
"Kay County",40071,0.5,246,"1767 of 3141"
"Bryan County",40013,0.5,246,"1764 of 3141"
"Logan County",40083,0.5,248,"1761 of 3141"
"Garvin County",40049,0.6,157,"1733 of 3141"
"Le Flore County",40079,0.6,283,"1729 of 3141"
"Major County",40093,0.6,44,"1726 of 3141"
"Murray County",40099,0.6,81,"1691 of 3141"
"Creek County",40037,0.6,437,"1625 of 3141"
"Haskell County",40061,0.6,79,"1619 of 3141"
"Mayes County",40097,0.7,283,"1487 of 3141"
"Stephens County",40137,0.7,313,"1452 of 3141"
"Atoka County",40005,0.7,99,"1439 of 3141"
"Sequoyah County",40135,0.7,300,"1414 of 3141"
"Muskogee County",40101,0.7,509,"1396 of 3141"
"Pottawatomie County",40125,0.8,560,"1324 of 3141"
"Love County",40085,0.8,78,"1309 of 3141"
"Adair County",40001,0.8,187,"1248 of 3141"
"Pontotoc County",40123,0.9,328,"1229 of 3141"
"Ellis County",40045,0.9,36,"1210 of 3141"
"Woods County",40151,0.9,84,"1156 of 3141"
"Cherokee County",40021,1.0,481,"1084 of 3141"
"Beckham County",40009,1.0,233,"1061 of 3141"
"Carter County",40019,1.1,542,"963 of 3141"
"Craig County",40035,1.1,167,"941 of 3141"
"Rogers County",40131,1.2,1052,"924 of 3141"
"Delaware County",40041,1.2,513,"875 of 3141"
"Harmon County",40057,1.2,34,"868 of 3141"
"Custer County",40039,1.2,362,"859 of 3141"
"Jackson County",40065,1.4,348,"794 of 3141"
"McCurtain County",40089,1.4,459,"777 of 3141"
"Ottawa County",40115,1.4,442,"771 of 3141"
"Wagoner County",40145,1.4,1113,"737 of 3141"
"Washington County",40147,2.0,1015,"550 of 3141"
"Comanche County",40031,2.9,3530,"354 of 3141"
"Texas County",40139,3.1,654,"320 of 3141"
"Tulsa County",40143,3.1,19986,"309 of 3141"
"Canadian County",40017,3.2,4232,"303 of 3141"
"Oklahoma County",40109,3.4,26303,"279 of 3141"
"Garfield County",40047,3.6,2240,"264 of 3141"
"Cleveland County",40027,4.5,12305,"188 of 3141"
"Payne County",40119,4.5,3626,"187 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
