------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Oklahoma",40000,12.5,318653,"34 of 52"
"United States",00000,12.7,27437114,"N/A"
"Canadian County",40017,8.0,7043,"590 of 3141"
"Rogers County",40131,8.3,4983,"642 of 3141"
"Grant County",40053,8.3,257,"648 of 3141"
"Cleveland County",40027,8.6,14855,"697 of 3141"
"Payne County",40119,8.7,3750,"711 of 3141"
"Dewey County",40043,8.9,288,"775 of 3141"
"Roger Mills County",40129,9.0,220,"787 of 3141"
"Washington County",40147,9.4,3336,"890 of 3141"
"Logan County",40083,9.5,2840,"924 of 3141"
"Comanche County",40031,10.1,7802,"1042 of 3141"
"Wagoner County",40145,10.2,5247,"1073 of 3141"
"Noble County",40103,10.6,823,"1175 of 3141"
"Tulsa County",40143,11.0,45601,"1264 of 3141"
"Washita County",40149,11.1,860,"1300 of 3141"
"Woods County",40151,11.3,650,"1334 of 3141"
"Pontotoc County",40123,11.3,2804,"1347 of 3141"
"McClain County",40087,11.5,2887,"1382 of 3141"
"Grady County",40051,11.6,4252,"1411 of 3141"
"Pawnee County",40117,11.8,1321,"1434 of 3141"
"Osage County",40113,11.8,3902,"1462 of 3141"
"Kingfisher County",40073,11.9,1209,"1477 of 3141"
"Garfield County",40047,12.0,4876,"1484 of 3141"
"Woodward County",40153,12.1,1666,"1494 of 3141"
"Ellis County",40045,12.3,350,"1545 of 3141"
"Alfalfa County",40003,12.8,555,"1640 of 3141"
"Custer County",40039,12.9,2189,"1645 of 3141"
"Major County",40093,12.9,677,"1652 of 3141"
"Nowata County",40105,13.0,936,"1672 of 3141"
"Okmulgee County",40111,13.2,3405,"1702 of 3141"
"Pottawatomie County",40125,13.2,6191,"1705 of 3141"
"Oklahoma County",40109,13.2,66344,"1709 of 3141"
"Kay County",40071,13.2,3935,"1714 of 3141"
"Carter County",40019,13.2,4243,"1719 of 3141"
"Creek County",40037,13.3,6385,"1732 of 3141"
"Stephens County",40137,13.4,4076,"1746 of 3141"
"Pittsburg County",40121,13.5,4239,"1755 of 3141"
"Bryan County",40013,13.8,4141,"1795 of 3141"
"Cotton County",40033,13.9,568,"1806 of 3141"
"Mayes County",40097,13.9,3849,"1812 of 3141"
"Caddo County",40015,13.9,2702,"1816 of 3141"
"Craig County",40035,14.0,1432,"1828 of 3141"
"Latimer County",40077,14.1,1009,"1847 of 3141"
"Cimarron County",40025,14.4,226,"1893 of 3141"
"Lincoln County",40081,14.5,3407,"1900 of 3141"
"McIntosh County",40091,14.6,2108,"1918 of 3141"
"Cherokee County",40021,14.6,4395,"1924 of 3141"
"Garvin County",40049,14.7,2725,"1931 of 3141"
"Muskogee County",40101,14.8,6842,"1959 of 3141"
"Greer County",40055,14.9,639,"1967 of 3141"
"Beckham County",40009,15.0,2269,"1979 of 3141"
"Blaine County",40011,15.1,1048,"1998 of 3141"
"Kiowa County",40075,15.3,967,"2030 of 3141"
"Delaware County",40041,15.4,4623,"2042 of 3141"
"Ottawa County",40115,15.7,3236,"2093 of 3141"
"Beaver County",40007,15.7,569,"2094 of 3141"
"Seminole County",40133,15.9,2625,"2114 of 3141"
"Johnston County",40069,16.3,1207,"2175 of 3141"
"Coal County",40029,16.4,622,"2177 of 3141"
"Love County",40085,16.9,1101,"2257 of 3141"
"Jackson County",40065,16.9,2756,"2260 of 3141"
"Pushmataha County",40127,17.1,1340,"2279 of 3141"
"Atoka County",40005,17.2,1659,"2293 of 3141"
"Murray County",40099,17.3,1648,"2304 of 3141"
"Jefferson County",40067,17.8,764,"2362 of 3141"
"Le Flore County",40079,17.8,5991,"2365 of 3141"
"McCurtain County",40089,18.1,3952,"2398 of 3141"
"Haskell County",40061,18.1,1572,"2399 of 3141"
"Sequoyah County",40135,18.5,5237,"2429 of 3141"
"Marshall County",40095,18.6,2072,"2434 of 3141"
"Harper County",40059,19.1,490,"2500 of 3141"
"Choctaw County",40023,19.1,1960,"2502 of 3141"
"Hughes County",40063,19.4,1830,"2534 of 3141"
"Harmon County",40057,20.0,391,"2603 of 3141"
"Adair County",40001,20.6,2947,"2653 of 3141"
"Okfuskee County",40107,21.2,1751,"2714 of 3141"
"Tillman County",40141,23.8,1229,"2906 of 3141"
"Texas County",40139,28.8,3757,"3067 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
