------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=36&areatype=county&cancer=072&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '36', 'areatype': 'county', 'cancer': '072', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=36&areatype=county&cancer=072&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for New York by County

"Kidney & Renal Pelvis, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"New York",36000,***,3 ,2.9, 3.1,711,falling,-1.1 ,-1.3, -0.9
"United States",00000,***,3.8 ,3.7, 3.8,13926,falling,-0.9 ,-1.1, -0.7
"Columbia County",36021,***,5.6 ,3.7, 8.4,5,stable,0.0 ,-2.0, 2.0
"Allegany County",36003,***,5.5 ,3.3, 9,4,*,*,*,*
"Warren County",36113,***,5.5 ,3.6, 8.2,6,stable,-0.5 ,-2.8, 1.8
"Sullivan County",36105,***,5.1 ,3.2, 7.6,5,*,*,*,*
"Chemung County",36015,***,5 ,3.4, 7.3,6,stable,0.1 ,-2.5, 2.9
"Washington County",36115,***,4.7 ,2.9, 7.5,4,*,*,*,*
"Tioga County",36107,***,4.6 ,2.6, 7.7,3,*,*,*,*
"Saratoga County",36091,***,4.5 ,3.4, 5.8,13,stable,-0.1 ,-1.6, 1.4
"Otsego County",36077,***,4.5 ,2.8, 7.1,4,*,*,*,*
"Albany County",36001,***,4.4 ,3.5, 5.5,16,stable,0.1 ,-1.2, 1.4
"Rensselaer County",36083,***,4.3 ,3.1, 5.9,9,stable,-0.4 ,-2.4, 1.6
"Cayuga County",36011,***,4.1 ,2.6, 6.3,5,*,*,*,*
"Broome County",36007,***,4.1 ,3, 5.3,11,stable,-0.4 ,-1.8, 1.1
"Madison County",36053,***,4.1 ,2.5, 6.4,4,*,*,*,*
"Clinton County",36019,***,4 ,2.5, 6.4,4,stable,-0.1 ,-2.7, 2.6
"Ontario County",36069,***,4 ,2.7, 5.8,6,stable,-1.4 ,-3.5, 0.6
"Genesee County",36037,***,4 ,2.3, 6.8,3,*,*,*,*
"Tompkins County",36109,***,3.9 ,2.3, 6.3,4,*,*,*,*
"Richmond County",36085,***,3.9 ,3.2, 4.7,21,stable,0.6 ,-0.4, 1.7
"Chautauqua County",36013,***,3.9 ,2.7, 5.4,8,stable,-0.4 ,-2.4, 1.6
"Niagara County",36063,***,3.7 ,2.8, 4.9,11,falling,-1.1 ,-2.0, -0.1
"Oswego County",36075,***,3.7 ,2.4, 5.5,5,stable,-1.4 ,-3.5, 0.7
"Putnam County",36079,***,3.5 ,2.1, 5.6,4,stable,-0.9 ,-3.1, 1.4
"Erie County",36029,***,3.5 ,3, 4,43,stable,-0.7 ,-1.6, 0.2
"Monroe County",36055,***,3.5 ,2.9, 4.1,32,falling,-1.5 ,-2.3, -0.7
"Cattaraugus County",36009,***,3.4 ,2.1, 5.5,4,stable,-0.1 ,-2.6, 2.6
"Jefferson County",36045,***,3.4 ,2, 5.4,4,*,*,*,*
"Orange County",36071,***,3.4 ,2.6, 4.4,13,stable,-0.5 ,-1.9, 0.8
"Oneida County",36065,***,3.3 ,2.5, 4.4,11,stable,-0.5 ,-2.0, 1.0
"Suffolk County",36103,***,3.3 ,3, 3.7,61,falling,-1.2 ,-1.8, -0.5
"Schenectady County",36093,***,3.3 ,2.3, 4.7,7,stable,-1.0 ,-2.9, 1.0
"St. Lawrence County",36089,***,3.3 ,2.1, 5,5,*,*,*,*
"Rockland County",36087,***,3.2 ,2.5, 4.2,12,stable,-1.0 ,-2.3, 0.2
"Bronx County",36005,***,3 ,2.6, 3.5,41,stable,-0.4 ,-1.0, 0.1
"Onondaga County",36067,***,3 ,2.4, 3.7,18,stable,-0.7 ,-1.9, 0.6
"Nassau County",36059,***,2.8 ,2.5, 3.2,52,falling,-1.3 ,-2.1, -0.5
"Wayne County",36117,***,2.8 ,1.6, 4.6,3,*,*,*,*
"Ulster County",36111,***,2.6 ,1.8, 3.7,7,stable,-1.9 ,-3.8, 0.1
"Steuben County",36101,***,2.4 ,1.4, 4,3,*,*,*,*
"Queens County",36081,***,2.3 ,2.1, 2.6,62,falling,-1.5 ,-2.1, -0.9
"Kings County",36047,***,2.3 ,2.1, 2.6,62,falling,-1.5 ,-2.2, -0.7
"Westchester County",36119,***,2.2 ,1.9, 2.6,28,falling,-1.8 ,-2.7, -1.0
"Dutchess County",36027,***,2.2 ,1.6, 3,8,falling,-2.7 ,-4.9, -0.3
"New York County",36061,***,2 ,1.7, 2.3,39,falling,-1.9 ,-2.7, -1.1
"Chenango County",36017,***,* ,*, *,3 or fewer,*,*,*,*
"Cortland County",36023,***,* ,*, *,3 or fewer,*,*,*,*
"Delaware County",36025,***,* ,*, *,3 or fewer,*,*,*,*
"Essex County",36031,***,* ,*, *,3 or fewer,*,*,*,*
"Franklin County",36033,***,* ,*, *,3 or fewer,*,*,*,*
"Fulton County",36035,***,* ,*, *,3 or fewer,*,*,*,*
"Greene County",36039,***,* ,*, *,3 or fewer,*,*,*,*
"Hamilton County",36041,***,* ,*, *,3 or fewer,*,*,*,*
"Herkimer County",36043,***,* ,*, *,3 or fewer,*,*,*,*
