------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=001&race=00&sex=1&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '1', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_032.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=001&race=00&sex=1&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Alaska by Borough or Census Area

"All Cancer Sites (All Stages^), 2012-2016"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

Borough Or Census Area, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Alaska(6,10)",02900,***,426.1 ,415.1, 437.3,1422,stable,-0.3 ,-3.7, 3.1
"US (SEER+NPCR)(1,10)",00000,***,488.8 ,488.3, 489.3,824195,falling,-1.4 ,-2.1, -0.7
"Yukon-Koyukuk Census Area(6,10)",02290,***,547.3 ,433.4, 682.5,18,stable,8.4 ,-1.2, 18.8
"North Slope Borough(6,10)",02185,***,515.5 ,355.1, 712.7,14,stable,-8.3 ,-30.3, 20.6
"Southeast Fairbanks Census Area(6,10)",02240,***,476.6 ,371.4, 601.6,19,stable,2.8 ,-27.1, 45.1
"Haines Borough(6,10)",02100,***,473.8 ,314, 689.6,7,stable,-19.5 ,-37.8, 4.3
"Matanuska-Susitna Borough(6,10)",02170,***,473.3 ,441.9, 506.2,215,stable,-2.0 ,-6.6, 2.9
"Lake and Peninsula Borough(6,10)",02164,***,468.8 ,260.6, 772.1,4,stable,-3.7 ,-35.3, 43.4
"Kodiak Island Borough(6,10)",02150,***,464.5 ,369.7, 574.1,25,stable,-7.3 ,-28.2, 19.6
"Anchorage Municipality(6,10)",02020,***,446.1 ,427.7, 464.9,553,stable,-1.6 ,-4.7, 1.6
