------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=001&race=07&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'cancer': '001', 'race': '07', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=001&race=07&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Alaska by Borough or Census Area

"All Cancer Sites (All Stages^), 2012-2016"

"White Non-Hispanic, Both Sexes, All Ages"

Sorted by Rate

Borough Or Census Area, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Alaska(6,10)",02900,***,403.7 ,395.2, 412.4,2008,stable,-0.6 ,-3.6, 2.4
"US (SEER+NPCR) &sect; (1,10)",00000,***,464.2 ,463.8, 464.6,1254697,stable,-0.7 ,-1.6, 0.1
"Matanuska-Susitna Borough(6,10)",02170,***,439.6 ,417.8, 462.2,361,stable,-1.1 ,-5.1, 3.1
"Ketchikan Gateway Borough(6,10)",02130,***,429 ,374.1, 490.1,50,stable,0.1 ,-6.3, 6.9
"Anchorage Municipality(6,10)",02020,***,427.9 ,413.8, 442.3,808,stable,-0.9 ,-2.4, 0.7
"Southeast Fairbanks Census Area(6,10)",02240,***,420.6 ,344.8, 508.3,26,stable,0.8 ,-21.9, 29.9
"Kodiak Island Borough(6,10)",02150,***,403.9 ,330.5, 488.2,28,stable,-3.4 ,-28.0, 29.8
"Fairbanks North Borough(6,10)",02090,***,384.2 ,361.5, 408,256,stable,-1.7 ,-5.8, 2.6
"Kenai Peninsula Borough(6,10)",02122,***,383.7 ,360.9, 407.7,242,stable,2.6 ,-3.4, 9.0
"Valdez-Cordova Census Area(6,10)",02261,***,383.3 ,315.9, 460.9,29,stable,2.0 ,-5.5, 10.0
"Sitka City and Borough(6,10)",02220,***,383.2 ,318.9, 457.3,28,stable,3.4 ,-29.0, 50.7
"Yukon-Koyukuk Census Area(6,10)",02290,***,369.8 ,245.8, 541.6,7,stable,-3.6 ,-35.9, 45.0
"Haines Borough(6,10)",02100,***,356.7 ,256.4, 487.6,10,stable,-17.8 ,-46.2, 25.5
"Juneau City and Borough(6,10)",02110,***,350.6 ,316.3, 387.7,91,stable,-2.1 ,-16.5, 14.8
"Prince of Wales-Outer Ketchikan Census Area(6,10)",02201,***,344.1 ,257.6, 452.7,14,stable,0.7 ,-42.2, 75.6
"Denali Borough(6,10)",02068,***,342.8 ,211.8, 534.4,6,stable,9.6 ,-23.1, 56.1
"Wrangell-Petersburg Census Area(6,10)",02280,***,336.1 ,272, 412.6,21,stable,1.7 ,-14.0, 20.3
"Skagway-Hoonah-Angoon Census Area(6,10)",02232,***,312.2 ,217.3, 440.1,9,stable,14.3 ,-28.9, 83.7
"Nome Census Area(6,10)",02180,***,261.2 ,145.4, 430.5,4,stable,-22.8 ,-49.7, 18.5
"Aleutians West Census Area(6,10)",02016,***,261 ,78.1, 615.7,4,*,*,*,*
"Aleutians East Borough(6,10)",02013,***,* ,*, *,3 or fewer,*,*,*,*
"Bethel Census Area(6,10)",02050,***,* ,*, *,3 or fewer,*,*,*,*
"Bristol Bay Borough(6,10)",02060,***,* ,*, *,3 or fewer,*,*,*,*
"Dillingham Census Area(6,10)",02070,***,* ,*, *,3 or fewer,*,*,*,*
"Lake and Peninsula Borough(6,10)",02164,***,* ,*, *,3 or fewer,*,*,*,*
"North Slope Borough(6,10)",02185,***,* ,*, *,3 or fewer,*,*,*,*
"Northwest Arctic Borough(6,10)",02188,***,* ,*, *,3 or fewer,*,*,*,*
"Wade Hampton Census Area(6,10)",02270,***,* ,*, *,3 or fewer,*,*,*,*
"Yakutat City and Borough(6,10)",02282,***,* ,*, *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.

*** No Healthy People 2020 Objective for this cancer.

"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

State Cancer Registries may provide more current or more local data.
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information."

Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) summary stage [ https://seer.cancer.gov/tools/ssm/ ]."
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3)."

1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2018 data submission and SEER November 2018 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].
6 Source: State Cancer Registry and the CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2018 data submission.

"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availablility, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. "

