------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=001&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_033.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=001&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Alaska by Borough or Census Area

"All Cancer Sites (All Stages^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

Borough Or Census Area, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Alaska(6,10)",02900,***,406 ,395.9, 416.3,1362,falling,-1.5 ,-2.9, -0.2
"US (SEER+NPCR)(1,10)",00000,***,420.9 ,420.5, 421.3,813914,stable,-0.4 ,-1.3, 0.6
"Nome Census Area(6,10)",02180,***,549.2 ,435.4, 682.1,19,stable,-9.6 ,-33.0, 22.0
"Yukon-Koyukuk Census Area(6,10)",02290,***,540.9 ,416.4, 690.8,14,stable,4.3 ,-34.2, 65.3
"North Slope Borough(6,10)",02185,***,520.5 ,395.9, 669.5,14,stable,6.5 ,-9.0, 24.5
"Prince of Wales-Outer Ketchikan Census Area(6,10)",02201,***,499.8 ,379.9, 645.5,15,stable,-12.0 ,-29.5, 9.7
"Ketchikan Gateway Borough(6,10)",02130,***,442.6 ,373.7, 520.7,32,stable,-8.3 ,-25.2, 12.4
"Southeast Fairbanks Census Area(6,10)",02240,***,425.7 ,327.5, 544.3,14,stable,-4.6 ,-20.5, 14.5
"Aleutians West Census Area(6,10)",02016,***,423.6 ,210.4, 734,4,stable,42.3 ,-30.0, 189.2
"Anchorage Municipality(6,10)",02020,***,420.5 ,404.5, 436.9,575,stable,-1.0 ,-4.0, 2.1
"Matanuska-Susitna Borough(6,10)",02170,***,418.7 ,390.7, 448.2,190,stable,0.3 ,-2.7, 3.3
"Northwest Arctic Borough(6,10)",02188,***,418.1 ,310.3, 549.1,11,stable,-16.4 ,-33.3, 4.8
"Fairbanks North Borough(6,10)",02090,***,401.4 ,371.9, 432.5,159,stable,-1.3 ,-4.0, 1.6
"Kenai Peninsula Borough(6,10)",02122,***,398.5 ,366.9, 432.2,133,stable,-2.6 ,-11.2, 6.8
