------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '06', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for California by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"California",06000,31.7,12369859,"16 of 52"
"United States",00000,32.4,104105673,"N/A"
"Tulare County",06107,27.1,124450,"125 of 3141"
"Yolo County",06113,27.4,58345,"142 of 3141"
"Merced County",06047,27.5,73437,"146 of 3141"
"Fresno County",06019,27.6,268582,"157 of 3141"
"Imperial County",06025,27.7,49841,"162 of 3141"
"Kings County",06031,27.8,41800,"170 of 3141"
"Alpine County",06003,27.8,335,"173 of 3141"
"Kern County",06029,28.1,246880,"196 of 3141"
"Santa Barbara County",06083,28.3,125350,"211 of 3141"
"Yuba County",06115,28.7,21412,"247 of 3141"
"Madera County",06039,29.0,44760,"276 of 3141"
"Monterey County",06053,29.4,127561,"318 of 3141"
"Colusa County",06011,29.7,6376,"349 of 3141"
"Butte County",06007,29.7,66982,"362 of 3141"
"Stanislaus County",06099,29.8,159721,"371 of 3141"
"San Joaquin County",06077,30.0,217541,"403 of 3141"
"San Bernardino County",06071,30.1,637941,"409 of 3141"
"Sutter County",06101,30.2,28863,"429 of 3141"
"Riverside County",06065,30.2,711728,"434 of 3141"
"San Luis Obispo County",06079,30.9,86678,"586 of 3141"
"San Diego County",06073,31.0,1016632,"589 of 3141"
"Glenn County",06021,31.1,8694,"626 of 3141"
"Lassen County",06035,31.2,9828,"656 of 3141"
"Humboldt County",06023,31.3,42408,"672 of 3141"
"Sacramento County",06067,31.7,473363,"791 of 3141"
"Los Angeles County",06037,32.1,3240378,"931 of 3141"
"San Benito County",06069,32.2,18886,"983 of 3141"
"Del Norte County",06015,32.4,8888,"1068 of 3141"
"Shasta County",06089,32.4,58010,"1087 of 3141"
"San Francisco County",06075,32.6,281561,"1138 of 3141"
"Santa Cruz County",06087,32.7,89394,"1200 of 3141"
"Tehama County",06103,32.8,20727,"1225 of 3141"
"Ventura County",06111,32.9,279023,"1296 of 3141"
"Mendocino County",06045,32.9,28827,"1311 of 3141"
"Santa Clara County",06085,33.0,631517,"1357 of 3141"
"Solano County",06095,33.1,143931,"1375 of 3141"
"Orange County",06059,33.4,1052941,"1508 of 3141"
"Alameda County",06001,33.4,544055,"1521 of 3141"
"Napa County",06055,33.8,47638,"1751 of 3141"
"Placer County",06061,33.9,127285,"1843 of 3141"
"San Mateo County",06081,34.3,261951,"2019 of 3141"
"Sonoma County",06097,34.4,172421,"2077 of 3141"
"Contra Costa County",06013,34.5,387331,"2112 of 3141"
"Lake County",06033,34.5,22107,"2124 of 3141"
"Tuolumne County",06109,34.6,18642,"2165 of 3141"
"Mono County",06051,34.7,4879,"2212 of 3141"
"Modoc County",06049,34.8,3137,"2269 of 3141"
"Siskiyou County",06093,35.0,15217,"2344 of 3141"
"Inyo County",06027,35.0,6366,"2361 of 3141"
"Mariposa County",06043,36.2,6400,"2771 of 3141"
"Nevada County",06057,36.3,35922,"2798 of 3141"
"Plumas County",06063,36.6,6857,"2846 of 3141"
"Amador County",06005,37.0,13808,"2923 of 3141"
"El Dorado County",06017,37.3,69022,"2965 of 3141"
"Calaveras County",06009,37.6,16948,"3006 of 3141"
"Trinity County",06105,37.8,4924,"3015 of 3141"
"Marin County",06041,38.4,100185,"3059 of 3141"
"Sierra County",06091,40.7,1173,"3110 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40-64, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
