------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '06', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for California by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"California",06000,12.7,881623,"18 of 51"
"Del Norte County",06015,7.2,465,"37 of 3139"
"Lassen County",06035,7.2,307,"37 of 3139"
"Imperial County",06025,9.1,4618,"265 of 3139"
"Stanislaus County",06099,9.1,11036,"265 of 3139"
"Shasta County",06089,9.2,3337,"289 of 3139"
"Yuba County",06115,9.4,1814,"327 of 3139"
"Tuolumne County",06109,9.5,749,"350 of 3139"
"Butte County",06007,9.6,5152,"368 of 3139"
"Yolo County",06113,9.6,4182,"368 of 3139"
"Alpine County",06003,9.7,18,"392 of 3139"
"Sacramento County",06067,9.7,29013,"392 of 3139"
"Tehama County",06103,9.7,1564,"392 of 3139"
"Tulare County",06107,9.8,15020,"418 of 3139"
"Plumas County",06063,9.9,295,"446 of 3139"
"Amador County",06005,10.0,432,"475 of 3139"
"Placer County",06061,10.0,3472,"475 of 3139"
"Fresno County",06019,10.1,29363,"497 of 3139"
"Merced County",06047,10.1,8208,"497 of 3139"
"San Joaquin County",06077,10.1,16092,"497 of 3139"
"Siskiyou County",06093,10.1,1034,"497 of 3139"
"Kern County",06029,10.2,24893,"519 of 3139"
"Solano County",06095,10.3,6419,"539 of 3139"
"San Francisco County",06075,10.8,10580,"631 of 3139"
"Humboldt County",06023,11.2,3707,"718 of 3139"
"Kings County",06031,11.2,4106,"718 of 3139"
"San Bernardino County",06071,11.2,53532,"718 of 3139"
"Sierra County",06091,11.2,49,"718 of 3139"
"Lake County",06033,11.6,1913,"789 of 3139"
"Trinity County",06105,11.6,338,"789 of 3139"
"El Dorado County",06017,11.7,2321,"806 of 3139"
"Sutter County",06101,11.7,2449,"806 of 3139"
"Alameda County",06001,11.9,23895,"840 of 3139"
"Calaveras County",06009,11.9,753,"840 of 3139"
"Mariposa County",06043,12.1,351,"878 of 3139"
"San Luis Obispo County",06079,12.2,4831,"898 of 3139"
"Nevada County",06057,12.3,1598,"907 of 3139"
"Madera County",06039,12.5,5106,"933 of 3139"
"Santa Cruz County",06087,12.6,5400,"954 of 3139"
"Santa Clara County",06085,12.9,23107,"996 of 3139"
"Sonoma County",06097,13.0,8268,"1003 of 3139"
"Inyo County",06027,13.1,328,"1014 of 3139"
"Mendocino County",06045,13.1,2656,"1014 of 3139"
"Contra Costa County",06013,13.3,17319,"1050 of 3139"
"Riverside County",06065,13.3,59647,"1050 of 3139"
"San Benito County",06069,13.6,1152,"1094 of 3139"
"San Diego County",06073,13.9,71747,"1126 of 3139"
"Colusa County",06011,14.2,603,"1155 of 3139"
"Modoc County",06049,14.2,254,"1155 of 3139"
"San Mateo County",06081,14.2,8763,"1155 of 3139"
"Glenn County",06021,14.3,946,"1171 of 3139"
"Los Angeles County",06037,14.3,281842,"1171 of 3139"
"Orange County",06059,14.5,66140,"1195 of 3139"
"Monterey County",06053,15.2,13208,"1273 of 3139"
"Santa Barbara County",06083,15.4,12558,"1303 of 3139"
"Marin County",06041,16.0,2932,"1374 of 3139"
"Mono County",06051,16.1,371,"1385 of 3139"
"Napa County",06055,16.4,2581,"1420 of 3139"
"Ventura County",06111,16.7,18789,"1453 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
