------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '06', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for California by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"United States",00000,5.4,11759554,"N/A"
"California",06000,9.7,2510370,"51 of 52"
"Sierra County",06091,0.4,9,"13 of 3141"
"Plumas County",06063,1.5,222,"153 of 3141"
"Alpine County",06003,1.8,15,"260 of 3141"
"Tuolumne County",06109,1.9,782,"280 of 3141"
"Nevada County",06057,1.9,1460,"297 of 3141"
"Placer County",06061,2.2,5653,"415 of 3141"
"El Dorado County",06017,2.3,3095,"492 of 3141"
"Trinity County",06105,2.5,255,"587 of 3141"
"Shasta County",06089,2.6,3294,"649 of 3141"
"Mariposa County",06043,2.7,362,"660 of 3141"
"Humboldt County",06023,2.7,2458,"688 of 3141"
"Amador County",06005,3.0,862,"877 of 3141"
"Siskiyou County",06093,3.2,1009,"991 of 3141"
"Calaveras County",06009,3.3,1143,"1087 of 3141"
"Marin County",06041,3.8,7246,"1341 of 3141"
"Butte County",06007,4.1,5987,"1490 of 3141"
"Lassen County",06035,4.2,935,"1520 of 3141"
"San Luis Obispo County",06079,4.3,7972,"1562 of 3141"
"Inyo County",06027,4.3,569,"1571 of 3141"
"Del Norte County",06015,5.3,1024,"1949 of 3141"
"Modoc County",06049,5.7,391,"2101 of 3141"
"Contra Costa County",06013,5.9,44889,"2157 of 3141"
"Lake County",06033,5.9,2732,"2168 of 3141"
"Solano County",06095,5.9,17512,"2183 of 3141"
"Mendocino County",06045,6.2,3848,"2268 of 3141"
"Sonoma County",06097,6.3,22471,"2302 of 3141"
"Sacramento County",06067,6.6,65824,"2375 of 3141"
"San Mateo County",06081,6.6,36153,"2384 of 3141"
"Alameda County",06001,6.7,75864,"2390 of 3141"
"San Diego County",06073,6.9,151499,"2446 of 3141"
"Santa Clara County",06085,7.0,91796,"2467 of 3141"
"Tehama County",06103,7.0,3036,"2477 of 3141"
"Yuba County",06115,7.2,3341,"2511 of 3141"
"Yolo County",06113,7.3,9017,"2533 of 3141"
"San Francisco County",06075,7.6,51612,"2586 of 3141"
"Orange County",06059,8.5,181950,"2719 of 3141"
"Santa Cruz County",06087,8.7,15503,"2747 of 3141"
"Riverside County",06065,9.3,138929,"2797 of 3141"
"San Bernardino County",06071,9.3,122373,"2803 of 3141"
"Mono County",06051,9.5,916,"2823 of 3141"
"Ventura County",06111,9.7,54344,"2847 of 3141"
"Napa County",06055,9.9,9719,"2863 of 3141"
"San Joaquin County",06077,11.5,51931,"2957 of 3141"
"Stanislaus County",06099,12.2,40960,"2985 of 3141"
"Sutter County",06101,12.3,7575,"2989 of 3141"
"Santa Barbara County",06083,12.4,33957,"2993 of 3141"
"Los Angeles County",06037,12.9,875811,"3012 of 3141"
"Kings County",06031,12.9,11834,"3013 of 3141"
"San Benito County",06069,13.8,5139,"3035 of 3141"
"Kern County",06029,14.0,73421,"3038 of 3141"
"Glenn County",06021,14.0,2514,"3039 of 3141"
"Fresno County",06019,14.4,84857,"3045 of 3141"
"Madera County",06039,16.8,16160,"3086 of 3141"
"Imperial County",06025,17.8,19312,"3097 of 3141"
"Merced County",06047,19.2,30106,"3106 of 3141"
"Monterey County",06053,19.5,53456,"3110 of 3141"
"Tulare County",06107,19.7,52424,"3112 of 3141"
"Colusa County",06011,21.0,2842,"3118 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
