------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '06', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for California by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"California",06000,50.3,19616268,"17 of 52"
"United States",00000,50.8,162985654,"N/A"
"Lassen County",06035,33.9,10684,"6 of 3141"
"Kings County",06031,44.7,67201,"111 of 3141"
"Alpine County",06003,44.8,539,"112 of 3141"
"Del Norte County",06015,45.3,12434,"126 of 3141"
"Amador County",06005,46.4,17301,"187 of 3141"
"Mono County",06051,47.1,6625,"256 of 3141"
"Tuolumne County",06109,48.0,25870,"364 of 3141"
"Colusa County",06011,48.1,10322,"376 of 3141"
"Modoc County",06049,48.3,4358,"425 of 3141"
"Sierra County",06091,48.4,1397,"445 of 3141"
"Kern County",06029,48.7,428351,"516 of 3141"
"Imperial County",06025,48.9,87994,"567 of 3141"
"Monterey County",06053,49.0,212152,"597 of 3141"
"Yuba County",06115,49.0,36563,"600 of 3141"
"San Francisco County",06075,49.0,423630,"610 of 3141"
"Glenn County",06021,49.1,13722,"644 of 3141"
"San Luis Obispo County",06079,49.2,137937,"681 of 3141"
"Trinity County",06105,49.4,6434,"743 of 3141"
"Merced County",06047,49.5,132345,"812 of 3141"
"Inyo County",06027,49.6,9023,"859 of 3141"
"Santa Clara County",06085,49.6,947909,"865 of 3141"
"Plumas County",06063,49.6,9292,"888 of 3141"
"San Diego County",06073,49.7,1632518,"960 of 3141"
"Mariposa County",06043,49.8,8795,"1035 of 3141"
"Santa Barbara County",06083,49.9,221041,"1111 of 3141"
"Tulare County",06107,50.0,229321,"1176 of 3141"
"Mendocino County",06045,50.1,43829,"1278 of 3141"
"El Dorado County",06017,50.1,92711,"1297 of 3141"
"Fresno County",06019,50.1,486949,"1305 of 3141"
"Siskiyou County",06093,50.1,21824,"1325 of 3141"
"Napa County",06055,50.1,70694,"1326 of 3141"
"Humboldt County",06023,50.2,67982,"1356 of 3141"
"Sutter County",06101,50.2,47970,"1367 of 3141"
"San Benito County",06069,50.2,29463,"1391 of 3141"
"Riverside County",06065,50.2,1183291,"1412 of 3141"
"San Joaquin County",06077,50.3,363906,"1426 of 3141"
"San Bernardino County",06071,50.3,1066050,"1430 of 3141"
"Tehama County",06103,50.3,31795,"1444 of 3141"
"Solano County",06095,50.3,218907,"1502 of 3141"
"Santa Cruz County",06087,50.4,137609,"1526 of 3141"
"Lake County",06033,50.4,32307,"1577 of 3141"
"Butte County",06007,50.5,113620,"1622 of 3141"
"Ventura County",06111,50.5,428298,"1701 of 3141"
"Calaveras County",06009,50.5,22765,"1706 of 3141"
"Stanislaus County",06099,50.6,270860,"1760 of 3141"
"Orange County",06059,50.6,1597571,"1837 of 3141"
"Nevada County",06057,50.7,50106,"1940 of 3141"
"Los Angeles County",06037,50.7,5126081,"1970 of 3141"
"San Mateo County",06081,50.7,387305,"1981 of 3141"
"Alameda County",06001,50.9,829966,"2184 of 3141"
"Shasta County",06089,51.0,91166,"2212 of 3141"
"Sonoma County",06097,51.0,255562,"2260 of 3141"
"Sacramento County",06067,51.1,764720,"2389 of 3141"
"Marin County",06041,51.1,133391,"2397 of 3141"
"Contra Costa County",06013,51.2,575003,"2419 of 3141"
"Placer County",06061,51.2,191964,"2441 of 3141"
"Yolo County",06113,51.3,108988,"2496 of 3141"
"Madera County",06039,51.7,79857,"2778 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
