------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '06', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for California by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"United States",00000,49.2,158018753,"N/A"
"California",06000,49.7,19366579,"36 of 52"
"Madera County",06039,48.3,74583,"364 of 3141"
"Yolo County",06113,48.7,103617,"646 of 3141"
"Placer County",06061,48.8,183021,"701 of 3141"
"Contra Costa County",06013,48.8,548675,"723 of 3141"
"Marin County",06041,48.9,127423,"745 of 3141"
"Sacramento County",06067,48.9,730680,"753 of 3141"
"Sonoma County",06097,49.0,245381,"882 of 3141"
"Shasta County",06089,49.0,87753,"930 of 3141"
"Alameda County",06001,49.1,799649,"958 of 3141"
"San Mateo County",06081,49.3,376145,"1160 of 3141"
"Los Angeles County",06037,49.3,4979641,"1171 of 3141"
"Nevada County",06057,49.3,48732,"1202 of 3141"
"Orange County",06059,49.4,1558245,"1305 of 3141"
"Stanislaus County",06099,49.4,264824,"1382 of 3141"
"Calaveras County",06009,49.5,22292,"1436 of 3141"
"Ventura County",06111,49.5,419536,"1441 of 3141"
"Butte County",06007,49.5,111587,"1520 of 3141"
"Lake County",06033,49.6,31788,"1565 of 3141"
"Santa Cruz County",06087,49.6,135654,"1616 of 3141"
"Solano County",06095,49.7,216074,"1640 of 3141"
"Tehama County",06103,49.7,31452,"1698 of 3141"
"San Bernardino County",06071,49.7,1055170,"1712 of 3141"
"San Joaquin County",06077,49.7,360247,"1716 of 3141"
"Riverside County",06065,49.8,1171711,"1729 of 3141"
"San Benito County",06069,49.8,29208,"1751 of 3141"
"Sutter County",06101,49.8,47613,"1775 of 3141"
"Humboldt County",06023,49.8,67508,"1786 of 3141"
"Napa County",06055,49.9,70311,"1816 of 3141"
"Siskiyou County",06093,49.9,21706,"1817 of 3141"
"Fresno County",06019,49.9,484667,"1837 of 3141"
"El Dorado County",06017,49.9,92304,"1844 of 3141"
"Mendocino County",06045,49.9,43668,"1864 of 3141"
"Tulare County",06107,50.0,229488,"1966 of 3141"
"Santa Barbara County",06083,50.1,221955,"2031 of 3141"
"Mariposa County",06043,50.2,8863,"2107 of 3141"
"San Diego County",06073,50.3,1651147,"2182 of 3141"
"Plumas County",06063,50.4,9432,"2254 of 3141"
"Santa Clara County",06085,50.4,963317,"2277 of 3141"
"Inyo County",06027,50.4,9172,"2283 of 3141"
"Merced County",06047,50.5,135045,"2330 of 3141"
"Trinity County",06105,50.6,6603,"2399 of 3141"
"San Luis Obispo County",06079,50.8,142182,"2461 of 3141"
"Glenn County",06021,50.9,14213,"2498 of 3141"
"San Francisco County",06075,51.0,440633,"2532 of 3141"
"Yuba County",06115,51.0,38081,"2542 of 3141"
"Monterey County",06053,51.0,221016,"2545 of 3141"
"Imperial County",06025,51.1,91963,"2575 of 3141"
"Kern County",06029,51.3,450393,"2626 of 3141"
"Sierra County",06091,51.6,1488,"2697 of 3141"
"Modoc County",06049,51.7,4659,"2717 of 3141"
"Colusa County",06011,51.9,11157,"2766 of 3141"
"Tuolumne County",06109,52.0,28029,"2778 of 3141"
"Mono County",06051,52.9,7433,"2886 of 3141"
"Amador County",06005,53.6,20005,"2955 of 3141"
"Del Norte County",06015,54.7,15008,"3016 of 3141"
"Alpine County",06003,55.2,664,"3030 of 3141"
"Kings County",06031,55.3,82982,"3031 of 3141"
"Lassen County",06035,66.1,20786,"3136 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
