------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '06', 'areatype': 'county', 'topic': 'pop', 'demo': '00003', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for California by County
Population: Age 65 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 65 And Over),Rank within US
"California",06000,13.2,5148448,"46 of 52"
"United States",00000,14.9,47732389,"N/A"
"Kings County",06031,9.5,14215,"3085 of 3141"
"Kern County",06029,10.2,89227,"3059 of 3141"
"San Bernardino County",06071,10.6,225174,"3034 of 3141"
"Tulare County",06107,10.7,48912,"3028 of 3141"
"Merced County",06047,10.7,28611,"3025 of 3141"
"Fresno County",06019,11.4,110868,"2960 of 3141"
"Yolo County",06113,11.5,24477,"2952 of 3141"
"Yuba County",06115,11.6,8687,"2939 of 3141"
"San Benito County",06069,11.7,6890,"2928 of 3141"
"San Joaquin County",06077,12.0,86538,"2904 of 3141"
"Imperial County",06025,12.1,21816,"2884 of 3141"
"Stanislaus County",06099,12.3,65844,"2861 of 3141"
"Monterey County",06053,12.4,53745,"2850 of 3141"
"Los Angeles County",06037,12.5,1264984,"2840 of 3141"
"Santa Clara County",06085,12.6,239965,"2827 of 3141"
"Lassen County",06035,12.7,4001,"2804 of 3141"
"Alameda County",06001,12.8,208693,"2789 of 3141"
"San Diego County",06073,12.9,425217,"2763 of 3141"
"Sacramento County",06067,13.0,194729,"2748 of 3141"
"Madera County",06039,13.1,20191,"2739 of 3141"
"Colusa County",06011,13.4,2872,"2696 of 3141"
"Riverside County",06065,13.5,316979,"2690 of 3141"
"Orange County",06059,13.5,426445,"2680 of 3141"
"Mono County",06051,13.7,1921,"2662 of 3141"
"Ventura County",06111,14.1,119246,"2585 of 3141"
"Solano County",06095,14.2,61554,"2565 of 3141"
"Santa Cruz County",06087,14.2,38885,"2545 of 3141"
"Santa Barbara County",06083,14.3,63210,"2539 of 3141"
"Contra Costa County",06013,14.6,163771,"2478 of 3141"
"Sutter County",06101,14.6,13957,"2471 of 3141"
"San Francisco County",06075,14.9,128384,"2411 of 3141"
"Glenn County",06021,14.9,4171,"2397 of 3141"
"San Mateo County",06081,15.1,115064,"2356 of 3141"
"Del Norte County",06015,15.9,4357,"2142 of 3141"
"Humboldt County",06023,16.1,21751,"2079 of 3141"
"Butte County",06007,17.3,38949,"1677 of 3141"
"Napa County",06055,17.4,24521,"1643 of 3141"
"Sonoma County",06097,17.4,87139,"1642 of 3141"
"San Luis Obispo County",06079,18.1,50662,"1418 of 3141"
"Placer County",06061,18.2,68244,"1383 of 3141"
"Tehama County",06103,18.5,11708,"1288 of 3141"
"El Dorado County",06017,18.9,34950,"1163 of 3141"
"Shasta County",06089,19.4,34728,"1008 of 3141"
"Mendocino County",06045,19.7,17221,"945 of 3141"
"Marin County",06041,20.3,52965,"783 of 3141"
"Lake County",06033,21.2,13561,"616 of 3141"
"Inyo County",06027,21.8,3959,"521 of 3141"
"Siskiyou County",06093,23.4,10180,"349 of 3141"
"Tuolumne County",06109,24.1,12974,"287 of 3141"
"Nevada County",06057,24.4,24126,"257 of 3141"
"Modoc County",06049,24.6,2214,"243 of 3141"
"Trinity County",06105,25.5,3330,"186 of 3141"
"Amador County",06005,25.6,9565,"180 of 3141"
"Calaveras County",06009,25.7,11585,"173 of 3141"
"Plumas County",06063,25.8,4824,"171 of 3141"
"Mariposa County",06043,26.0,4598,"154 of 3141"
"Sierra County",06091,26.4,763,"132 of 3141"
"Alpine County",06003,27.5,331,"85 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 65 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
