------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '06', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for California by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"United States",00000,12.7,27437114,"N/A"
"California",06000,17.5,4543530,"51 of 52"
"Placer County",06061,5.5,14460,"150 of 3141"
"Plumas County",06063,6.4,931,"259 of 3141"
"Nevada County",06057,6.5,4839,"265 of 3141"
"Marin County",06041,6.8,12898,"312 of 3141"
"Sierra County",06091,7.1,164,"355 of 3141"
"El Dorado County",06017,7.1,9425,"357 of 3141"
"Tuolumne County",06109,9.3,3799,"863 of 3141"
"Shasta County",06089,9.3,11656,"873 of 3141"
"Humboldt County",06023,9.5,8635,"898 of 3141"
"San Luis Obispo County",06079,9.5,17708,"923 of 3141"
"Mariposa County",06043,9.9,1350,"1002 of 3141"
"Calaveras County",06009,10.0,3421,"1024 of 3141"
"Trinity County",06105,10.2,1033,"1085 of 3141"
"Alpine County",06003,10.2,83,"1086 of 3141"
"Amador County",06005,10.3,2978,"1102 of 3141"
"Siskiyou County",06093,10.7,3393,"1204 of 3141"
"Contra Costa County",06013,10.9,83698,"1250 of 3141"
"San Mateo County",06081,11.1,60194,"1281 of 3141"
"Butte County",06007,11.2,16411,"1327 of 3141"
"Inyo County",06027,11.4,1502,"1354 of 3141"
"San Francisco County",06075,12.1,82618,"1501 of 3141"
"Sonoma County",06097,12.3,43758,"1548 of 3141"
"Solano County",06095,12.4,36652,"1568 of 3141"
"Santa Clara County",06085,12.4,163160,"1580 of 3141"
"Alameda County",06001,12.5,141961,"1584 of 3141"
"Sacramento County",06067,13.0,129295,"1668 of 3141"
"Mendocino County",06045,13.1,8079,"1691 of 3141"
"San Diego County",06073,13.3,292200,"1730 of 3141"
"Santa Cruz County",06087,13.6,24138,"1767 of 3141"
"Yolo County",06113,13.9,17242,"1809 of 3141"
"Modoc County",06049,14.5,993,"1902 of 3141"
"Napa County",06055,15.3,14952,"2020 of 3141"
"Mono County",06051,15.3,1480,"2021 of 3141"
"Lake County",06033,15.3,7091,"2024 of 3141"
"Orange County",06059,15.3,326035,"2025 of 3141"
"Tehama County",06103,16.0,6882,"2127 of 3141"
"Ventura County",06111,16.0,90044,"2136 of 3141"
"Lassen County",06035,17.7,3960,"2349 of 3141"
"Yuba County",06115,17.9,8316,"2371 of 3141"
"Del Norte County",06015,18.4,3581,"2419 of 3141"
"Riverside County",06065,18.9,283792,"2474 of 3141"
"Santa Barbara County",06083,19.6,53365,"2553 of 3141"
"San Bernardino County",06071,20.8,273160,"2674 of 3141"
"San Benito County",06069,20.9,7808,"2685 of 3141"
"Sutter County",06101,21.3,13186,"2732 of 3141"
"San Joaquin County",06077,21.6,97190,"2753 of 3141"
"Los Angeles County",06037,21.8,1485760,"2778 of 3141"
"Stanislaus County",06099,22.2,74765,"2805 of 3141"
"Fresno County",06019,25.3,149076,"2978 of 3141"
"Kern County",06029,26.2,137823,"3012 of 3141"
"Kings County",06031,27.1,24879,"3041 of 3141"
"Glenn County",06021,27.5,4929,"3049 of 3141"
"Madera County",06039,28.4,27278,"3056 of 3141"
"Monterey County",06053,28.8,78790,"3065 of 3141"
"Colusa County",06011,30.6,4130,"3089 of 3141"
"Merced County",06047,31.1,48703,"3096 of 3141"
"Tulare County",06107,31.4,83599,"3098 of 3141"
"Imperial County",06025,31.6,34282,"3100 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
