------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '06', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for California by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"California",06000,60.6,23607242,"47 of 52"
"United States",00000,73.0,234370202,"N/A"
"Alameda County",06001,42.6,694720,"3017 of 3141"
"Santa Clara County",06085,45.5,869630,"2993 of 3141"
"San Francisco County",06075,47.2,408266,"2976 of 3141"
"Los Angeles County",06037,51.8,5232835,"2936 of 3141"
"San Mateo County",06081,52.1,397718,"2931 of 3141"
"Solano County",06095,52.7,229351,"2925 of 3141"
"San Joaquin County",06077,55.9,404806,"2884 of 3141"
"Merced County",06047,57.5,153649,"2863 of 3141"
"Contra Costa County",06013,58.6,658569,"2843 of 3141"
"Sacramento County",06067,58.7,877495,"2842 of 3141"
"Riverside County",06065,61.6,1450473,"2790 of 3141"
"San Bernardino County",06071,61.9,1312700,"2780 of 3141"
"Orange County",06059,62.1,1960484,"2774 of 3141"
"Fresno County",06019,63.5,617322,"2740 of 3141"
"Monterey County",06053,64.9,281181,"2702 of 3141"
"Imperial County",06025,65.1,117188,"2698 of 3141"
"Kings County",06031,66.0,99117,"2680 of 3141"
"Yolo County",06113,67.2,142841,"2650 of 3141"
"Alpine County",06003,68.7,826,"2599 of 3141"
"Sutter County",06101,70.3,67211,"2544 of 3141"
"San Diego County",06073,70.8,2325434,"2538 of 3141"
"Napa County",06055,72.6,102418,"2493 of 3141"
"Yuba County",06115,73.1,54601,"2479 of 3141"
"Santa Barbara County",06083,74.7,330827,"2426 of 3141"
"Stanislaus County",06099,74.8,400661,"2422 of 3141"
"Kern County",06029,75.1,660196,"2406 of 3141"
"Sonoma County",06097,75.3,377401,"2402 of 3141"
"Madera County",06039,76.7,118390,"2362 of 3141"
"Del Norte County",06015,76.8,21073,"2359 of 3141"
"Santa Cruz County",06087,77.3,211116,"2339 of 3141"
"Lake County",06033,77.8,49841,"2322 of 3141"
"Marin County",06041,78.2,203898,"2294 of 3141"
"Tulare County",06107,78.9,361911,"2261 of 3141"
"Ventura County",06111,79.9,677010,"2223 of 3141"
"Humboldt County",06023,80.7,109346,"2184 of 3141"
"Inyo County",06027,80.7,14685,"2183 of 3141"
"Lassen County",06035,81.4,25615,"2152 of 3141"
"San Benito County",06069,82.0,48136,"2126 of 3141"
"Butte County",06007,82.2,185221,"2115 of 3141"
"Mendocino County",06045,82.7,72378,"2092 of 3141"
"Placer County",06061,82.7,310295,"2089 of 3141"
"Glenn County",06021,83.0,23191,"2065 of 3141"
"Siskiyou County",06093,85.1,37064,"1968 of 3141"
"Mono County",06051,85.3,11987,"1960 of 3141"
"San Luis Obispo County",06079,85.9,240584,"1923 of 3141"
"Tehama County",06103,86.0,54371,"1919 of 3141"
"Trinity County",06105,86.6,11284,"1870 of 3141"
"Shasta County",06089,86.9,155538,"1844 of 3141"
"Amador County",06005,87.0,32453,"1839 of 3141"
"El Dorado County",06017,87.5,161881,"1803 of 3141"
"Tuolumne County",06109,87.5,47181,"1798 of 3141"
"Colusa County",06011,88.3,18964,"1718 of 3141"
"Mariposa County",06043,89.0,15715,"1647 of 3141"
"Plumas County",06063,89.6,16781,"1591 of 3141"
"Modoc County",06049,91.4,8244,"1403 of 3141"
"Calaveras County",06009,91.8,41356,"1352 of 3141"
"Nevada County",06057,92.1,91016,"1308 of 3141"
"Sierra County",06091,96.9,2797,"342 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
