------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '06', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for California by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"United States",00000,3.3,3975282,"N/A"
"California",06000,8.2,1056579,"2 of 52"
"Sierra County",06091,0.2,2,"3082 of 3141"
"Plumas County",06063,0.8,65,"2822 of 3141"
"Lassen County",06035,1.1,105,"2495 of 3141"
"Mariposa County",06043,1.5,113,"2005 of 3141"
"Calaveras County",06009,1.7,300,"1823 of 3141"
"Mono County",06051,1.8,88,"1714 of 3141"
"Amador County",06005,1.9,266,"1615 of 3141"
"Inyo County",06027,2.0,162,"1481 of 3141"
"Nevada County",06057,2.1,854,"1384 of 3141"
"El Dorado County",06017,2.1,1459,"1356 of 3141"
"Placer County",06061,2.2,3017,"1319 of 3141"
"Trinity County",06105,2.6,140,"975 of 3141"
"Modoc County",06049,2.7,97,"911 of 3141"
"Lake County",06033,3.0,780,"760 of 3141"
"Butte County",06007,3.0,2564,"754 of 3141"
"Tuolumne County",06109,3.0,667,"744 of 3141"
"Shasta County",06089,3.1,2174,"693 of 3141"
"Siskiyou County",06093,3.1,589,"686 of 3141"
"Alpine County",06003,3.3,10,"603 of 3141"
"San Luis Obispo County",06079,3.4,3578,"553 of 3141"
"Del Norte County",06015,3.5,338,"526 of 3141"
"Humboldt County",06023,3.7,2020,"444 of 3141"
"Marin County",06041,3.9,4066,"411 of 3141"
"Contra Costa County",06013,4.6,17896,"265 of 3141"
"Glenn County",06021,4.8,481,"238 of 3141"
"Sacramento County",06067,4.9,25827,"235 of 3141"
"Solano County",06095,5.0,7299,"230 of 3141"
"Mendocino County",06045,5.1,1730,"214 of 3141"
"Sonoma County",06097,5.1,9764,"211 of 3141"
"Tehama County",06103,5.2,1236,"204 of 3141"
"Yolo County",06113,5.3,3868,"193 of 3141"
"Napa County",06055,5.8,2829,"164 of 3141"
"San Francisco County",06075,6.2,22137,"142 of 3141"
"San Diego County",06073,6.5,72686,"126 of 3141"
"Stanislaus County",06099,6.7,11532,"118 of 3141"
"Yuba County",06115,6.7,1743,"117 of 3141"
"Ventura County",06111,6.8,18376,"113 of 3141"
"Santa Cruz County",06087,6.9,6545,"109 of 3141"
"Sutter County",06101,7.0,2249,"106 of 3141"
"Riverside County",06065,7.0,50021,"105 of 3141"
"San Joaquin County",06077,7.1,15895,"101 of 3141"
"Alameda County",06001,7.3,41529,"94 of 3141"
"San Mateo County",06081,7.7,20199,"86 of 3141"
"Santa Clara County",06085,7.9,50098,"83 of 3141"
"San Benito County",06069,8.1,1407,"81 of 3141"
"Colusa County",06011,8.3,584,"77 of 3141"
"Kings County",06031,8.4,3550,"73 of 3141"
"San Bernardino County",06071,8.8,54760,"67 of 3141"
"Orange County",06059,8.9,91475,"63 of 3141"
"Kern County",06029,9.0,23926,"59 of 3141"
"Merced County",06047,9.2,7287,"57 of 3141"
"Fresno County",06019,9.4,28242,"54 of 3141"
"Madera County",06039,9.6,4271,"47 of 3141"
"Tulare County",06107,10.0,13454,"42 of 3141"
"Santa Barbara County",06083,10.3,14808,"37 of 3141"
"Imperial County",06025,10.6,4791,"33 of 3141"
"Los Angeles County",06037,11.7,384327,"28 of 3141"
"Monterey County",06053,12.9,16303,"19 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
