------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=19&areatype=county&cancer=057&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'cancer': '057', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=19&areatype=county&cancer=057&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Iowa by County

"Cervix (All Stages^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 7.2?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Iowa(7,8)",19000,No,7.3 ,6.7, 7.9,112,falling,-1.6 ,-2.3, -0.9
"US (SEER+NPCR)(1,10)",00000,No,7.6 ,7.5, 7.6,12695,stable,0.8 ,-0.6, 2.3
"Woodbury County(7,8)",19193,No,11 ,7.3, 15.9,6,stable,-1.6 ,-3.7, 0.6
"Linn County(7,8)",19113,No,9.6 ,7.1, 12.6,10,stable,-0.3 ,-2.0, 1.5
"Pottawattamie County(7)",19155,No,9.6 ,5.9, 14.6,5,*,*,*,*
"Scott County(7,8)",19163,No,8.2 ,5.7, 11.5,7,stable,-0.9 ,-2.7, 1.0
"Polk County(7,8)",19153,No,7.4 ,5.9, 9.2,17,stable,-1.2 ,-2.3, 0.0
"Black Hawk County(7)",19013,No,7.3 ,4.4, 11.2,4,*,*,*,*
"Johnson County(7)",19103,Yes,5.9 ,3.5, 9.4,4,*,*,*,*
"Adair County(7)",19001,***,* ,*, *,3 or fewer,*,*,*,*
"Adams County(7)",19003,***,* ,*, *,3 or fewer,*,*,*,*
"Allamakee County(7)",19005,***,* ,*, *,3 or fewer,*,*,*,*
"Appanoose County(7)",19007,***,* ,*, *,3 or fewer,*,*,*,*
"Audubon County(7)",19009,***,* ,*, *,3 or fewer,*,*,*,*
"Benton County(7)",19011,***,* ,*, *,3 or fewer,*,*,*,*
"Boone County(7)",19015,***,* ,*, *,3 or fewer,*,*,*,*
"Bremer County(7)",19017,***,* ,*, *,3 or fewer,*,*,*,*
"Buchanan County(7)",19019,***,* ,*, *,3 or fewer,*,*,*,*
"Buena Vista County(7)",19021,***,* ,*, *,3 or fewer,*,*,*,*
"Butler County(7)",19023,***,* ,*, *,3 or fewer,*,*,*,*
"Calhoun County(7)",19025,***,* ,*, *,3 or fewer,*,*,*,*
"Carroll County(7)",19027,***,* ,*, *,3 or fewer,*,*,*,*
"Cass County(7)",19029,***,* ,*, *,3 or fewer,*,*,*,*
"Cedar County(7)",19031,***,* ,*, *,3 or fewer,*,*,*,*
"Cerro Gordo County(7)",19033,***,* ,*, *,3 or fewer,*,*,*,*
"Cherokee County(7)",19035,***,* ,*, *,3 or fewer,*,*,*,*
"Chickasaw County(7)",19037,***,* ,*, *,3 or fewer,*,*,*,*
"Clarke County(7)",19039,***,* ,*, *,3 or fewer,*,*,*,*
"Clay County(7)",19041,***,* ,*, *,3 or fewer,*,*,*,*
"Clayton County(7)",19043,***,* ,*, *,3 or fewer,*,*,*,*
"Clinton County(7)",19045,***,* ,*, *,3 or fewer,*,*,*,*
"Crawford County(7)",19047,***,* ,*, *,3 or fewer,*,*,*,*
"Dallas County(7)",19049,***,* ,*, *,3 or fewer,*,*,*,*
"Davis County(7)",19051,***,* ,*, *,3 or fewer,*,*,*,*
"Decatur County(7)",19053,***,* ,*, *,3 or fewer,*,*,*,*
"Delaware County(7)",19055,***,* ,*, *,3 or fewer,*,*,*,*
"Des Moines County(7)",19057,***,* ,*, *,3 or fewer,*,*,*,*
"Dickinson County(7)",19059,***,* ,*, *,3 or fewer,*,*,*,*
"Dubuque County(7)",19061,***,* ,*, *,3 or fewer,*,*,*,*
"Emmet County(7)",19063,***,* ,*, *,3 or fewer,*,*,*,*
"Fayette County(7)",19065,***,* ,*, *,3 or fewer,*,*,*,*
"Floyd County(7)",19067,***,* ,*, *,3 or fewer,*,*,*,*
"Franklin County(7)",19069,***,* ,*, *,3 or fewer,*,*,*,*
"Fremont County(7)",19071,***,* ,*, *,3 or fewer,*,*,*,*
"Greene County(7)",19073,***,* ,*, *,3 or fewer,*,*,*,*
"Grundy County(7)",19075,***,* ,*, *,3 or fewer,*,*,*,*
"Guthrie County(7)",19077,***,* ,*, *,3 or fewer,*,*,*,*
