------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '24', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maryland by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Maryland",24000,10.2,417716,"25 of 52"
"United States",00000,12.7,27437114,"N/A"
"Howard County",24027,4.7,9932,"76 of 3141"
"Calvert County",24009,6.2,3812,"226 of 3141"
"Harford County",24025,7.1,12289,"365 of 3141"
"Charles County",24017,7.3,7535,"398 of 3141"
"Frederick County",24021,7.4,12336,"432 of 3141"
"Carroll County",24013,7.8,9021,"528 of 3141"
"Anne Arundel County",24003,8.0,31043,"584 of 3141"
"Queen Annes County",24035,8.1,2776,"594 of 3141"
"Baltimore County",24005,8.9,51013,"764 of 3141"
"Montgomery County",24031,8.9,63724,"773 of 3141"
"Worcester County",24047,9.9,3862,"1013 of 3141"
"St. Marys County",24037,10.3,7529,"1111 of 3141"
"Talbot County",24041,10.5,2952,"1164 of 3141"
"Allegany County",24001,10.5,5309,"1165 of 3141"
"Garrett County",24023,10.9,2332,"1249 of 3141"
"Cecil County",24015,11.2,7861,"1322 of 3141"
"Wicomico County",24045,11.4,7318,"1371 of 3141"
"Kent County",24029,12.7,1764,"1616 of 3141"
"Washington County",24043,13.0,13546,"1679 of 3141"
"Prince Georges County",24033,13.9,84261,"1808 of 3141"
"Dorchester County",24019,14.7,3392,"1929 of 3141"
"Baltimore City",24510,15.8,67309,"2107 of 3141"
"Caroline County",24011,16.7,3700,"2216 of 3141"
"Somerset County",24039,18.2,3100,"2401 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
