------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '24', 'areatype': 'county', 'topic': 'inc', 'demo': '00010', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_004.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maryland by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"United States",00000,70850.000000000,"N/A"
"Maryland",24000,95597.000000000,"2 of 52"
"Somerset County",24039,51591.000000000,"2357 of 3141"
"Baltimore City",24510,56236.000000000,"1943 of 3141"
"Garrett County",24023,57893.000000000,"1779 of 3141"
"Allegany County",24001,59450.000000000,"1614 of 3141"
"Caroline County",24011,63584.000000000,"1188 of 3141"
"Dorchester County",24019,64390.000000000,"1125 of 3141"
"Wicomico County",24045,66657.000000000,"947 of 3141"
"Worcester County",24047,71534.000000000,"646 of 3141"
"Washington County",24043,71989.000000000,"613 of 3141"
"Kent County",24029,74097.000000000,"489 of 3141"
"Talbot County",24041,80865.000000000,"295 of 3141"
"Cecil County",24015,85539.000000000,"218 of 3141"
"Baltimore County",24005,88717.000000000,"181 of 3141"
"Prince Georges County",24033,90382.000000000,"158 of 3141"
"Harford County",24025,99596.000000000,"83 of 3141"
"St. Marys County",24037,101941.000000000,"74 of 3141"
"Frederick County",24021,103616.000000000,"67 of 3141"
"Carroll County",24013,105274.000000000,"51 of 3141"
"Charles County",24017,105606.000000000,"49 of 3141"
"Queen Annes County",24035,106416.000000000,"46 of 3141"
"Anne Arundel County",24003,107889.000000000,"41 of 3141"
"Calvert County",24009,113574.000000000,"26 of 3141"
"Montgomery County",24031,122104.000000000,"16 of 3141"
"Howard County",24027,135226.000000000,"7 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median family income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
