------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '24', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maryland by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Maryland",24000,6.1,198375,"24 of 52"
"United States",00000,6.6,10560305,"N/A"
"Queen Annes County",24035,3.7,986,"528 of 3141"
"Carroll County",24013,4.0,3635,"611 of 3141"
"Howard County",24027,4.2,7323,"683 of 3141"
"St. Marys County",24037,4.2,2374,"689 of 3141"
"Talbot County",24041,4.4,826,"789 of 3141"
"Charles County",24017,4.5,3738,"844 of 3141"
"Kent County",24029,4.8,457,"942 of 3141"
"Garrett County",24023,4.8,701,"956 of 3141"
"Frederick County",24021,5.1,6974,"1074 of 3141"
"Anne Arundel County",24003,5.2,15891,"1134 of 3141"
"Harford County",24025,5.2,7145,"1162 of 3141"
"Montgomery County",24031,5.4,31839,"1254 of 3141"
"Baltimore County",24005,5.5,24399,"1274 of 3141"
"Cecil County",24015,5.8,3121,"1445 of 3141"
"Caroline County",24011,6.5,1087,"1802 of 3141"
"Washington County",24043,6.8,4898,"1958 of 3141"
"Worcester County",24047,7.1,1841,"2098 of 3141"
"Calvert County",24009,7.3,3577,"2129 of 3141"
"Prince Georges County",24033,7.3,37548,"2148 of 3141"
"Wicomico County",24045,7.6,4069,"2252 of 3141"
"Dorchester County",24019,8.3,1373,"2501 of 3141"
"Allegany County",24001,9.0,2853,"2676 of 3141"
"Baltimore City",24510,10.0,30749,"2842 of 3141"
"Somerset County",24039,10.2,971,"2877 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
