------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '24', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maryland by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"United States",00000,2.3,7354769,"N/A"
"Maryland",24000,2.7,160507,"24 of 51"
"Caroline County",24011,1.1,347,"722 of 3140"
"Carroll County",24013,1.2,1978,"885 of 3140"
"Dorchester County",24019,1.5,481,"1260 of 3140"
"Queen Annes County",24035,1.6,769,"1349 of 3140"
"Baltimore County",24005,1.7,14304,"1547 of 3140"
"Harford County",24025,2.1,5208,"1883 of 3140"
"Washington County",24043,2.2,3222,"1939 of 3140"
"Allegany County",24001,2.2,1572,"1947 of 3140"
"Worcester County",24047,2.3,1159,"2001 of 3140"
"Baltimore City",24510,2.3,14325,"2059 of 3140"
"Howard County",24027,2.4,7544,"2118 of 3140"
"Calvert County",24009,2.5,2220,"2131 of 3140"
"Frederick County",24021,2.6,6208,"2197 of 3140"
"Garrett County",24023,2.6,771,"2244 of 3140"
"Somerset County",24039,2.7,692,"2285 of 3140"
"Charles County",24017,2.7,4207,"2301 of 3140"
"Talbot County",24041,2.8,1036,"2334 of 3140"
"Anne Arundel County",24003,3.2,17629,"2523 of 3140"
"Wicomico County",24045,3.2,3199,"2533 of 3140"
"Montgomery County",24031,3.4,34436,"2613 of 3140"
"Cecil County",24015,3.4,3422,"2622 of 3140"
"Prince Georges County",24033,3.4,30655,"2637 of 3140"
"St. Marys County",24037,3.9,4227,"2761 of 3140"
"Kent County",24029,4.6,896,"2922 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
