------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '24', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maryland by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Maryland",24000,90.4,5422776,"25 of 52"
"Montgomery County",24031,81.0,841956,"403 of 3141"
"Prince Georges County",24033,82.6,747734,"444 of 3141"
"Frederick County",24021,91.2,224482,"825 of 3141"
"Anne Arundel County",24003,92.7,523325,"963 of 3141"
"Caroline County",24011,93.1,30538,"1008 of 3141"
"Howard County",24027,93.5,292152,"1055 of 3141"
"Talbot County",24041,93.5,35034,"1060 of 3141"
"Charles County",24017,94.6,147663,"1246 of 3141"
"Baltimore County",24005,94.9,786199,"1289 of 3141"
"Wicomico County",24045,95.0,96869,"1307 of 3141"
"Dorchester County",24019,95.0,30771,"1322 of 3141"
"Baltimore City",24510,95.0,589067,"1328 of 3141"
"St. Marys County",24037,95.2,105602,"1351 of 3141"
"Washington County",24043,95.5,142848,"1433 of 3141"
"Kent County",24029,95.7,18815,"1468 of 3141"
"Harford County",24025,95.8,239524,"1489 of 3141"
"Cecil County",24015,95.9,98185,"1525 of 3141"
"Queen Annes County",24035,96.3,47266,"1645 of 3141"
"Calvert County",24009,96.4,87548,"1671 of 3141"
"Somerset County",24039,96.5,24895,"1695 of 3141"
"Worcester County",24047,96.6,49818,"1739 of 3141"
"Carroll County",24013,96.8,161951,"1795 of 3141"
"Allegany County",24001,98.3,71334,"2534 of 3141"
"Garrett County",24023,98.9,29200,"2910 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
