------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '24', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maryland by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Maryland",24000,6.6,96089,"2 of 52"
"United States",00000,10.5,8253388,"N/A"
"Calvert County",24009,3.3,781,"65 of 3141"
"Carroll County",24013,3.4,1532,"69 of 3141"
"Howard County",24027,3.6,2987,"91 of 3141"
"Queen Annes County",24035,3.8,494,"107 of 3141"
"Anne Arundel County",24003,3.9,5592,"117 of 3141"
"Frederick County",24021,4.5,2899,"179 of 3141"
"Montgomery County",24031,4.8,12299,"212 of 3141"
"Charles County",24017,5.2,2099,"276 of 3141"
"Harford County",24025,5.4,3654,"313 of 3141"
"St. Marys County",24037,5.8,1594,"366 of 3141"
"Baltimore County",24005,6.0,12328,"429 of 3141"
"Cecil County",24015,6.5,1686,"509 of 3141"
"Prince Georges County",24033,6.5,13234,"527 of 3141"
"Talbot County",24041,6.7,737,"563 of 3141"
"Garrett County",24023,7.6,622,"780 of 3141"
"Kent County",24029,7.8,360,"837 of 3141"
"Worcester County",24047,7.8,1056,"848 of 3141"
"Washington County",24043,9.7,3629,"1332 of 3141"
"Wicomico County",24045,10.2,2496,"1468 of 3141"
"Allegany County",24001,10.6,1818,"1556 of 3141"
"Dorchester County",24019,11.9,1012,"1857 of 3141"
"Caroline County",24011,12.1,1045,"1901 of 3141"
"Baltimore City",24510,17.2,21186,"2702 of 3141"
"Somerset County",24039,18.0,949,"2772 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
