------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"United States",00000,85.4,270854872,"N/A"
"Minnesota",27000,85.6,4644170,"21 of 51"
"Stevens County",27149,79.1,7634,"2985 of 3140"
"Winona County",27169,80.3,40467,"2918 of 3140"
"Stearns County",27145,80.3,123322,"2911 of 3140"
"Blue Earth County",27013,80.6,52447,"2886 of 3140"
"Ramsey County",27123,81.8,434014,"2784 of 3140"
"Beltrami County",27007,83.1,37545,"2606 of 3140"
"Hennepin County",27053,83.1,1004850,"2605 of 3140"
"St. Louis County",27137,83.7,165994,"2494 of 3140"
"Nicollet County",27103,83.7,27748,"2485 of 3140"
"Lyon County",27083,84.1,21354,"2410 of 3140"
"Rock County",27133,84.3,7823,"2381 of 3140"
"Clay County",27027,84.7,51700,"2292 of 3140"
"Pipestone County",27117,84.8,7743,"2277 of 3140"
"Benton County",27009,85.1,32890,"2203 of 3140"
"Mower County",27099,85.2,33207,"2160 of 3140"
"Rice County",27131,85.6,55318,"2062 of 3140"
"Mille Lacs County",27095,86.1,21803,"1915 of 3140"
"Olmsted County",27109,86.1,129179,"1908 of 3140"
"Chisago County",27025,86.4,46439,"1833 of 3140"
"Isanti County",27059,86.5,32989,"1800 of 3140"
"Steele County",27147,86.5,31273,"1787 of 3140"
"Douglas County",27041,86.6,31577,"1754 of 3140"
