------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Minnesota",27000,8.2,448397,"23 of 51"
"United States",00000,13.4,43028127,"N/A"
"Wilkin County",27167,0.7,43,"2880 of 3140"
"Lincoln County",27081,0.7,40,"2862 of 3140"
"Mahnomen County",27087,0.7,41,"2830 of 3140"
"Wadena County",27159,0.8,108,"2796 of 3140"
"Kanabec County",27065,0.9,150,"2691 of 3140"
"Itasca County",27061,1.0,457,"2640 of 3140"
"Douglas County",27041,1.0,380,"2621 of 3140"
"Pope County",27121,1.0,114,"2612 of 3140"
"Houston County",27055,1.1,200,"2594 of 3140"
"Cass County",27021,1.1,310,"2587 of 3140"
"Clearwater County",27029,1.1,97,"2566 of 3140"
"Aitkin County",27001,1.1,177,"2552 of 3140"
"Carlton County",27017,1.1,406,"2540 of 3140"
"Morrison County",27097,1.1,377,"2540 of 3140"
"Hubbard County",27057,1.2,242,"2520 of 3140"
"Lake of the Woods County",27077,1.2,45,"2513 of 3140"
"Grant County",27051,1.2,70,"2503 of 3140"
"Big Stone County",27011,1.4,69,"2342 of 3140"
"Wabasha County",27157,1.5,314,"2278 of 3140"
"Crow Wing County",27035,1.5,947,"2255 of 3140"
"Fillmore County",27045,1.5,312,"2250 of 3140"
"Mille Lacs County",27095,1.5,385,"2245 of 3140"
"Isanti County",27059,1.5,580,"2244 of 3140"
"Red Lake County",27125,1.5,61,"2231 of 3140"
"Traverse County",27155,1.5,52,"2212 of 3140"
"Pine County",27115,1.6,452,"2207 of 3140"
"Becker County",27005,1.7,557,"2135 of 3140"
"Yellow Medicine County",27173,1.7,170,"2102 of 3140"
"Martin County",27091,1.7,344,"2101 of 3140"
"Beltrami County",27007,1.7,790,"2091 of 3140"
"Marshall County",27089,1.7,164,"2070 of 3140"
"Rock County",27133,1.9,176,"1997 of 3140"
"Norman County",27107,1.9,126,"1974 of 3140"
"Chisago County",27025,2.0,1062,"1949 of 3140"
"Swift County",27151,2.0,192,"1917 of 3140"
"Dodge County",27039,2.1,420,"1902 of 3140"
"Pennington County",27113,2.1,297,"1871 of 3140"
"Brown County",27015,2.2,545,"1831 of 3140"
"Faribault County",27043,2.3,317,"1766 of 3140"
"Meeker County",27093,2.3,534,"1742 of 3140"
"Lake County",27075,2.3,245,"1739 of 3140"
"Redwood County",27127,2.4,371,"1714 of 3140"
"St. Louis County",27137,2.4,4816,"1713 of 3140"
"Jackson County",27063,2.5,255,"1661 of 3140"
"Kittson County",27069,2.6,113,"1633 of 3140"
"Otter Tail County",27111,2.6,1509,"1616 of 3140"
"Murray County",27101,2.7,226,"1570 of 3140"
"Lac qui Parle County",27073,2.7,185,"1564 of 3140"
"Goodhue County",27049,2.8,1304,"1504 of 3140"
"Renville County",27129,2.9,423,"1488 of 3140"
"McLeod County",27085,2.9,1034,"1482 of 3140"
"Wright County",27171,2.9,3849,"1456 of 3140"
"Sherburne County",27141,2.9,2707,"1453 of 3140"
"Le Sueur County",27079,3.0,824,"1439 of 3140"
"Todd County",27153,3.2,778,"1354 of 3140"
"Benton County",27009,3.2,1277,"1339 of 3140"
"Winona County",27169,3.3,1701,"1310 of 3140"
"Steele County",27147,3.6,1316,"1232 of 3140"
"Polk County",27119,3.6,1144,"1224 of 3140"
"Waseca County",27161,3.7,697,"1206 of 3140"
"Roseau County",27135,3.7,574,"1204 of 3140"
"Clay County",27027,4.2,2600,"1063 of 3140"
"Chippewa County",27023,4.3,521,"1034 of 3140"
"Blue Earth County",27013,4.4,2902,"1022 of 3140"
"Nicollet County",27103,4.5,1509,"1006 of 3140"
"Stevens County",27149,4.7,461,"963 of 3140"
"Carver County",27019,4.8,4702,"959 of 3140"
"Freeborn County",27047,4.9,1492,"940 of 3140"
"Sibley County",27143,5.0,749,"912 of 3140"
"Cottonwood County",27033,5.2,590,"891 of 3140"
"Cook County",27031,5.8,304,"778 of 3140"
"Koochiching County",27071,5.9,758,"753 of 3140"
