------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"Minnesota",27000,2.0,108794,"11 of 51"
"United States",00000,2.3,7354769,"N/A"
"Watonwan County",27165,0.3,35,"94 of 3140"
"Red Lake County",27125,0.4,17,"135 of 3140"
"Faribault County",27043,0.6,81,"234 of 3140"
"Meeker County",27093,0.6,143,"267 of 3140"
"Morrison County",27097,0.6,207,"275 of 3140"
"Isanti County",27059,0.7,258,"309 of 3140"
"Redwood County",27127,0.7,107,"338 of 3140"
"Carlton County",27017,0.7,256,"353 of 3140"
"Mille Lacs County",27095,0.7,185,"354 of 3140"
"Freeborn County",27047,0.8,235,"396 of 3140"
"McLeod County",27085,0.8,291,"444 of 3140"
"Mahnomen County",27087,0.8,45,"458 of 3140"
"Aitkin County",27001,0.9,141,"532 of 3140"
"Wabasha County",27157,0.9,195,"554 of 3140"
"Kanabec County",27065,0.9,147,"567 of 3140"
"Renville County",27129,1.0,141,"608 of 3140"
"Wadena County",27159,1.0,131,"618 of 3140"
"Dodge County",27039,1.0,199,"628 of 3140"
"Pope County",27121,1.0,107,"638 of 3140"
"Wright County",27171,1.0,1291,"643 of 3140"
"Cass County",27021,1.0,287,"657 of 3140"
"Murray County",27101,1.0,87,"698 of 3140"
"Itasca County",27061,1.1,484,"739 of 3140"
"Chisago County",27025,1.1,601,"787 of 3140"
"Yellow Medicine County",27173,1.2,116,"878 of 3140"
"Douglas County",27041,1.2,435,"884 of 3140"
"Anoka County",27003,1.2,4097,"902 of 3140"
"Todd County",27153,1.2,291,"904 of 3140"
"Roseau County",27135,1.2,188,"924 of 3140"
"Swift County",27151,1.3,120,"1003 of 3140"
"Fillmore County",27045,1.4,288,"1130 of 3140"
"Marshall County",27089,1.4,131,"1152 of 3140"
"Pine County",27115,1.4,411,"1177 of 3140"
"Scott County",27139,1.4,2010,"1189 of 3140"
"Sherburne County",27141,1.5,1325,"1204 of 3140"
"Becker County",27005,1.5,487,"1212 of 3140"
"Kandiyohi County",27067,1.5,636,"1274 of 3140"
"Sibley County",27143,1.5,224,"1286 of 3140"
"Lake County",27075,1.5,161,"1306 of 3140"
"Carver County",27019,1.6,1513,"1317 of 3140"
"Clearwater County",27029,1.6,135,"1324 of 3140"
"Waseca County",27161,1.6,295,"1339 of 3140"
"Lac qui Parle County",27073,1.6,110,"1396 of 3140"
"Big Stone County",27011,1.6,81,"1398 of 3140"
"Beltrami County",27007,1.6,739,"1414 of 3140"
"Washington County",27163,1.6,4066,"1417 of 3140"
"Dakota County",27037,1.6,6756,"1433 of 3140"
"Cook County",27031,1.7,87,"1442 of 3140"
"Jackson County",27063,1.7,170,"1493 of 3140"
"Otter Tail County",27111,1.7,975,"1502 of 3140"
"Kittson County",27069,1.7,75,"1520 of 3140"
"Lake of the Woods County",27077,1.8,67,"1558 of 3140"
"Grant County",27051,1.8,103,"1564 of 3140"
"Le Sueur County",27079,1.8,490,"1586 of 3140"
"Chippewa County",27023,1.8,214,"1606 of 3140"
"Hubbard County",27057,1.9,382,"1656 of 3140"
"Cottonwood County",27033,1.9,210,"1665 of 3140"
"St. Louis County",27137,1.9,3739,"1680 of 3140"
"Goodhue County",27049,1.9,879,"1714 of 3140"
"Nicollet County",27103,2.0,652,"1760 of 3140"
"Stearns County",27145,2.0,3054,"1776 of 3140"
"Crow Wing County",27035,2.0,1265,"1795 of 3140"
"Lyon County",27083,2.1,524,"1847 of 3140"
"Martin County",27091,2.1,415,"1863 of 3140"
"Brown County",27015,2.2,540,"1921 of 3140"
"Benton County",27009,2.2,839,"1929 of 3140"
"Nobles County",27105,2.2,470,"1942 of 3140"
"Koochiching County",27071,2.2,279,"1957 of 3140"
"Steele County",27147,2.3,824,"2008 of 3140"
"Ramsey County",27123,2.4,12948,"2117 of 3140"
"Norman County",27107,2.5,160,"2129 of 3140"
"Olmsted County",27109,2.5,3713,"2142 of 3140"
"Rice County",27131,2.5,1619,"2159 of 3140"
"Houston County",27055,2.5,469,"2175 of 3140"
"Mower County",27099,2.6,1010,"2221 of 3140"
"Hennepin County",27053,2.7,32325,"2264 of 3140"
"Traverse County",27155,2.7,90,"2279 of 3140"
"Blue Earth County",27013,2.7,1765,"2289 of 3140"
"Stevens County",27149,2.9,276,"2374 of 3140"
"Pennington County",27113,2.9,411,"2412 of 3140"
"Polk County",27119,3.1,970,"2502 of 3140"
"Lincoln County",27081,3.5,200,"2673 of 3140"
"Winona County",27169,4.0,2028,"2802 of 3140"
"Clay County",27027,4.7,2854,"2931 of 3140"
"Pipestone County",27117,4.9,443,"2951 of 3140"
"Wilkin County",27167,5.1,319,"2973 of 3140"
"Rock County",27133,7.1,655,"3088 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
