------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"Minnesota",27000,0.5,28325,"27 of 51"
"United States",00000,0.7,2074097,"N/A"
"Lake of the Woods County",27077,0.0,0,"1 of 3140"
"Lincoln County",27081,0.0,0,"1 of 3140"
"Red Lake County",27125,0.0,0,"1 of 3140"
"Norman County",27107,0.0,1,"394 of 3140"
"Mahnomen County",27087,0.1,3,"606 of 3140"
"Wilkin County",27167,0.1,4,"657 of 3140"
"Pope County",27121,0.1,7,"673 of 3140"
"McLeod County",27085,0.1,23,"677 of 3140"
"Lake County",27075,0.1,7,"696 of 3140"
"Carlton County",27017,0.1,24,"703 of 3140"
"Pennington County",27113,0.1,12,"830 of 3140"
"Chisago County",27025,0.1,47,"843 of 3140"
"Traverse County",27155,0.1,3,"861 of 3140"
"Itasca County",27061,0.1,41,"874 of 3140"
"Grant County",27051,0.1,6,"939 of 3140"
"Crow Wing County",27035,0.1,67,"963 of 3140"
"Otter Tail County",27111,0.1,64,"1001 of 3140"
"Douglas County",27041,0.1,41,"1003 of 3140"
"Mille Lacs County",27095,0.1,29,"1026 of 3140"
"Waseca County",27161,0.1,22,"1054 of 3140"
"Chippewa County",27023,0.1,14,"1059 of 3140"
"Cass County",27021,0.1,34,"1071 of 3140"
"Dodge County",27039,0.1,25,"1101 of 3140"
"Houston County",27055,0.1,24,"1139 of 3140"
"Rock County",27133,0.1,12,"1142 of 3140"
"Yellow Medicine County",27173,0.1,13,"1160 of 3140"
"Renville County",27129,0.1,20,"1183 of 3140"
"Koochiching County",27071,0.1,18,"1218 of 3140"
"Faribault County",27043,0.2,21,"1273 of 3140"
"Pine County",27115,0.2,44,"1283 of 3140"
"Redwood County",27127,0.2,24,"1307 of 3140"
"Morrison County",27097,0.2,52,"1319 of 3140"
"Sherburne County",27141,0.2,145,"1320 of 3140"
"Nicollet County",27103,0.2,53,"1323 of 3140"
"Brown County",27015,0.2,40,"1325 of 3140"
"Hubbard County",27057,0.2,34,"1365 of 3140"
"Watonwan County",27165,0.2,18,"1375 of 3140"
"Benton County",27009,0.2,66,"1400 of 3140"
"Wright County",27171,0.2,232,"1456 of 3140"
"Roseau County",27135,0.2,28,"1473 of 3140"
"Marshall County",27089,0.2,17,"1480 of 3140"
"Kanabec County",27065,0.2,31,"1555 of 3140"
"Aitkin County",27001,0.2,31,"1562 of 3140"
"Isanti County",27059,0.2,76,"1571 of 3140"
"Big Stone County",27011,0.2,10,"1576 of 3140"
"Fillmore County",27045,0.2,44,"1636 of 3140"
"Kandiyohi County",27067,0.2,92,"1671 of 3140"
"Wabasha County",27157,0.2,47,"1682 of 3140"
"St. Louis County",27137,0.2,478,"1776 of 3140"
"Beltrami County",27007,0.2,111,"1797 of 3140"
"Lyon County",27083,0.3,64,"1824 of 3140"
"Jackson County",27063,0.3,26,"1858 of 3140"
"Wadena County",27159,0.3,35,"1859 of 3140"
"Freeborn County",27047,0.3,81,"1892 of 3140"
"Anoka County",27003,0.3,964,"1961 of 3140"
"Clearwater County",27029,0.3,25,"1982 of 3140"
"Goodhue County",27049,0.3,133,"1988 of 3140"
"Polk County",27119,0.3,93,"2011 of 3140"
"Martin County",27091,0.3,61,"2040 of 3140"
"Kittson County",27069,0.3,14,"2092 of 3140"
"Carver County",27019,0.3,320,"2108 of 3140"
"Sibley County",27143,0.3,49,"2126 of 3140"
"Clay County",27027,0.3,206,"2140 of 3140"
"Todd County",27153,0.3,83,"2158 of 3140"
"Steele County",27147,0.4,133,"2238 of 3140"
"Le Sueur County",27079,0.4,104,"2265 of 3140"
"Washington County",27163,0.4,959,"2281 of 3140"
"Swift County",27151,0.4,37,"2308 of 3140"
"Scott County",27139,0.4,561,"2321 of 3140"
"Murray County",27101,0.4,34,"2336 of 3140"
"Cottonwood County",27033,0.5,51,"2419 of 3140"
"Nobles County",27105,0.5,99,"2433 of 3140"
"Blue Earth County",27013,0.5,328,"2510 of 3140"
"Winona County",27169,0.5,266,"2563 of 3140"
"Rice County",27131,0.6,361,"2614 of 3140"
"Dakota County",27037,0.6,2292,"2615 of 3140"
"Meeker County",27093,0.6,147,"2716 of 3140"
"Stearns County",27145,0.7,1019,"2742 of 3140"
"Lac qui Parle County",27073,0.7,48,"2785 of 3140"
"Pipestone County",27117,0.7,67,"2811 of 3140"
"Hennepin County",27053,0.9,10299,"2897 of 3140"
"Mower County",27099,0.9,335,"2899 of 3140"
"Becker County",27005,0.9,289,"2905 of 3140"
"Ramsey County",27123,0.9,4659,"2913 of 3140"
"Olmsted County",27109,1.1,1640,"2989 of 3140"
"Cook County",27031,1.2,61,"3003 of 3140"
"Stevens County",27149,1.3,127,"3036 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved from outside US (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
