------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Minnesota",27000,2.4,51898,"27 of 51"
"United States",00000,4.5,5305440,"N/A"
"Wilkin County",27167,0.0,0,"1 of 3140"
"Isanti County",27059,0.1,10,"364 of 3140"
"Lake County",27075,0.1,4,"377 of 3140"
"Beltrami County",27007,0.1,18,"410 of 3140"
"Cass County",27021,0.1,16,"442 of 3140"
"Aitkin County",27001,0.1,11,"481 of 3140"
"Houston County",27055,0.1,12,"485 of 3140"
"Cook County",27031,0.1,4,"486 of 3140"
"Crow Wing County",27035,0.2,43,"526 of 3140"
"Lac qui Parle County",27073,0.2,6,"571 of 3140"
"Traverse County",27155,0.2,3,"574 of 3140"
"Lincoln County",27081,0.2,5,"590 of 3140"
"Douglas County",27041,0.2,38,"657 of 3140"
"Chisago County",27025,0.2,47,"658 of 3140"
"Lake of the Woods County",27077,0.3,4,"709 of 3140"
"Wadena County",27159,0.3,16,"747 of 3140"
"Morrison County",27097,0.3,38,"757 of 3140"
"Carlton County",27017,0.3,40,"783 of 3140"
"Kittson County",27069,0.3,6,"812 of 3140"
"Mille Lacs County",27095,0.3,34,"849 of 3140"
"Kanabec County",27065,0.3,22,"870 of 3140"
"Itasca County",27061,0.4,68,"884 of 3140"
"Hubbard County",27057,0.4,31,"890 of 3140"
"Pine County",27115,0.4,43,"973 of 3140"
"Jackson County",27063,0.4,19,"1045 of 3140"
