------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"United States",00000,3.2,10247779,"N/A"
"Minnesota",27000,4.5,246763,"48 of 51"
"Nobles County",27105,1.4,309,"132 of 3140"
"Koochiching County",27071,1.7,212,"205 of 3140"
"Houston County",27055,1.7,322,"224 of 3140"
"Norman County",27107,1.8,115,"241 of 3140"
"Wilkin County",27167,1.9,119,"281 of 3140"
"Brown County",27015,1.9,487,"312 of 3140"
"Fillmore County",27045,2.4,493,"552 of 3140"
"Lake County",27075,2.4,251,"560 of 3140"
"Roseau County",27135,2.4,370,"563 of 3140"
"Rock County",27133,2.5,230,"610 of 3140"
"Lac qui Parle County",27073,2.6,175,"680 of 3140"
"Marshall County",27089,2.6,242,"704 of 3140"
"Cook County",27031,2.7,141,"761 of 3140"
"Watonwan County",27165,2.7,298,"802 of 3140"
"Redwood County",27127,2.8,421,"810 of 3140"
"Pipestone County",27117,2.8,252,"814 of 3140"
"Freeborn County",27047,2.8,842,"827 of 3140"
"Kittson County",27069,2.9,124,"879 of 3140"
"Olmsted County",27109,2.9,4326,"902 of 3140"
"Kandiyohi County",27067,3.0,1264,"979 of 3140"
"Becker County",27005,3.1,1021,"1024 of 3140"
"Big Stone County",27011,3.1,155,"1042 of 3140"
"Red Lake County",27125,3.1,123,"1054 of 3140"
"Polk County",27119,3.1,970,"1055 of 3140"
"Jackson County",27063,3.2,316,"1103 of 3140"
"Otter Tail County",27111,3.2,1833,"1137 of 3140"
"Martin County",27091,3.2,642,"1147 of 3140"
"Hennepin County",27053,3.4,41275,"1266 of 3140"
"Lincoln County",27081,3.4,194,"1282 of 3140"
"McLeod County",27085,3.5,1227,"1328 of 3140"
"Clearwater County",27029,3.5,303,"1342 of 3140"
"Mower County",27099,3.6,1384,"1388 of 3140"
"Renville County",27129,3.6,531,"1446 of 3140"
"Pennington County",27113,3.6,511,"1454 of 3140"
"Lake of the Woods County",27077,3.6,139,"1459 of 3140"
"Morrison County",27097,3.7,1198,"1491 of 3140"
"Mahnomen County",27087,3.8,204,"1557 of 3140"
"St. Louis County",27137,3.8,7573,"1589 of 3140"
"Yellow Medicine County",27173,3.9,382,"1640 of 3140"
"Faribault County",27043,3.9,543,"1657 of 3140"
"Sibley County",27143,3.9,580,"1672 of 3140"
"Crow Wing County",27035,4.0,2505,"1699 of 3140"
"Traverse County",27155,4.0,134,"1718 of 3140"
"Wabasha County",27157,4.0,860,"1733 of 3140"
"Steele County",27147,4.1,1467,"1742 of 3140"
"Clay County",27027,4.2,2536,"1792 of 3140"
"Aitkin County",27001,4.2,664,"1836 of 3140"
"Murray County",27101,4.2,351,"1843 of 3140"
"Itasca County",27061,4.3,1924,"1869 of 3140"
"Goodhue County",27049,4.4,2016,"1938 of 3140"
"Swift County",27151,4.4,414,"1959 of 3140"
"Dakota County",27037,4.5,18248,"1966 of 3140"
"Cass County",27021,4.5,1288,"2003 of 3140"
"Wright County",27171,4.6,5947,"2041 of 3140"
"Anoka County",27003,4.7,16122,"2125 of 3140"
"Todd County",27153,4.7,1146,"2129 of 3140"
"Grant County",27051,4.9,284,"2186 of 3140"
"Le Sueur County",27079,4.9,1336,"2191 of 3140"
"Pine County",27115,4.9,1403,"2193 of 3140"
"Carlton County",27017,4.9,1731,"2217 of 3140"
"Winona County",27169,5.0,2500,"2234 of 3140"
"Wadena County",27159,5.0,666,"2239 of 3140"
"Douglas County",27041,5.0,1818,"2254 of 3140"
"Lyon County",27083,5.0,1281,"2282 of 3140"
"Meeker County",27093,5.2,1181,"2340 of 3140"
"Chippewa County",27023,5.2,622,"2379 of 3140"
"Washington County",27163,5.3,13232,"2409 of 3140"
"Waseca County",27161,5.3,1000,"2411 of 3140"
"Scott County",27139,5.4,7526,"2436 of 3140"
"Hubbard County",27057,5.4,1112,"2448 of 3140"
"Pope County",27121,5.5,592,"2476 of 3140"
"Beltrami County",27007,5.5,2488,"2490 of 3140"
"Ramsey County",27123,5.7,30333,"2558 of 3140"
"Kanabec County",27065,5.9,939,"2616 of 3140"
"Carver County",27019,6.0,5826,"2624 of 3140"
"Rice County",27131,6.1,3919,"2646 of 3140"
"Cottonwood County",27033,6.3,706,"2695 of 3140"
"Dodge County",27039,6.3,1272,"2700 of 3140"
"Sherburne County",27141,6.4,5838,"2727 of 3140"
"Isanti County",27059,6.5,2483,"2744 of 3140"
"Mille Lacs County",27095,6.8,1729,"2804 of 3140"
"Chisago County",27025,7.2,3853,"2857 of 3140"
"Stearns County",27145,7.5,11439,"2892 of 3140"
"Stevens County",27149,7.5,724,"2897 of 3140"
"Blue Earth County",27013,8.0,5188,"2949 of 3140"
"Benton County",27009,8.1,3128,"2965 of 3140"
"Nicollet County",27103,8.7,2895,"3006 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
