------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Minnesota",27000,9.7,66367,"6 of 51"
"Pennington County",27113,7.2,125,"37 of 3139"
"Douglas County",27041,7.3,278,"41 of 3139"
"Benton County",27009,7.5,464,"46 of 3139"
"Blue Earth County",27013,7.6,929,"51 of 3139"
"Steele County",27147,7.6,345,"51 of 3139"
"Wadena County",27159,7.6,188,"51 of 3139"
"St. Louis County",27137,7.7,2493,"59 of 3139"
"Crow Wing County",27035,7.8,665,"68 of 3139"
"Waseca County",27161,7.8,180,"68 of 3139"
"Brown County",27015,7.9,210,"75 of 3139"
"Morrison County",27097,8.0,381,"79 of 3139"
"Swift County",27151,8.0,108,"79 of 3139"
"Lake County",27075,8.3,101,"126 of 3139"
"Sherburne County",27141,8.3,675,"126 of 3139"
"Isanti County",27059,8.5,367,"144 of 3139"
"Wilkin County",27167,8.5,64,"144 of 3139"
"Wabasha County",27157,8.6,177,"156 of 3139"
"Carlton County",27017,8.7,390,"168 of 3139"
"Clay County",27027,8.7,768,"168 of 3139"
"Grant County",27051,8.7,72,"168 of 3139"
"Itasca County",27061,8.8,567,"186 of 3139"
"Jackson County",27063,8.8,104,"186 of 3139"
"Stearns County",27145,8.8,1978,"186 of 3139"
"Wright County",27171,8.8,892,"186 of 3139"
"Aitkin County",27001,8.9,207,"215 of 3139"
"Hubbard County",27057,8.9,272,"215 of 3139"
"McLeod County",27085,8.9,362,"215 of 3139"
"Meeker County",27093,8.9,240,"215 of 3139"
"Rock County",27133,8.9,103,"215 of 3139"
"Mille Lacs County",27095,9.0,353,"236 of 3139"
"Polk County",27119,9.0,387,"236 of 3139"
"Mahnomen County",27087,9.1,139,"265 of 3139"
"Marshall County",27089,9.1,89,"265 of 3139"
"Nicollet County",27103,9.1,343,"265 of 3139"
"Pine County",27115,9.1,397,"265 of 3139"
"Ramsey County",27123,9.1,8901,"265 of 3139"
"Becker County",27005,9.2,452,"289 of 3139"
"Chisago County",27025,9.2,421,"289 of 3139"
"Lyon County",27083,9.2,368,"289 of 3139"
"Beltrami County",27007,9.3,948,"309 of 3139"
"Big Stone County",27011,9.3,61,"309 of 3139"
