------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Minnesota",27000,5.2,284649,"37 of 52"
"United States",00000,17.6,56510571,"N/A"
"Koochiching County",27071,0.2,20,"3122 of 3141"
"Wilkin County",27167,0.7,45,"3022 of 3141"
"Houston County",27055,1.0,183,"2940 of 3141"
"Roseau County",27135,1.2,181,"2877 of 3141"
"Aitkin County",27001,1.3,202,"2819 of 3141"
"Pope County",27121,1.3,141,"2810 of 3141"
"Itasca County",27061,1.3,598,"2789 of 3141"
"Big Stone County",27011,1.4,71,"2748 of 3141"
"Fillmore County",27045,1.4,298,"2731 of 3141"
"Crow Wing County",27035,1.4,918,"2720 of 3141"
"Lake County",27075,1.4,153,"2719 of 3141"
"Douglas County",27041,1.5,570,"2649 of 3141"
"Kanabec County",27065,1.5,247,"2648 of 3141"
"St. Louis County",27137,1.6,3124,"2637 of 3141"
"Morrison County",27097,1.6,518,"2619 of 3141"
"Carlton County",27017,1.7,601,"2560 of 3141"
"Lincoln County",27081,1.7,99,"2537 of 3141"
"Lake of the Woods County",27077,1.7,67,"2527 of 3141"
"Wadena County",27159,1.8,241,"2517 of 3141"
"Isanti County",27059,1.8,710,"2468 of 3141"
"Becker County",27005,1.9,635,"2439 of 3141"
"Cass County",27021,2.0,570,"2399 of 3141"
"Hubbard County",27057,2.0,413,"2384 of 3141"
"Clearwater County",27029,2.0,177,"2377 of 3141"
"Chisago County",27025,2.0,1092,"2370 of 3141"
"Cook County",27031,2.1,109,"2348 of 3141"
