------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"United States",00000,34.5,110609456,"N/A"
"Minnesota",27000,35.0,1920512,"29 of 52"
"Scott County",27139,28.3,40054,"2976 of 3141"
"Sherburne County",27141,29.2,26860,"2937 of 3141"
"Blue Earth County",27013,29.2,19214,"2933 of 3141"
"Clay County",27027,29.5,18271,"2917 of 3141"
"Wright County",27171,30.1,39504,"2868 of 3141"
"Carver County",27019,31.2,30866,"2792 of 3141"
"Benton County",27009,31.5,12395,"2769 of 3141"
"Ramsey County",27123,32.0,172120,"2725 of 3141"
"Hennepin County",27053,32.4,396396,"2688 of 3141"
"Stearns County",27145,32.4,50307,"2684 of 3141"
"Beltrami County",27007,32.8,15059,"2634 of 3141"
"Dakota County",27037,33.6,139260,"2557 of 3141"
"Rice County",27131,33.6,21940,"2549 of 3141"
"Nicollet County",27103,33.7,11294,"2535 of 3141"
"Dodge County",27039,33.8,6928,"2530 of 3141"
"Stevens County",27149,33.9,3306,"2523 of 3141"
"Lyon County",27083,33.9,8740,"2520 of 3141"
"Anoka County",27003,33.9,116940,"2513 of 3141"
"Olmsted County",27109,34.1,51660,"2491 of 3141"
"Nobles County",27105,34.1,7449,"2484 of 3141"
"Winona County",27169,34.4,17561,"2443 of 3141"
"Washington County",27163,34.8,87400,"2384 of 3141"
"Mahnomen County",27087,35.9,1977,"2200 of 3141"
"Chisago County",27025,36.1,19576,"2189 of 3141"
"Isanti County",27059,36.3,13997,"2151 of 3141"
"Waseca County",27161,36.7,6930,"2094 of 3141"
"Steele County",27147,36.7,13439,"2087 of 3141"
"Pennington County",27113,37.4,5308,"1925 of 3141"
"Mower County",27099,38.2,15028,"1753 of 3141"
"McLeod County",27085,38.2,13666,"1752 of 3141"
"Carlton County",27017,38.4,13598,"1701 of 3141"
"Le Sueur County",27079,38.5,10696,"1691 of 3141"
"Polk County",27119,38.5,12151,"1683 of 3141"
"Kandiyohi County",27067,38.6,16421,"1673 of 3141"
"Roseau County",27135,38.6,6005,"1656 of 3141"
"Mille Lacs County",27095,38.7,9916,"1649 of 3141"
"Sibley County",27143,39.4,5862,"1489 of 3141"
"St. Louis County",27137,39.9,79977,"1361 of 3141"
"Rock County",27133,40.0,3769,"1350 of 3141"
"Morrison County",27097,40.4,13288,"1246 of 3141"
"Meeker County",27093,40.5,9368,"1203 of 3141"
"Watonwan County",27165,40.6,4439,"1193 of 3141"
"Goodhue County",27049,41.1,18984,"1070 of 3141"
"Clearwater County",27029,41.3,3643,"1038 of 3141"
"Becker County",27005,41.4,13888,"1020 of 3141"
"Yellow Medicine County",27173,41.5,4117,"1009 of 3141"
"Pipestone County",27117,41.5,3831,"1000 of 3141"
"Chippewa County",27023,41.7,5021,"975 of 3141"
"Wadena County",27159,41.7,5686,"971 of 3141"
"Red Lake County",27125,41.8,1680,"954 of 3141"
"Fillmore County",27045,41.8,8711,"952 of 3141"
"Brown County",27015,41.8,10563,"948 of 3141"
"Redwood County",27127,42.0,6481,"923 of 3141"
"Cottonwood County",27033,42.5,4866,"840 of 3141"
"Pine County",27115,42.7,12408,"812 of 3141"
"Jackson County",27063,42.7,4317,"806 of 3141"
"Marshall County",27089,42.8,4023,"790 of 3141"
"Todd County",27153,42.9,10474,"773 of 3141"
"Swift County",27151,42.9,4052,"772 of 3141"
"Kanabec County",27065,43.1,6866,"754 of 3141"
"Crow Wing County",27035,43.1,27362,"748 of 3141"
"Wilkin County",27167,43.1,2758,"746 of 3141"
"Renville County",27129,43.4,6425,"700 of 3141"
"Norman County",27107,43.5,2865,"688 of 3141"
"Wabasha County",27157,43.5,9350,"685 of 3141"
"Douglas County",27041,43.6,16072,"673 of 3141"
"Freeborn County",27047,43.6,13344,"671 of 3141"
"Houston County",27055,44.3,8282,"590 of 3141"
"Martin County",27091,44.9,9012,"531 of 3141"
"Grant County",27051,45.0,2666,"519 of 3141"
"Itasca County",27061,45.2,20452,"496 of 3141"
"Lincoln County",27081,45.4,2599,"476 of 3141"
"Pope County",27121,45.6,4990,"448 of 3141"
"Otter Tail County",27111,46.0,26576,"416 of 3141"
"Faribault County",27043,46.0,6430,"411 of 3141"
"Kittson County",27069,47.2,2071,"319 of 3141"
"Murray County",27101,47.8,4011,"286 of 3141"
"Koochiching County",27071,48.1,6143,"267 of 3141"
