------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"Minnesota",27000,7.3,395865,"9 of 51"
"United States",00000,8.4,26717038,"N/A"
"Traverse County",27155,1.6,53,"63 of 3140"
"Wilkin County",27167,2.1,131,"106 of 3140"
"Marshall County",27089,2.8,260,"211 of 3140"
"Norman County",27107,2.9,186,"223 of 3140"
"Watonwan County",27165,2.9,314,"232 of 3140"
"Sibley County",27143,3.3,487,"321 of 3140"
"Redwood County",27127,3.7,560,"423 of 3140"
"Murray County",27101,3.9,320,"481 of 3140"
"Cottonwood County",27033,3.9,436,"487 of 3140"
"Carver County",27019,4.0,3870,"518 of 3140"
"Aitkin County",27001,4.0,634,"548 of 3140"
"Scott County",27139,4.1,5753,"566 of 3140"
"Cass County",27021,4.3,1229,"625 of 3140"
"Washington County",27163,4.4,10833,"646 of 3140"
"Red Lake County",27125,4.4,174,"664 of 3140"
"Faribault County",27043,4.5,620,"690 of 3140"
"Benton County",27009,4.5,1744,"706 of 3140"
"Renville County",27129,4.5,663,"717 of 3140"
"Wadena County",27159,4.6,612,"728 of 3140"
"Wright County",27171,4.6,5980,"751 of 3140"
"Waseca County",27161,4.6,870,"759 of 3140"
"Meeker County",27093,4.6,1059,"764 of 3140"
"Todd County",27153,4.7,1131,"773 of 3140"
"Pine County",27115,4.7,1361,"794 of 3140"
"Sherburne County",27141,4.8,4380,"837 of 3140"
"Le Sueur County",27079,4.8,1330,"847 of 3140"
"Pennington County",27113,4.8,681,"849 of 3140"
"Carlton County",27017,4.9,1702,"852 of 3140"
"Yellow Medicine County",27173,4.9,479,"868 of 3140"
"Dodge County",27039,5.1,1027,"955 of 3140"
"Jackson County",27063,5.1,509,"967 of 3140"
"Anoka County",27003,5.2,17548,"993 of 3140"
"Lake County",27075,5.2,540,"998 of 3140"
"Chisago County",27025,5.2,2821,"1041 of 3140"
"Kittson County",27069,5.3,229,"1054 of 3140"
"Rice County",27131,5.3,3422,"1065 of 3140"
"Swift County",27151,5.3,494,"1071 of 3140"
"Lac qui Parle County",27073,5.3,361,"1078 of 3140"
"Becker County",27005,5.3,1774,"1091 of 3140"
"Morrison County",27097,5.4,1748,"1101 of 3140"
"Hubbard County",27057,5.4,1110,"1112 of 3140"
"Nicollet County",27103,5.4,1789,"1118 of 3140"
"Kanabec County",27065,5.4,861,"1137 of 3140"
"Fillmore County",27045,5.5,1129,"1145 of 3140"
"Roseau County",27135,5.5,844,"1153 of 3140"
"Grant County",27051,5.5,322,"1167 of 3140"
"Lake of the Woods County",27077,5.6,214,"1216 of 3140"
"Wabasha County",27157,5.7,1201,"1237 of 3140"
"Lincoln County",27081,5.7,321,"1252 of 3140"
"Crow Wing County",27035,5.7,3571,"1255 of 3140"
"Houston County",27055,5.8,1071,"1290 of 3140"
"Martin County",27091,5.8,1147,"1298 of 3140"
"Itasca County",27061,5.8,2592,"1309 of 3140"
"Chippewa County",27023,5.8,687,"1311 of 3140"
"Big Stone County",27011,5.8,291,"1328 of 3140"
"Clearwater County",27029,5.9,511,"1368 of 3140"
"Brown County",27015,5.9,1484,"1397 of 3140"
"Koochiching County",27071,5.9,755,"1405 of 3140"
"Otter Tail County",27111,6.0,3398,"1412 of 3140"
"Rock County",27133,6.0,560,"1444 of 3140"
"Polk County",27119,6.0,1881,"1453 of 3140"
"Isanti County",27059,6.1,2344,"1507 of 3140"
"Clay County",27027,6.2,3758,"1511 of 3140"
"Cook County",27031,6.2,323,"1515 of 3140"
"Mille Lacs County",27095,6.2,1578,"1547 of 3140"
"Pope County",27121,6.6,716,"1730 of 3140"
"Goodhue County",27049,6.7,3051,"1752 of 3140"
"Dakota County",27037,6.7,27555,"1767 of 3140"
"Steele County",27147,6.8,2452,"1795 of 3140"
"Pipestone County",27117,6.9,629,"1827 of 3140"
"McLeod County",27085,7.0,2480,"1876 of 3140"
"Douglas County",27041,7.1,2595,"1916 of 3140"
"Mahnomen County",27087,7.2,388,"1951 of 3140"
"Olmsted County",27109,7.4,11113,"2061 of 3140"
