------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"United States",00000,30.9,66887603,"N/A"
"Minnesota",27000,34.8,1285750,"11 of 52"
"Mahnomen County",27087,12.1,406,"2816 of 3141"
"Wadena County",27159,12.9,1193,"2682 of 3141"
"Pine County",27115,13.9,2917,"2518 of 3141"
"Nobles County",27105,14.5,2024,"2407 of 3141"
"Renville County",27129,14.5,1505,"2393 of 3141"
"Todd County",27153,14.5,2436,"2390 of 3141"
"Kanabec County",27065,14.8,1667,"2353 of 3141"
"Watonwan County",27165,15.2,1118,"2262 of 3141"
"Clearwater County",27029,15.3,922,"2255 of 3141"
"Mille Lacs County",27095,15.5,2717,"2212 of 3141"
"Yellow Medicine County",27173,15.8,1092,"2161 of 3141"
"Morrison County",27097,16.4,3732,"2033 of 3141"
"Red Lake County",27125,16.6,460,"2012 of 3141"
"Sibley County",27143,16.6,1696,"2004 of 3141"
"Aitkin County",27001,16.7,2059,"1987 of 3141"
"Big Stone County",27011,16.8,617,"1968 of 3141"
"Freeborn County",27047,16.8,3679,"1963 of 3141"
"Lake of the Woods County",27077,17.0,482,"1938 of 3141"
"Swift County",27151,17.0,1135,"1928 of 3141"
"Isanti County",27059,17.3,4528,"1893 of 3141"
"Faribault County",27043,17.3,1739,"1882 of 3141"
"Norman County",27107,17.5,800,"1840 of 3141"
"Traverse County",27155,17.6,426,"1827 of 3141"
"Chippewa County",27023,17.8,1476,"1793 of 3141"
