------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Minnesota",27000,2.2,46536,"27 of 52"
"United States",00000,3.3,3975282,"N/A"
"Big Stone County",27011,0.4,8,"3041 of 3141"
"Murray County",27101,0.5,19,"2990 of 3141"
"Grant County",27051,0.5,13,"2989 of 3141"
"Faribault County",27043,0.6,37,"2947 of 3141"
"Lincoln County",27081,0.6,15,"2940 of 3141"
"Nicollet County",27103,0.7,87,"2897 of 3141"
"Douglas County",27041,0.7,118,"2864 of 3141"
"Houston County",27055,0.8,61,"2852 of 3141"
"Redwood County",27127,0.8,49,"2834 of 3141"
"Wabasha County",27157,0.8,74,"2789 of 3141"
"Marshall County",27089,0.8,33,"2788 of 3141"
"Red Lake County",27125,0.9,15,"2748 of 3141"
"Crow Wing County",27035,0.9,230,"2744 of 3141"
"Kittson County",27069,0.9,17,"2712 of 3141"
"Koochiching County",27071,0.9,51,"2704 of 3141"
"Traverse County",27155,1.0,15,"2663 of 3141"
"Chisago County",27025,1.0,196,"2627 of 3141"
"Chippewa County",27023,1.0,50,"2618 of 3141"
"Martin County",27091,1.0,90,"2574 of 3141"
"Pope County",27121,1.0,51,"2569 of 3141"
"Blue Earth County",27013,1.0,268,"2561 of 3141"
"Renville County",27129,1.1,66,"2550 of 3141"
"Jackson County",27063,1.1,47,"2531 of 3141"
"Polk County",27119,1.1,137,"2525 of 3141"
"Winona County",27169,1.1,212,"2504 of 3141"
"Lac qui Parle County",27073,1.1,35,"2502 of 3141"
"McLeod County",27085,1.1,165,"2485 of 3141"
"Yellow Medicine County",27173,1.1,47,"2462 of 3141"
"Pennington County",27113,1.2,68,"2431 of 3141"
"Stevens County",27149,1.2,42,"2428 of 3141"
"Wilkin County",27167,1.2,34,"2387 of 3141"
"Carver County",27019,1.3,454,"2279 of 3141"
"Dodge County",27039,1.3,99,"2277 of 3141"
"Brown County",27015,1.3,139,"2256 of 3141"
"Swift County",27151,1.3,55,"2253 of 3141"
"Washington County",27163,1.3,1208,"2238 of 3141"
"Dakota County",27037,1.4,2230,"2140 of 3141"
"Becker County",27005,1.4,192,"2112 of 3141"
"Watonwan County",27165,1.4,62,"2102 of 3141"
"Sibley County",27143,1.5,88,"2065 of 3141"
"Le Sueur County",27079,1.5,162,"2033 of 3141"
