------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"Minnesota",27000,6.0,326953,"31 of 52"
"United States",00000,12.7,40610815,"N/A"
"Lake of the Woods County",27077,0.0,1,"3040 of 3141"
"Jackson County",27063,0.1,12,"2949 of 3141"
"Faribault County",27043,0.2,31,"2839 of 3141"
"Grant County",27051,0.2,14,"2824 of 3141"
"Brown County",27015,0.3,71,"2788 of 3141"
"Big Stone County",27011,0.3,15,"2766 of 3141"
"Dodge County",27039,0.3,61,"2765 of 3141"
"Mahnomen County",27087,0.3,17,"2749 of 3141"
"Lincoln County",27081,0.3,18,"2743 of 3141"
"Martin County",27091,0.3,64,"2733 of 3141"
"Marshall County",27089,0.3,30,"2732 of 3141"
"McLeod County",27085,0.3,118,"2716 of 3141"
"Kanabec County",27065,0.4,64,"2647 of 3141"
"Cass County",27021,0.4,116,"2644 of 3141"
"Wabasha County",27157,0.4,87,"2642 of 3141"
"Todd County",27153,0.4,99,"2640 of 3141"
"Red Lake County",27125,0.4,17,"2623 of 3141"
"Itasca County",27061,0.4,192,"2622 of 3141"
"Clearwater County",27029,0.4,38,"2615 of 3141"
"Mille Lacs County",27095,0.4,113,"2605 of 3141"
"Pope County",27121,0.5,51,"2569 of 3141"
"Fillmore County",27045,0.5,101,"2541 of 3141"
"Aitkin County",27001,0.5,79,"2527 of 3141"
"Renville County",27129,0.5,74,"2526 of 3141"
"Yellow Medicine County",27173,0.5,51,"2509 of 3141"
"Becker County",27005,0.5,175,"2502 of 3141"
