------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Minnesota",27000,6.6,91488,"3 of 52"
"United States",00000,10.5,8253388,"N/A"
"Carver County",27019,2.2,593,"26 of 3141"
"Chisago County",27025,2.6,369,"34 of 3141"
"Wright County",27171,3.2,1124,"59 of 3141"
"Washington County",27163,3.6,2390,"86 of 3141"
"Dodge County",27039,3.7,207,"97 of 3141"
"Stevens County",27149,3.8,83,"106 of 3141"
"Wabasha County",27157,3.8,235,"112 of 3141"
"Sherburne County",27141,4.0,968,"127 of 3141"
"Scott County",27139,4.1,1501,"137 of 3141"
"Meeker County",27093,4.2,264,"154 of 3141"
"Douglas County",27041,4.3,447,"160 of 3141"
"Isanti County",27059,4.4,447,"177 of 3141"
"Anoka County",27003,4.5,4064,"182 of 3141"
"Dakota County",27037,4.6,5064,"194 of 3141"
"Lake County",27075,4.8,156,"215 of 3141"
"Pope County",27121,5.0,161,"249 of 3141"
"Marshall County",27089,5.1,134,"261 of 3141"
"Murray County",27101,5.1,121,"264 of 3141"
"McLeod County",27085,5.2,510,"269 of 3141"
"Jackson County",27063,5.4,153,"298 of 3141"
"Le Sueur County",27079,5.4,413,"307 of 3141"
"Sibley County",27143,5.6,231,"336 of 3141"
"Olmsted County",27109,5.7,2282,"354 of 3141"
"Kittson County",27069,5.7,66,"362 of 3141"
"Lake of the Woods County",27077,5.8,57,"379 of 3141"
"Renville County",27129,6.1,244,"450 of 3141"
"Otter Tail County",27111,6.2,1013,"456 of 3141"
"Hubbard County",27057,6.2,385,"465 of 3141"
"Carlton County",27017,6.2,562,"467 of 3141"
"Polk County",27119,6.4,507,"502 of 3141"
"Wilkin County",27167,6.5,119,"516 of 3141"
"Red Lake County",27125,6.6,73,"538 of 3141"
"Crow Wing County",27035,6.7,1174,"557 of 3141"
"Lac qui Parle County",27073,6.7,138,"558 of 3141"
"Nicollet County",27103,6.8,576,"583 of 3141"
"Houston County",27055,6.8,379,"586 of 3141"
"Winona County",27169,6.9,786,"591 of 3141"
"Pennington County",27113,6.9,247,"594 of 3141"
"Grant County",27051,7.0,122,"635 of 3141"
"Lincoln County",27081,7.0,109,"637 of 3141"
"Stearns County",27145,7.0,2630,"639 of 3141"
"Goodhue County",27049,7.0,916,"641 of 3141"
"Hennepin County",27053,7.1,20229,"655 of 3141"
"Roseau County",27135,7.1,294,"660 of 3141"
"Rice County",27131,7.1,1109,"661 of 3141"
"Clay County",27027,7.1,1061,"666 of 3141"
"Fillmore County",27045,7.2,420,"678 of 3141"
"Brown County",27015,7.2,502,"686 of 3141"
"Waseca County",27161,7.3,360,"706 of 3141"
"Morrison County",27097,7.3,660,"707 of 3141"
"Blue Earth County",27013,7.6,1111,"781 of 3141"
"Steele County",27147,7.6,741,"792 of 3141"
"Cook County",27031,7.6,130,"793 of 3141"
"Big Stone County",27011,7.8,113,"840 of 3141"
"Kandiyohi County",27067,7.9,914,"852 of 3141"
"Martin County",27091,7.9,434,"858 of 3141"
"Redwood County",27127,7.9,324,"864 of 3141"
"Mower County",27099,7.9,809,"865 of 3141"
"Freeborn County",27047,8.0,672,"875 of 3141"
"Norman County",27107,8.0,142,"877 of 3141"
"Rock County",27133,8.1,218,"899 of 3141"
"Aitkin County",27001,8.3,416,"955 of 3141"
"Faribault County",27043,8.3,326,"959 of 3141"
"Itasca County",27061,8.3,1079,"974 of 3141"
"Pipestone County",27117,8.4,218,"1002 of 3141"
"Todd County",27153,8.4,551,"1005 of 3141"
"Chippewa County",27023,8.4,277,"1006 of 3141"
"St. Louis County",27137,8.5,4148,"1015 of 3141"
"Swift County",27151,8.5,220,"1020 of 3141"
"Traverse County",27155,8.6,88,"1038 of 3141"
"Pine County",27115,8.6,588,"1039 of 3141"
"Kanabec County",27065,8.6,372,"1045 of 3141"
"Becker County",27005,8.8,803,"1090 of 3141"
"Mille Lacs County",27095,8.8,604,"1100 of 3141"
"Watonwan County",27165,9.2,254,"1193 of 3141"
"Yellow Medicine County",27173,9.3,263,"1218 of 3141"
"Lyon County",27083,9.5,610,"1271 of 3141"
"Benton County",27009,9.9,1030,"1386 of 3141"
"Wadena County",27159,10.0,358,"1422 of 3141"
"Ramsey County",27123,10.3,12608,"1496 of 3141"
"Cass County",27021,11.0,980,"1659 of 3141"
"Koochiching County",27071,11.9,428,"1862 of 3141"
"Clearwater County",27029,12.1,270,"1927 of 3141"
"Cottonwood County",27033,12.6,394,"2006 of 3141"
"Nobles County",27105,12.6,694,"2023 of 3141"
"Beltrami County",27007,13.2,1440,"2143 of 3141"
"Mahnomen County",27087,16.0,206,"2568 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
