------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=21&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '21', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=21&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kentucky by County
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US
"Kentucky",21000,28.7,1271646,"14 of 52"
"United States",00000,29.8,95565066,"N/A"
"Trigg County",21221,20.3,2903,"217 of 3141"
"Hickman County",21105,21.4,988,"337 of 3141"
"Cumberland County",21057,22.0,1485,"443 of 3141"
"Metcalfe County",21169,22.2,2221,"487 of 3141"
"Green County",21087,22.3,2465,"509 of 3141"
"Livingston County",21139,22.7,2104,"590 of 3141"
"Menifee County",21165,22.8,1455,"632 of 3141"
"Ballard County",21007,22.9,1868,"666 of 3141"
"Russell County",21207,22.9,4067,"672 of 3141"
"Robertson County",21201,23.2,502,"756 of 3141"
"Breckinridge County",21027,23.3,4649,"764 of 3141"
"Wolfe County",21237,23.3,1688,"769 of 3141"
"Casey County",21045,23.4,3705,"801 of 3141"
"Greenup County",21089,23.6,8497,"852 of 3141"
"Fleming County",21069,23.7,3434,"870 of 3141"
"Marshall County",21157,23.9,7443,"931 of 3141"
"Lyon County",21143,24.2,2001,"1037 of 3141"
"Magoffin County",21153,24.3,3103,"1059 of 3141"
"Hancock County",21091,24.4,2123,"1086 of 3141"
"Hart County",21099,24.4,4526,"1092 of 3141"
"Mercer County",21167,24.5,5227,"1099 of 3141"
"Garrard County",21079,24.5,4212,"1100 of 3141"
"Estill County",21065,24.5,3518,"1102 of 3141"
"Bracken County",21023,24.5,2040,"1111 of 3141"
"Lee County",21129,24.5,1645,"1112 of 3141"
"McLean County",21149,24.5,2293,"1114 of 3141"
"Caldwell County",21033,24.5,3123,"1115 of 3141"
"Harrison County",21097,24.5,4567,"1119 of 3141"
"Carlisle County",21039,24.6,1202,"1143 of 3141"
"Monroe County",21171,24.7,2625,"1173 of 3141"
"Wayne County",21231,24.7,5108,"1188 of 3141"
"Bath County",21011,24.7,3013,"1199 of 3141"
"Jackson County",21109,24.7,3306,"1202 of 3141"
"Nicholas County",21181,24.8,1754,"1250 of 3141"
"Clark County",21049,24.8,8883,"1251 of 3141"
"McCracken County",21145,24.9,16238,"1259 of 3141"
"Bourbon County",21017,24.9,4981,"1266 of 3141"
"Henry County",21103,24.9,3902,"1274 of 3141"
"Owen County",21187,24.9,2665,"1292 of 3141"
"Crittenden County",21055,24.9,2283,"1293 of 3141"
"Johnson County",21115,25.0,5767,"1318 of 3141"
"Trimble County",21223,25.0,2175,"1322 of 3141"
"Anderson County",21005,25.0,5515,"1334 of 3141"
"Pulaski County",21199,25.1,16048,"1348 of 3141"
"Harlan County",21095,25.1,6920,"1359 of 3141"
"Graves County",21083,25.1,9370,"1366 of 3141"
"Washington County",21229,25.2,3027,"1392 of 3141"
"Mason County",21161,25.3,4337,"1400 of 3141"
"Woodford County",21239,25.3,6529,"1410 of 3141"
"Clinton County",21053,25.4,2588,"1432 of 3141"
"Spencer County",21215,25.4,4569,"1440 of 3141"
"Logan County",21141,25.4,6827,"1459 of 3141"
"Larue County",21123,25.5,3594,"1488 of 3141"
"Lincoln County",21137,25.5,6228,"1498 of 3141"
"Hopkins County",21107,25.5,11737,"1502 of 3141"
"Grayson County",21085,25.6,6683,"1515 of 3141"
"Ohio County",21183,25.6,6158,"1521 of 3141"
"Rockcastle County",21203,25.7,4314,"1545 of 3141"
"Allen County",21003,25.7,5302,"1559 of 3141"
"Oldham County",21185,25.7,16614,"1561 of 3141"
"Gallatin County",21077,25.8,2230,"1582 of 3141"
"Barren County",21009,25.8,11203,"1590 of 3141"
"Lewis County",21135,25.8,3501,"1593 of 3141"
"Simpson County",21213,25.9,4626,"1609 of 3141"
"Marion County",21155,25.9,5007,"1621 of 3141"
"Floyd County",21071,25.9,9715,"1639 of 3141"
"Pendleton County",21191,25.9,3770,"1642 of 3141"
"Lawrence County",21127,26.0,4121,"1661 of 3141"
"Leslie County",21131,26.0,2773,"1669 of 3141"
"Letcher County",21133,26.1,6010,"1689 of 3141"
"Perry County",21193,26.1,7146,"1700 of 3141"
"Boyd County",21019,26.3,12734,"1739 of 3141"
"Fulton County",21075,26.3,1644,"1740 of 3141"
"Henderson County",21101,26.3,12155,"1743 of 3141"
"Pike County",21195,26.5,16298,"1800 of 3141"
"Knox County",21121,26.5,8330,"1814 of 3141"
"Daviess County",21059,26.6,26377,"1837 of 3141"
"Webster County",21233,26.6,3506,"1852 of 3141"
"Bell County",21013,26.6,7312,"1856 of 3141"
"Butler County",21031,26.7,3400,"1882 of 3141"
"Carter County",21043,26.8,7333,"1907 of 3141"
"Muhlenberg County",21177,26.8,8358,"1917 of 3141"
"Carroll County",21041,26.9,2880,"1944 of 3141"
"Todd County",21219,26.9,3334,"1949 of 3141"
"Laurel County",21125,27.0,16151,"1957 of 3141"
"Nelson County",21179,27.0,12186,"1967 of 3141"
"Montgomery County",21173,27.1,7464,"1994 of 3141"
"Grant County",21081,27.1,6726,"2000 of 3141"
"Boone County",21015,27.2,34712,"2015 of 3141"
"Elliott County",21063,27.3,2055,"2049 of 3141"
"Knott County",21119,27.4,4293,"2076 of 3141"
"Bullitt County",21029,27.4,21562,"2094 of 3141"
"Breathitt County",21025,27.5,3645,"2098 of 3141"
"Franklin County",21073,27.6,13816,"2146 of 3141"
"Shelby County",21211,27.7,12704,"2161 of 3141"
"Owsley County",21189,28.0,1260,"2226 of 3141"
"Powell County",21197,28.1,3468,"2244 of 3141"
"Edmonson County",21061,28.3,3409,"2282 of 3141"
"McCreary County",21147,28.4,5045,"2324 of 3141"
"Meade County",21163,28.4,8093,"2329 of 3141"
"Jessamine County",21113,28.6,14765,"2364 of 3141"
"Morgan County",21175,28.9,3841,"2433 of 3141"
"Adair County",21001,29.1,5618,"2459 of 3141"
"Whitley County",21235,29.3,10561,"2502 of 3141"
"Boyle County",21021,29.5,8782,"2529 of 3141"
"Taylor County",21217,29.7,7535,"2554 of 3141"
"Jefferson County",21111,29.7,226758,"2555 of 3141"
"Kenton County",21117,29.7,48728,"2560 of 3141"
"Clay County",21051,29.9,6236,"2593 of 3141"
"Hardin County",21093,30.1,32404,"2622 of 3141"
"Scott County",21209,30.5,15949,"2668 of 3141"
"Campbell County",21037,31.1,28509,"2737 of 3141"
"Martin County",21159,31.3,3806,"2757 of 3141"
"Union County",21225,32.2,4801,"2833 of 3141"
"Madison County",21151,36.1,31947,"3007 of 3141"
"Fayette County",21067,36.7,115698,"3018 of 3141"
"Warren County",21227,36.7,45497,"3019 of 3141"
"Calloway County",21035,37.5,14468,"3035 of 3141"
"Christian County",21047,38.0,27534,"3045 of 3141"
