------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=39&areatype=county&cancer=071&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'cancer': '071', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=39&areatype=county&cancer=071&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Ohio by County

"Bladder, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Ohio",39000,***,5.1 ,4.9, 5.2,723,rising,0.3 ,0.1, 0.5
"United States",00000,***,4.4 ,4.3, 4.4,15935,stable,0.0 ,-0.1, 0.0
"Athens County",39009,***,8.9 ,5.7, 13.2,5,*,*,*,*
"Clinton County",39027,***,7.2 ,4.3, 11.6,4,*,*,*,*
"Defiance County",39039,***,7.1 ,4.2, 11.3,4,*,*,*,*
"Champaign County",39021,***,7 ,4.1, 11.5,3,*,*,*,*
"Licking County",39089,***,7 ,5.4, 8.9,13,stable,0.4 ,-1.2, 2.0
"Crawford County",39033,***,6.8 ,4.2, 10.7,4,*,*,*,*
"Lake County",39085,***,6.5 ,5.3, 7.9,22,stable,1.1 ,-0.5, 2.8
"Huron County",39077,***,6.5 ,4.1, 9.9,5,*,*,*,*
"Sandusky County",39143,***,6.5 ,4.2, 9.7,5,stable,2.1 ,-0.3, 4.5
"Seneca County",39147,***,6.5 ,4.2, 9.7,5,*,*,*,*
"Richland County",39139,***,6.4 ,4.8, 8.4,11,stable,0.5 ,-1.5, 2.6
"Guernsey County",39059,***,6.4 ,3.8, 10.4,4,*,*,*,*
"Scioto County",39145,***,6.4 ,4.3, 9.2,6,stable,1.0 ,-1.7, 3.8
"Mercer County",39107,***,6.3 ,3.6, 10.3,3,*,*,*,*
"Shelby County",39149,***,6.1 ,3.5, 10,3,*,*,*,*
"Portage County",39133,***,5.9 ,4.5, 7.8,11,stable,1.4 ,-0.1, 3.0
"Jefferson County",39081,***,5.8 ,4, 8.5,6,stable,22.0 ,-16.2, 77.8
"Stark County",39151,***,5.8 ,4.9, 6.8,30,stable,0.8 ,-0.1, 1.8
"Logan County",39091,***,5.7 ,3.3, 9.4,3,stable,2.2 ,-1.3, 5.7
"Erie County",39043,***,5.6 ,3.8, 8.1,6,*,*,*,*
"Allen County",39003,***,5.5 ,3.8, 7.8,7,stable,0.5 ,-1.1, 2.2
"Pickaway County",39129,***,5.5 ,3.2, 8.9,3,*,*,*,*
"Brown County",39015,***,5.5 ,3.1, 9.1,3,*,*,*,*
"Trumbull County",39155,***,5.5 ,4.4, 6.8,17,stable,0.9 ,-0.4, 2.2
"Geauga County",39055,***,5.4 ,3.7, 7.6,7,*,*,*,*
"Washington County",39167,***,5.3 ,3.4, 8.2,5,*,*,*,*
"Butler County",39017,***,5.3 ,4.3, 6.4,21,stable,1.0 ,-0.7, 2.8
"Lorain County",39093,***,5.3 ,4.3, 6.4,21,stable,0.9 ,-0.6, 2.4
"Belmont County",39013,***,5.2 ,3.4, 7.8,5,stable,-1.3 ,-3.1, 0.5
"Lawrence County",39087,***,5.2 ,3.2, 8.2,4,*,*,*,*
"Columbiana County",39029,***,5.2 ,3.7, 7.2,8,stable,0.9 ,-0.6, 2.5
"Lucas County",39095,***,5.2 ,4.3, 6.1,27,stable,-0.7 ,-1.5, 0.2
"Mahoning County",39099,***,5.1 ,4.1, 6.3,19,stable,0.8 ,-0.4, 2.0
"Cuyahoga County",39035,***,5.1 ,4.6, 5.6,89,stable,0.1 ,-0.4, 0.7
"Marion County",39101,***,5.1 ,3.1, 8,4,stable,1.8 ,-0.5, 4.2
"Medina County",39103,***,5.1 ,3.7, 6.7,10,stable,0.0 ,-1.6, 1.6
"Auglaize County",39011,***,5 ,2.9, 8.4,3,stable,-0.4 ,-2.7, 1.9
"Clermont County",39025,***,5 ,3.7, 6.6,10,stable,-0.1 ,-1.6, 1.4
"Summit County",39153,***,5 ,4.2, 5.8,35,stable,-0.2 ,-1.1, 0.7
"Ashland County",39005,***,4.9 ,2.9, 8.1,3,*,*,*,*
"Warren County",39165,***,4.9 ,3.6, 6.4,10,stable,-0.2 ,-1.4, 1.1
"Hamilton County",39061,***,4.9 ,4.2, 5.6,45,stable,0.1 ,-0.7, 0.9
"Hancock County",39063,***,4.7 ,2.9, 7.2,4,*,*,*,*
"Clark County",39023,***,4.6 ,3.4, 6.3,9,stable,-0.9 ,-2.3, 0.5
"Montgomery County",39113,***,4.6 ,4, 5.4,33,stable,-0.2 ,-1.4, 0.9
"Fairfield County",39045,***,4.6 ,3.2, 6.4,7,stable,0.9 ,-1.3, 3.3
"Darke County",39037,***,4.6 ,2.6, 7.5,3,stable,0.6 ,-2.4, 3.7
"Ross County",39141,***,4.6 ,2.8, 7.1,4,stable,-0.7 ,-3.0, 1.7
"Ashtabula County",39007,***,4.6 ,3.1, 6.6,6,stable,0.6 ,-1.9, 3.1
