------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=26&areatype=county&cancer=057&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'cancer': '057', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=26&areatype=county&cancer=057&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Michigan by County

"Cervix (All Stages^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 7.2?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Michigan(5,10)",26000,Yes,6.6 #  ,6.2, 6.9,339,stable,1.2 ,-7.0, 10.1
"US (SEER+NPCR)(1,10)",00000,No,7.6 ,7.5, 7.6,12695,stable,0.8 ,-0.6, 2.3
"Montcalm County(6,10)",26117,***,11 #  ,6.2, 18,3,*,*,*,*
"Ionia County(6,10)",26067,No,11 #  ,6.2, 18,3,*,*,*,*
"Van Buren County(6,10)",26159,No,10 #  ,6, 15.7,4,stable,25.2 ,-7.6, 69.7
"Calhoun County(6,10)",26025,No,8.6 #  ,5.7, 12.5,6,stable,4.4 ,-39.2, 79.2
"Wayne County(7,8)",26163,No,7.9 ,7.1, 8.8,77,falling,-2.2 ,-2.6, -1.7
"Ingham County(6,10)",26065,No,7.9 #  ,5.8, 10.5,10,stable,-6.0 ,-35.9, 37.9
"Grand Traverse County(6,10)",26055,No,7.9 #  ,4.6, 12.6,4,stable,-10.2 ,-49.0, 58.1
"Jackson County(6,10)",26075,No,7.8 #  ,5.2, 11.3,6,stable,22.7 ,-3.5, 56.0
"Bay County(6,10)",26017,No,7.8 #  ,4.9, 11.8,5,stable,36.5 ,-23.3, 142.8
"St. Clair County(6,10)",26147,No,7.7 #  ,5.1, 11.2,6,stable,-5.4 ,-33.4, 34.5
"Genesee County(6,10)",26049,No,7.7 #  ,6.1, 9.6,17,stable,-10.9 ,-26.1, 7.5
"Eaton County(6,10)",26045,No,7.6 #  ,4.5, 11.9,4,stable,-7.7 ,-50.3, 71.4
"Lapeer County(6,10)",26087,***,7.1 #  ,3.9, 11.8,3,*,*,*,*
"Saginaw County(6,10)",26145,Yes,7 #  ,4.7, 10,7,stable,17.1 ,-27.7, 89.7
"Lenawee County(6,10)",26091,Yes,7 #  ,4, 11.2,4,*,*,*,*
"Berrien County(6,10)",26021,Yes,6.9 #  ,4.5, 10.1,6,rising,41.9 ,3.9, 93.7
"Monroe County(6,10)",26115,Yes,6.2 #  ,3.9, 9.4,5,stable,0.8 ,-16.0, 20.9
"Washtenaw County(6,10)",26161,Yes,6 #  ,4.5, 7.9,11,stable,19.4 ,-10.7, 59.6
"Ottawa County(6,10)",26139,Yes,6 #  ,4.2, 8.2,8,stable,25.4 ,-31.8, 130.5
"Macomb County(7,8)",26099,Yes,5.9 ,4.9, 7,28,falling,-1.9 ,-2.9, -1.0
"Oakland County(7,8)",26125,Yes,5.9 ,5.1, 6.8,41,falling,-1.8 ,-2.6, -0.9
"Kent County(6,10)",26081,Yes,5.5 #  ,4.3, 6.8,17,stable,0.2 ,-25.4, 34.5
"Muskegon County(6,10)",26121,Yes,5.2 #  ,3.2, 7.9,4,stable,4.5 ,-21.4, 39.0
"Kalamazoo County(6,10)",26077,Yes,5 #  ,3.4, 7.2,6,stable,1.6 ,-18.5, 26.6
"Livingston County(6,10)",26093,Yes,4.1 #  ,2.4, 6.5,4,stable,5.1 ,-46.5, 106.5
"Alcona County(6,10)",26001,***,* ,*, *,3 or fewer,*,*,*,*
"Alger County(6,10)",26003,***,* ,*, *,3 or fewer,*,*,*,*
"Allegan County(6,10)",26005,***,* ,*, *,3 or fewer,*,*,*,*
"Alpena County(6,10)",26007,***,* ,*, *,3 or fewer,*,*,*,*
"Antrim County(6,10)",26009,***,* ,*, *,3 or fewer,*,*,*,*
"Arenac County(6,10)",26011,***,* ,*, *,3 or fewer,*,*,*,*
"Baraga County(6,10)",26013,***,* ,*, *,3 or fewer,*,*,*,*
"Barry County(6,10)",26015,***,* ,*, *,3 or fewer,*,*,*,*
"Benzie County(6,10)",26019,***,* ,*, *,3 or fewer,*,*,*,*
