------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"United States",00000,47.3,151838062,"N/A"
"Alabama",01000,48.5,2350461,"20 of 52"
"Lee County",01081,38.7,60621,"3031 of 3141"
"Tuscaloosa County",01125,40.5,82825,"2954 of 3141"
"Pike County",01109,41.0,13661,"2933 of 3141"
"Russell County",01113,44.7,26131,"2691 of 3141"
"Montgomery County",01101,45.0,102203,"2664 of 3141"
"Perry County",01105,46.4,4490,"2510 of 3141"
"Sumter County",01119,46.7,6109,"2478 of 3141"
"Dale County",01045,46.7,23062,"2477 of 3141"
"Mobile County",01097,46.9,194189,"2454 of 3141"
"Jefferson County",01073,46.9,309518,"2445 of 3141"
"Autauga County",01001,46.9,25834,"2444 of 3141"
"Franklin County",01059,47.8,15068,"2304 of 3141"
"Shelby County",01117,47.9,99944,"2292 of 3141"
"Macon County",01087,47.9,9270,"2291 of 3141"
"Madison County",01089,48.0,169382,"2273 of 3141"
"Elmore County",01051,48.0,38874,"2267 of 3141"
"Chilton County",01021,48.4,21194,"2207 of 3141"
"DeKalb County",01049,48.5,34503,"2192 of 3141"
"Marshall County",01095,48.7,46121,"2159 of 3141"
"Coffee County",01031,48.8,24923,"2139 of 3141"
"Dallas County",01047,48.9,19919,"2120 of 3141"
"Calhoun County",01015,49.0,56623,"2101 of 3141"
"Limestone County",01083,49.1,45035,"2078 of 3141"
"Escambia County",01053,49.5,18620,"2013 of 3141"
"Houston County",01069,49.5,51574,"2006 of 3141"
"Barbour County",01005,49.6,12985,"2001 of 3141"
"Bibb County",01007,49.9,11257,"1939 of 3141"
"Hale County",01065,49.9,7476,"1937 of 3141"
"Morgan County",01103,50.1,59660,"1899 of 3141"
"St. Clair County",01115,50.2,43604,"1876 of 3141"
"Bullock County",01011,50.7,5308,"1751 of 3141"
"Talladega County",01121,50.7,41023,"1737 of 3141"
"Lowndes County",01085,50.8,5264,"1711 of 3141"
"Wilcox County",01131,50.9,5558,"1690 of 3141"
"Cullman County",01043,51.0,41631,"1680 of 3141"
"Greene County",01063,51.1,4359,"1649 of 3141"
"Etowah County",01055,51.4,53001,"1574 of 3141"
"Blount County",01009,51.5,29692,"1549 of 3141"
"Lauderdale County",01077,51.5,47711,"1541 of 3141"
"Marengo County",01091,51.6,10179,"1529 of 3141"
"Crenshaw County",01041,51.7,7163,"1512 of 3141"
"Butler County",01013,51.7,10404,"1503 of 3141"
"Pickens County",01107,52.0,10482,"1438 of 3141"
"Monroe County",01099,52.0,11311,"1428 of 3141"
"Clarke County",01025,52.1,12824,"1410 of 3141"
"Cleburne County",01029,52.3,7816,"1345 of 3141"
"Lawrence County",01079,52.3,17417,"1344 of 3141"
"Chambers County",01017,52.8,17890,"1229 of 3141"
"Walker County",01127,52.8,34293,"1221 of 3141"
"Baldwin County",01003,53.1,107884,"1161 of 3141"
"Randolph County",01111,53.6,12067,"1046 of 3141"
"Covington County",01039,53.6,20117,"1032 of 3141"
"Geneva County",01061,53.7,14258,"1024 of 3141"
"Washington County",01129,53.7,8997,"1011 of 3141"
"Colbert County",01033,53.7,29252,"1008 of 3141"
"Jackson County",01071,53.8,28173,"990 of 3141"
"Fayette County",01057,54.1,9006,"945 of 3141"
"Tallapoosa County",01123,54.6,22245,"841 of 3141"
"Henry County",01067,54.6,9339,"840 of 3141"
"Conecuh County",01035,55.0,6963,"765 of 3141"
"Marion County",01093,55.1,16569,"748 of 3141"
"Clay County",01027,55.5,7441,"683 of 3141"
"Lamar County",01075,55.6,7791,"668 of 3141"
"Winston County",01133,56.3,13485,"571 of 3141"
"Choctaw County",01023,56.8,7487,"518 of 3141"
"Cherokee County",01019,57.2,14795,"454 of 3141"
"Coosa County",01037,60.2,6591,"213 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
