------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"Alabama",01000,0.3,14277,"3 of 51"
"United States",00000,0.7,2074097,"N/A"
"Escambia County",01053,0.0,0,"1 of 3140"
"Greene County",01063,0.0,0,"1 of 3140"
"Perry County",01105,0.0,0,"1 of 3140"
"St. Clair County",01115,0.0,23,"443 of 3140"
"Jackson County",01071,0.0,14,"444 of 3140"
"Washington County",01129,0.0,5,"463 of 3140"
"Tallapoosa County",01123,0.0,14,"495 of 3140"
"Covington County",01039,0.0,15,"526 of 3140"
"Randolph County",01111,0.0,10,"555 of 3140"
"Geneva County",01061,0.1,14,"596 of 3140"
"Conecuh County",01035,0.1,7,"610 of 3140"
"Sumter County",01119,0.1,8,"640 of 3140"
"Monroe County",01099,0.1,14,"680 of 3140"
"Lowndes County",01085,0.1,7,"701 of 3140"
"Winston County",01133,0.1,17,"725 of 3140"
"Lawrence County",01079,0.1,26,"783 of 3140"
"Cullman County",01043,0.1,67,"815 of 3140"
"Limestone County",01083,0.1,77,"827 of 3140"
"Hale County",01065,0.1,14,"892 of 3140"
"Walker County",01127,0.1,65,"928 of 3140"
"Crenshaw County",01041,0.1,14,"934 of 3140"
"Morgan County",01103,0.1,143,"1085 of 3140"
"Chambers County",01017,0.1,46,"1183 of 3140"
"Marshall County",01095,0.1,134,"1223 of 3140"
"Choctaw County",01023,0.1,19,"1234 of 3140"
"DeKalb County",01049,0.1,103,"1241 of 3140"
"Talladega County",01121,0.1,119,"1249 of 3140"
"Houston County",01069,0.2,157,"1281 of 3140"
"Barbour County",01005,0.2,41,"1312 of 3140"
"Pickens County",01107,0.2,33,"1369 of 3140"
"Cleburne County",01029,0.2,26,"1434 of 3140"
"Calhoun County",01015,0.2,205,"1459 of 3140"
"Dallas County",01047,0.2,75,"1504 of 3140"
"Clay County",01027,0.2,25,"1511 of 3140"
"Cherokee County",01019,0.2,49,"1529 of 3140"
"Lamar County",01075,0.2,27,"1544 of 3140"
"Blount County",01009,0.2,113,"1566 of 3140"
"Chilton County",01021,0.2,86,"1570 of 3140"
"Fayette County",01057,0.2,33,"1578 of 3140"
"Shelby County",01117,0.2,441,"1642 of 3140"
"Autauga County",01001,0.2,119,"1672 of 3140"
"Mobile County",01097,0.2,956,"1738 of 3140"
"Baldwin County",01003,0.3,533,"1884 of 3140"
"Coosa County",01037,0.3,30,"1921 of 3140"
"Clarke County",01025,0.3,69,"1954 of 3140"
"Etowah County",01055,0.3,302,"1997 of 3140"
"Jefferson County",01073,0.3,1950,"2016 of 3140"
"Henry County",01067,0.3,51,"2018 of 3140"
"Elmore County",01051,0.3,257,"2090 of 3140"
"Lauderdale County",01077,0.3,311,"2145 of 3140"
"Marion County",01093,0.4,105,"2189 of 3140"
"Bullock County",01011,0.4,37,"2200 of 3140"
"Bibb County",01007,0.4,80,"2216 of 3140"
"Wilcox County",01131,0.4,43,"2313 of 3140"
"Marengo County",01091,0.4,80,"2333 of 3140"
"Tuscaloosa County",01125,0.4,829,"2338 of 3140"
"Colbert County",01033,0.4,224,"2346 of 3140"
"Macon County",01087,0.4,85,"2399 of 3140"
"Russell County",01113,0.4,259,"2414 of 3140"
"Franklin County",01059,0.5,152,"2480 of 3140"
"Madison County",01089,0.5,1746,"2501 of 3140"
"Butler County",01013,0.5,100,"2502 of 3140"
"Coffee County",01031,0.5,269,"2564 of 3140"
"Dale County",01045,0.6,278,"2627 of 3140"
"Lee County",01081,0.7,1092,"2784 of 3140"
"Montgomery County",01101,0.7,1681,"2825 of 3140"
"Pike County",01109,1.1,353,"2984 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved from outside US (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
