------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"United States",00000,23.7,74202606,"N/A"
"Alabama",01000,28.6,1351563,"47 of 52"
"Shelby County",01117,14.6,30118,"216 of 3141"
"Baldwin County",01003,20.6,41194,"823 of 3141"
"Elmore County",01051,21.3,16232,"925 of 3141"
"Madison County",01089,21.4,73481,"935 of 3141"
"St. Clair County",01115,22.8,19364,"1116 of 3141"
"Limestone County",01083,23.5,20866,"1222 of 3141"
"Autauga County",01001,24.0,13104,"1286 of 3141"
"Coffee County",01031,24.9,12521,"1424 of 3141"
"Bibb County",01007,26.1,5365,"1597 of 3141"
"Morgan County",01103,26.6,31154,"1683 of 3141"
"Colbert County",01033,26.7,14412,"1700 of 3141"
"Tuscaloosa County",01125,26.8,51948,"1708 of 3141"
"Cullman County",01043,27.3,21982,"1783 of 3141"
"Jefferson County",01073,27.4,176432,"1786 of 3141"
"Lauderdale County",01077,27.4,24769,"1793 of 3141"
"Lawrence County",01079,27.6,9090,"1815 of 3141"
"Blount County",01009,28.0,15960,"1880 of 3141"
"Cleburne County",01029,28.8,4219,"1987 of 3141"
"Henry County",01067,28.8,4835,"1988 of 3141"
"Covington County",01039,28.8,10612,"1995 of 3141"
"Cherokee County",01019,29.3,7438,"2050 of 3141"
"Mobile County",01097,29.8,120643,"2119 of 3141"
"Calhoun County",01015,30.0,33663,"2135 of 3141"
"Randolph County",01111,30.1,6626,"2156 of 3141"
"Etowah County",01055,30.2,30702,"2161 of 3141"
"Crenshaw County",01041,30.3,4130,"2179 of 3141"
"Dale County",01045,30.4,14638,"2193 of 3141"
"Houston County",01069,30.6,31508,"2207 of 3141"
"Fayette County",01057,30.7,5030,"2227 of 3141"
"Washington County",01129,31.2,5165,"2288 of 3141"
"Marion County",01093,31.4,9251,"2301 of 3141"
"Tallapoosa County",01123,31.5,12673,"2315 of 3141"
"Montgomery County",01101,31.6,69510,"2319 of 3141"
"Lee County",01081,32.1,48301,"2364 of 3141"
"Russell County",01113,32.8,18862,"2432 of 3141"
"Chilton County",01021,32.8,14217,"2437 of 3141"
"Talladega County",01121,32.9,25453,"2442 of 3141"
"Coosa County",01037,33.1,3492,"2473 of 3141"
"Clay County",01027,33.3,4346,"2489 of 3141"
"Walker County",01127,34.1,21767,"2548 of 3141"
"Chambers County",01017,34.1,11398,"2558 of 3141"
"Choctaw County",01023,34.2,4439,"2559 of 3141"
"Geneva County",01061,34.4,9045,"2583 of 3141"
"Jackson County",01071,34.6,17905,"2600 of 3141"
"Marshall County",01095,34.8,32586,"2623 of 3141"
"Winston County",01133,34.9,8204,"2626 of 3141"
"Lamar County",01075,35.9,4969,"2702 of 3141"
"Pike County",01109,36.0,11277,"2710 of 3141"
"Franklin County",01059,36.7,11419,"2764 of 3141"
"DeKalb County",01049,37.6,26424,"2819 of 3141"
"Escambia County",01053,37.7,13089,"2823 of 3141"
"Pickens County",01107,37.9,7183,"2832 of 3141"
"Clarke County",01025,38.1,9202,"2849 of 3141"
"Bullock County",01011,39.0,3907,"2884 of 3141"
"Butler County",01013,39.1,7754,"2888 of 3141"
"Marengo County",01091,40.0,7802,"2919 of 3141"
"Conecuh County",01035,40.2,5041,"2926 of 3141"
"Macon County",01087,40.5,6864,"2942 of 3141"
"Hale County",01065,41.4,6110,"2967 of 3141"
"Barbour County",01005,41.8,9734,"2976 of 3141"
"Lowndes County",01085,42.6,4366,"2999 of 3141"
"Wilcox County",01131,43.7,4610,"3025 of 3141"
"Monroe County",01099,44.5,9562,"3040 of 3141"
"Dallas County",01047,46.0,18458,"3062 of 3141"
"Sumter County",01119,47.7,5834,"3083 of 3141"
"Greene County",01063,50.3,4268,"3096 of 3141"
"Perry County",01105,57.0,5040,"3125 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
