------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"United States",00000,85.4,270854872,"N/A"
"Alabama",01000,85.8,4116714,"18 of 51"
"Lee County",01081,78.6,121709,"3012 of 3140"
"Montgomery County",01101,78.6,176639,"3007 of 3140"
"Russell County",01113,80.2,46206,"2921 of 3140"
"Dale County",01045,81.4,39693,"2818 of 3140"
"Tuscaloosa County",01125,82.1,165673,"2750 of 3140"
"Calhoun County",01015,82.7,94440,"2655 of 3140"
"Lauderdale County",01077,83.1,76267,"2602 of 3140"
"Coffee County",01031,83.4,42188,"2560 of 3140"
"Jefferson County",01073,83.9,545849,"2462 of 3140"
"Madison County",01089,84.2,294105,"2398 of 3140"
"Autauga County",01001,84.6,45931,"2312 of 3140"
"Etowah County",01055,84.6,86489,"2304 of 3140"
"Cleburne County",01029,85.5,12674,"2083 of 3140"
"Morgan County",01103,85.6,100749,"2061 of 3140"
"Elmore County",01051,85.9,68797,"1978 of 3140"
"Marshall County",01095,86.1,80658,"1927 of 3140"
"DeKalb County",01049,86.4,60660,"1830 of 3140"
"Walker County",01127,86.4,55510,"1821 of 3140"
"Shelby County",01117,86.6,178584,"1762 of 3140"
"Fayette County",01057,86.9,14301,"1644 of 3140"
"Lamar County",01075,86.9,12073,"1641 of 3140"
"Talladega County",01121,87.0,69745,"1624 of 3140"
"Mobile County",01097,87.1,356186,"1599 of 3140"
"Houston County",01069,87.2,89695,"1540 of 3140"
"Geneva County",01061,87.3,22876,"1511 of 3140"
"Pike County",01109,87.4,28658,"1467 of 3140"
"Barbour County",01005,87.4,22669,"1457 of 3140"
"Winston County",01133,87.5,20817,"1435 of 3140"
"Bibb County",01007,87.6,19459,"1421 of 3140"
"Marion County",01093,87.6,26162,"1406 of 3140"
"Chilton County",01021,87.8,37962,"1337 of 3140"
"Limestone County",01083,87.9,79657,"1317 of 3140"
"St. Clair County",01115,88.2,75902,"1191 of 3140"
"Franklin County",01059,88.3,27571,"1149 of 3140"
"Baldwin County",01003,88.4,177677,"1143 of 3140"
"Covington County",01039,88.5,32887,"1112 of 3140"
"Macon County",01087,88.5,17004,"1106 of 3140"
"Chambers County",01017,88.7,29836,"1049 of 3140"
"Colbert County",01033,88.7,47917,"1014 of 3140"
"Choctaw County",01023,89.1,11656,"884 of 3140"
"Dallas County",01047,89.5,35910,"770 of 3140"
"Coosa County",01037,89.8,9773,"688 of 3140"
"Crenshaw County",01041,90.0,12368,"628 of 3140"
"Cherokee County",01019,90.4,23162,"529 of 3140"
"Randolph County",01111,90.5,20142,"507 of 3140"
"Bullock County",01011,90.5,9449,"506 of 3140"
"Clay County",01027,90.7,12066,"473 of 3140"
"Lowndes County",01085,90.8,9321,"460 of 3140"
"Marengo County",01091,90.8,17742,"458 of 3140"
"Tallapoosa County",01123,90.9,36629,"419 of 3140"
"Pickens County",01107,91.1,18163,"393 of 3140"
"Lawrence County",01079,91.4,30124,"332 of 3140"
"Clarke County",01025,91.5,22358,"325 of 3140"
"Monroe County",01099,91.6,19638,"299 of 3140"
"Henry County",01067,91.7,15552,"281 of 3140"
"Cullman County",01043,92.2,74732,"210 of 3140"
"Butler County",01013,92.7,18548,"165 of 3140"
"Washington County",01129,93.0,15496,"142 of 3140"
"Jackson County",01071,93.0,48126,"137 of 3140"
"Hale County",01065,93.1,13761,"131 of 3140"
"Perry County",01105,93.7,9002,"96 of 3140"
"Escambia County",01053,93.7,34818,"94 of 3140"
"Blount County",01009,94.0,53678,"73 of 3140"
"Wilcox County",01131,94.3,10183,"65 of 3140"
"Sumter County",01119,94.8,12335,"43 of 3140"
"Conecuh County",01035,95.7,11967,"23 of 3140"
"Greene County",01063,96.3,8140,"16 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
