------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"United States",00000,12.7,40610815,"N/A"
"Alabama",01000,26.5,1287167,"7 of 52"
"Winston County",01133,0.5,124,"2507 of 3141"
"Cullman County",01043,1.2,948,"1957 of 3141"
"DeKalb County",01049,1.5,1040,"1820 of 3141"
"Blount County",01009,1.6,915,"1759 of 3141"
"Marshall County",01095,2.2,2091,"1578 of 3141"
"Cleburne County",01029,2.8,424,"1439 of 3141"
"Jackson County",01071,3.2,1699,"1368 of 3141"
"Marion County",01093,3.3,1003,"1353 of 3141"
"Franklin County",01059,4.8,1528,"1160 of 3141"
"Cherokee County",01019,5.0,1287,"1139 of 3141"
"Walker County",01127,6.1,3963,"1026 of 3141"
"Geneva County",01061,9.2,2440,"830 of 3141"
"St. Clair County",01115,9.3,8126,"823 of 3141"
"Baldwin County",01003,9.5,19414,"817 of 3141"
"Chilton County",01021,9.6,4184,"816 of 3141"
"Lauderdale County",01077,10.1,9316,"791 of 3141"
"Lamar County",01075,10.8,1520,"762 of 3141"
"Lawrence County",01079,11.4,3801,"728 of 3141"
"Shelby County",01117,11.8,24669,"710 of 3141"
"Fayette County",01057,12.1,2019,"705 of 3141"
"Morgan County",01103,12.4,14790,"700 of 3141"
"Limestone County",01083,13.1,12042,"674 of 3141"
"Covington County",01039,13.2,4937,"673 of 3141"
"Clay County",01027,14.8,1979,"617 of 3141"
"Etowah County",01055,15.6,16039,"599 of 3141"
"Colbert County",01033,16.0,8722,"589 of 3141"
"Coffee County",01031,17.3,8834,"561 of 3141"
"Autauga County",01001,19.1,10510,"515 of 3141"
"Dale County",01045,19.4,9606,"508 of 3141"
"Randolph County",01111,20.0,4500,"498 of 3141"
"Calhoun County",01015,20.5,23735,"487 of 3141"
"Elmore County",01051,21.4,17338,"466 of 3141"
"Bibb County",01007,22.1,4979,"457 of 3141"
"Lee County",01081,23.1,36139,"441 of 3141"
"Crenshaw County",01041,23.6,3271,"436 of 3141"
"Madison County",01089,24.2,85332,"420 of 3141"
"Washington County",01129,24.6,4120,"413 of 3141"
"Houston County",01069,26.7,27844,"375 of 3141"
"Tallapoosa County",01123,27.5,11216,"362 of 3141"
"Henry County",01067,27.8,4762,"356 of 3141"
"Tuscaloosa County",01125,31.3,63965,"293 of 3141"
"Talladega County",01121,32.1,26004,"282 of 3141"
"Escambia County",01053,32.2,12128,"279 of 3141"
"Coosa County",01037,33.2,3640,"270 of 3141"
"Mobile County",01097,35.3,146423,"240 of 3141"
"Pike County",01109,38.0,12648,"207 of 3141"
"Chambers County",01017,39.3,13335,"195 of 3141"
"Pickens County",01107,40.6,8189,"184 of 3141"
"Monroe County",01099,41.5,9029,"170 of 3141"
"Choctaw County",01023,42.3,5583,"158 of 3141"
"Jefferson County",01073,42.6,280804,"153 of 3141"
"Russell County",01113,42.7,24946,"151 of 3141"
"Butler County",01013,44.9,9030,"136 of 3141"
"Clarke County",01025,45.7,11246,"130 of 3141"
"Conecuh County",01035,46.5,5879,"126 of 3141"
"Barbour County",01005,48.0,12588,"112 of 3141"
"Marengo County",01091,54.1,10689,"75 of 3141"
"Montgomery County",01101,57.3,130076,"56 of 3141"
"Hale County",01065,58.7,8802,"53 of 3141"
"Perry County",01105,69.6,6735,"26 of 3141"
"Dallas County",01047,70.4,28677,"25 of 3141"
"Sumter County",01119,70.8,9268,"24 of 3141"
"Wilcox County",01131,72.1,7874,"17 of 3141"
"Lowndes County",01085,74.5,7722,"11 of 3141"
"Bullock County",01011,75.6,7925,"9 of 3141"
"Greene County",01063,80.3,6853,"5 of 3141"
"Macon County",01087,82.2,15903,"4 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
