------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Alabama",01000,19.4,196526,"34 of 51"
"Dallas County",01047,13.3,1827,"1050 of 3139"
"Wilcox County",01131,14.3,539,"1171 of 3139"
"Perry County",01105,14.5,469,"1195 of 3139"
"Bullock County",01011,14.8,430,"1230 of 3139"
"Greene County",01063,15.3,440,"1286 of 3139"
"Hale County",01065,15.6,647,"1324 of 3139"
"Macon County",01087,15.6,800,"1324 of 3139"
"Marengo County",01091,15.7,808,"1340 of 3139"
"Sumter County",01119,15.8,657,"1349 of 3139"
"Dale County",01045,16.0,1824,"1374 of 3139"
"Butler County",01013,16.3,904,"1415 of 3139"
"Lowndes County",01085,16.4,475,"1420 of 3139"
"Tuscaloosa County",01125,16.4,7010,"1420 of 3139"
"Russell County",01113,16.6,2589,"1442 of 3139"
"Conecuh County",01035,16.7,640,"1453 of 3139"
"Talladega County",01121,16.7,3106,"1453 of 3139"
"Barbour County",01005,17.1,1124,"1501 of 3139"
"Bibb County",01007,17.4,785,"1555 of 3139"
"Colbert County",01033,17.4,1793,"1555 of 3139"
"Autauga County",01001,17.5,1620,"1575 of 3139"
"Lamar County",01075,17.5,590,"1575 of 3139"
"Chambers County",01017,17.6,1549,"1590 of 3139"
"Elmore County",01051,17.8,2264,"1623 of 3139"
"Houston County",01069,17.8,4119,"1623 of 3139"
"Montgomery County",01101,17.9,9597,"1636 of 3139"
"Pickens County",01107,18.1,873,"1660 of 3139"
"Tallapoosa County",01123,18.1,1721,"1660 of 3139"
"Jefferson County",01073,18.3,24337,"1695 of 3139"
"Marion County",01093,18.3,1281,"1695 of 3139"
"Mobile County",01097,18.3,17451,"1695 of 3139"
"Fayette County",01057,18.4,670,"1714 of 3139"
"Walker County",01127,18.4,2830,"1714 of 3139"
"Cherokee County",01019,18.9,1000,"1786 of 3139"
"Covington County",01039,19.0,1567,"1796 of 3139"
"Choctaw County",01023,19.1,519,"1804 of 3139"
"Calhoun County",01015,19.4,5011,"1859 of 3139"
"Crenshaw County",01041,19.4,635,"1859 of 3139"
"Clarke County",01025,19.6,1173,"1895 of 3139"
"Winston County",01133,19.6,1104,"1895 of 3139"
"Lee County",01081,19.7,7500,"1917 of 3139"
"Monroe County",01099,19.8,1170,"1928 of 3139"
"Randolph County",01111,19.8,1036,"1928 of 3139"
"Lauderdale County",01077,20.0,3532,"1963 of 3139"
"St. Clair County",01115,20.0,2958,"1963 of 3139"
"Etowah County",01055,20.2,4556,"1997 of 3139"
"Escambia County",01053,20.3,1917,"2007 of 3139"
"Pike County",01109,20.3,1861,"2007 of 3139"
"Henry County",01067,20.6,699,"2053 of 3139"
"Morgan County",01103,21.1,4969,"2120 of 3139"
"Coffee County",01031,21.2,2079,"2133 of 3139"
"Jackson County",01071,21.2,2504,"2133 of 3139"
"Geneva County",01061,21.3,1434,"2143 of 3139"
"Cullman County",01043,21.8,3582,"2202 of 3139"
"Madison County",01089,21.8,11889,"2202 of 3139"
"Baldwin County",01003,22.1,7197,"2245 of 3139"
"Cleburne County",01029,22.1,689,"2245 of 3139"
"Coosa County",01037,22.2,501,"2259 of 3139"
"Clay County",01027,22.4,678,"2285 of 3139"
"Lawrence County",01079,22.7,1521,"2322 of 3139"
"Limestone County",01083,23.0,3377,"2360 of 3139"
"Chilton County",01021,23.1,2450,"2373 of 3139"
"Franklin County",01059,23.5,1990,"2418 of 3139"
"Washington County",01129,23.5,804,"2418 of 3139"
"Shelby County",01117,24.0,5218,"2465 of 3139"
"Blount County",01009,24.1,2779,"2476 of 3139"
"Marshall County",01095,24.5,5947,"2514 of 3139"
"DeKalb County",01049,25.8,4911,"2616 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
