------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"Alabama",01000,22.7,1102682,"27 of 52"
"United States",00000,22.9,73601279,"N/A"
"Coosa County",01037,17.4,1905,"2960 of 3141"
"Macon County",01087,18.0,3492,"2892 of 3141"
"Pike County",01109,19.7,6554,"2572 of 3141"
"Sumter County",01119,19.7,2579,"2563 of 3141"
"Cherokee County",01019,20.1,5208,"2450 of 3141"
"Lauderdale County",01077,20.3,18752,"2413 of 3141"
"Choctaw County",01023,20.5,2706,"2324 of 3141"
"Bullock County",01011,20.7,2166,"2283 of 3141"
"Pickens County",01107,20.8,4186,"2253 of 3141"
"Henry County",01067,20.9,3581,"2194 of 3141"
"Bibb County",01007,20.9,4728,"2187 of 3141"
"Winston County",01133,21.0,5025,"2177 of 3141"
"Tuscaloosa County",01125,21.0,42944,"2158 of 3141"
"Barbour County",01005,21.0,5514,"2139 of 3141"
"Marion County",01093,21.1,6351,"2107 of 3141"
"Tallapoosa County",01123,21.3,8675,"2048 of 3141"
"Clay County",01027,21.3,2857,"2037 of 3141"
"Chambers County",01017,21.4,7256,"2010 of 3141"
"Colbert County",01033,21.5,11708,"1977 of 3141"
"Jackson County",01071,21.6,11293,"1951 of 3141"
"Fayette County",01057,21.6,3598,"1949 of 3141"
"Lee County",01081,21.6,33839,"1945 of 3141"
"Lawrence County",01079,21.8,7242,"1884 of 3141"
"Talladega County",01121,21.9,17677,"1843 of 3141"
"Etowah County",01055,21.9,22540,"1841 of 3141"
"Conecuh County",01035,21.9,2774,"1805 of 3141"
"Randolph County",01111,21.9,4943,"1799 of 3141"
"Covington County",01039,22.0,8258,"1768 of 3141"
"Calhoun County",01015,22.0,25430,"1766 of 3141"
"Lamar County",01075,22.0,3088,"1757 of 3141"
"Baldwin County",01003,22.1,44999,"1712 of 3141"
"Geneva County",01061,22.2,5899,"1677 of 3141"
"Perry County",01105,22.2,2151,"1665 of 3141"
"Walker County",01127,22.3,14460,"1642 of 3141"
"Escambia County",01053,22.3,8382,"1630 of 3141"
"Madison County",01089,22.3,78901,"1607 of 3141"
"Clarke County",01025,22.4,5514,"1579 of 3141"
"Cullman County",01043,22.5,18357,"1553 of 3141"
"Elmore County",01051,22.6,18275,"1519 of 3141"
"Crenshaw County",01041,22.6,3134,"1505 of 3141"
"Butler County",01013,22.7,4570,"1456 of 3141"
"Washington County",01129,22.8,3822,"1398 of 3141"
"Lowndes County",01085,22.9,2378,"1342 of 3141"
"Marengo County",01091,23.0,4534,"1331 of 3141"
"Morgan County",01103,23.0,27463,"1291 of 3141"
"St. Clair County",01115,23.1,20060,"1281 of 3141"
"Jefferson County",01073,23.1,152179,"1279 of 3141"
"Cleburne County",01029,23.1,3458,"1252 of 3141"
"Limestone County",01083,23.2,21254,"1240 of 3141"
"Hale County",01065,23.3,3490,"1190 of 3141"
"Monroe County",01099,23.3,5071,"1169 of 3141"
"Greene County",01063,23.4,1999,"1133 of 3141"
"Dale County",01045,23.5,11608,"1101 of 3141"
"Blount County",01009,23.5,13565,"1094 of 3141"
"Houston County",01069,23.6,24546,"1065 of 3141"
"Coffee County",01031,23.7,12119,"1004 of 3141"
"Montgomery County",01101,23.8,53951,"992 of 3141"
"Mobile County",01097,23.9,98867,"940 of 3141"
"Chilton County",01021,24.1,10550,"846 of 3141"
"Shelby County",01117,24.2,50496,"787 of 3141"
"Autauga County",01001,24.5,13509,"675 of 3141"
"DeKalb County",01049,24.6,17544,"649 of 3141"
"Franklin County",01059,24.7,7772,"640 of 3141"
"Dallas County",01047,24.7,10078,"621 of 3141"
"Wilcox County",01131,24.7,2701,"619 of 3141"
"Marshall County",01095,24.9,23549,"583 of 3141"
"Russell County",01113,25.0,14608,"549 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
