------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"United States",00000,14.6,45650345,"N/A"
"Alabama",01000,18.0,849699,"46 of 52"
"Shelby County",01117,8.3,17127,"273 of 3141"
"Baldwin County",01003,11.8,23728,"896 of 3141"
"Elmore County",01051,13.5,10299,"1241 of 3141"
"Madison County",01089,13.6,46925,"1258 of 3141"
"Autauga County",01001,13.7,7483,"1282 of 3141"
"St. Clair County",01115,13.7,11656,"1284 of 3141"
"Henry County",01067,13.7,2310,"1292 of 3141"
"Coosa County",01037,14.4,1513,"1412 of 3141"
"Limestone County",01083,14.8,13138,"1494 of 3141"
"Bibb County",01007,15.2,3133,"1581 of 3141"
"Blount County",01009,15.6,8919,"1661 of 3141"
"Coffee County",01031,16.1,8122,"1765 of 3141"
"Cherokee County",01019,16.1,4104,"1767 of 3141"
"Lauderdale County",01077,16.3,14701,"1783 of 3141"
"Cullman County",01043,16.4,13157,"1795 of 3141"
"Morgan County",01103,16.6,19448,"1862 of 3141"
"Lawrence County",01079,16.6,5490,"1869 of 3141"
"Colbert County",01033,16.8,9056,"1905 of 3141"
"Tuscaloosa County",01125,17.3,33597,"2005 of 3141"
"Marion County",01093,17.6,5175,"2052 of 3141"
"Jefferson County",01073,17.6,113368,"2058 of 3141"
"Crenshaw County",01041,17.6,2399,"2063 of 3141"
"Covington County",01039,17.6,6491,"2070 of 3141"
"Etowah County",01055,17.9,18166,"2116 of 3141"
"Fayette County",01057,18.1,2967,"2172 of 3141"
"Houston County",01069,18.5,19030,"2222 of 3141"
"Calhoun County",01015,18.6,20940,"2251 of 3141"
"Randolph County",01111,18.7,4102,"2256 of 3141"
"Winston County",01133,18.7,4395,"2257 of 3141"
"Chambers County",01017,18.8,6288,"2283 of 3141"
"Jackson County",01071,19.0,9827,"2299 of 3141"
"Cleburne County",01029,19.1,2800,"2310 of 3141"
"Clay County",01027,19.1,2493,"2313 of 3141"
"Talladega County",01121,19.3,14946,"2343 of 3141"
"Mobile County",01097,19.3,78256,"2348 of 3141"
"Chilton County",01021,19.4,8392,"2352 of 3141"
"Dale County",01045,19.6,9441,"2383 of 3141"
"Montgomery County",01101,20.8,45863,"2517 of 3141"
"Russell County",01113,20.9,12024,"2529 of 3141"
"Marshall County",01095,21.0,19654,"2540 of 3141"
"Tallapoosa County",01123,21.2,8532,"2570 of 3141"
"DeKalb County",01049,21.5,15115,"2601 of 3141"
"Walker County",01127,21.5,13754,"2612 of 3141"
"Lee County",01081,22.0,33132,"2655 of 3141"
"Washington County",01129,22.0,3644,"2657 of 3141"
"Choctaw County",01023,22.3,2903,"2683 of 3141"
"Geneva County",01061,22.5,5903,"2689 of 3141"
"Pickens County",01107,22.9,4340,"2726 of 3141"
"Franklin County",01059,23.0,7175,"2744 of 3141"
"Lamar County",01075,23.1,3191,"2749 of 3141"
"Escambia County",01053,23.8,8281,"2800 of 3141"
"Butler County",01013,24.4,4835,"2826 of 3141"
"Clarke County",01025,25.3,6108,"2875 of 3141"
"Marengo County",01091,25.6,5000,"2901 of 3141"
"Macon County",01087,25.9,4380,"2907 of 3141"
"Hale County",01065,26.1,3852,"2918 of 3141"
"Pike County",01109,26.3,8224,"2927 of 3141"
"Conecuh County",01035,26.4,3316,"2937 of 3141"
"Barbour County",01005,27.2,6332,"2969 of 3141"
"Bullock County",01011,28.5,2852,"3002 of 3141"
"Lowndes County",01085,30.2,3095,"3034 of 3141"
"Dallas County",01047,31.9,12795,"3065 of 3141"
"Wilcox County",01131,31.9,3371,"3067 of 3141"
"Monroe County",01099,33.7,7249,"3085 of 3141"
"Sumter County",01119,36.0,4398,"3103 of 3141"
"Greene County",01063,38.8,3293,"3118 of 3141"
"Perry County",01105,41.9,3706,"3130 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
