------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"Alabama",01000,48.5,2350806,"4 of 52"
"United States",00000,49.2,158018753,"N/A"
"Sumter County",01119,46.1,6033,"30 of 3141"
"Macon County",01087,46.1,8933,"32 of 3141"
"Dallas County",01047,46.2,18809,"33 of 3141"
"Wilcox County",01131,46.7,5096,"52 of 3141"
"Marengo County",01091,46.8,9235,"55 of 3141"
"Butler County",01013,46.8,9416,"57 of 3141"
"Hale County",01065,47.0,7049,"80 of 3141"
"Lowndes County",01085,47.2,4896,"106 of 3141"
"Clarke County",01025,47.3,11649,"113 of 3141"
"Montgomery County",01101,47.3,107470,"114 of 3141"
"Jefferson County",01073,47.4,312333,"121 of 3141"
"Greene County",01063,47.6,4058,"144 of 3141"
"Choctaw County",01023,47.6,6277,"157 of 3141"
"Pickens County",01107,47.6,9601,"158 of 3141"
"Monroe County",01099,47.6,10355,"161 of 3141"
"Conecuh County",01035,47.8,6040,"178 of 3141"
"Pike County",01109,47.8,15897,"186 of 3141"
"Mobile County",01097,47.8,197968,"187 of 3141"
"Lauderdale County",01077,47.8,44263,"191 of 3141"
"Perry County",01105,47.8,4630,"196 of 3141"
"Houston County",01069,47.9,49905,"232 of 3141"
"Henry County",01067,48.0,8208,"242 of 3141"
"Colbert County",01033,48.0,26143,"256 of 3141"
"Calhoun County",01015,48.1,55593,"283 of 3141"
"Tallapoosa County",01123,48.1,19616,"286 of 3141"
"Chambers County",01017,48.1,16320,"296 of 3141"
"Etowah County",01055,48.2,49738,"336 of 3141"
"Clay County",01027,48.3,6471,"355 of 3141"
"Tuscaloosa County",01125,48.3,98725,"365 of 3141"
"Covington County",01039,48.3,18133,"386 of 3141"
"Talladega County",01121,48.4,39140,"423 of 3141"
"Lawrence County",01079,48.6,16164,"523 of 3141"
"Shelby County",01117,48.6,101420,"544 of 3141"
"Elmore County",01051,48.6,39357,"546 of 3141"
"Russell County",01113,48.6,28424,"553 of 3141"
"Randolph County",01111,48.8,10998,"705 of 3141"
"Walker County",01127,48.8,31709,"730 of 3141"
"Madison County",01089,48.9,172568,"746 of 3141"
"Autauga County",01001,48.9,26899,"765 of 3141"
"Crenshaw County",01041,48.9,6786,"832 of 3141"
"Baldwin County",01003,48.9,99527,"837 of 3141"
"Geneva County",01061,49.0,13008,"853 of 3141"
"Lamar County",01075,49.0,6875,"922 of 3141"
"Jackson County",01071,49.1,25712,"1023 of 3141"
"Fayette County",01057,49.2,8191,"1060 of 3141"
"Chilton County",01021,49.2,21554,"1096 of 3141"
"Cullman County",01043,49.2,40223,"1119 of 3141"
"Lee County",01081,49.3,77172,"1180 of 3141"
"Cleburne County",01029,49.3,7367,"1210 of 3141"
"Morgan County",01103,49.3,58761,"1210 of 3141"
"Marshall County",01095,49.4,46771,"1290 of 3141"
"Coffee County",01031,49.4,25225,"1327 of 3141"
"Blount County",01009,49.4,28490,"1346 of 3141"
"Winston County",01133,49.4,11850,"1387 of 3141"
"Marion County",01093,49.5,14880,"1464 of 3141"
"DeKalb County",01049,49.6,35328,"1594 of 3141"
"Dale County",01045,49.7,24524,"1623 of 3141"
"Cherokee County",01019,49.7,12862,"1715 of 3141"
"Washington County",01129,49.8,8342,"1778 of 3141"
"Coosa County",01037,50.0,5474,"1916 of 3141"
"St. Clair County",01115,50.0,43469,"1951 of 3141"
"Limestone County",01083,50.0,45889,"1983 of 3141"
"Franklin County",01059,50.2,15818,"2120 of 3141"
"Escambia County",01053,51.4,19326,"2653 of 3141"
"Barbour County",01005,53.3,13976,"2928 of 3141"
"Bullock County",01011,53.6,5616,"2953 of 3141"
"Bibb County",01007,54.3,12251,"2996 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
