------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Alabama",01000,1.7,31588,"43 of 52"
"United States",00000,3.3,3975282,"N/A"
"Bullock County",01011,0.1,4,"3089 of 3141"
"Wilcox County",01131,0.3,13,"3047 of 3141"
"Bibb County",01007,0.5,36,"2985 of 3141"
"Clay County",01027,0.5,28,"2981 of 3141"
"Colbert County",01033,0.6,136,"2932 of 3141"
"Henry County",01067,0.7,49,"2865 of 3141"
"Crenshaw County",01041,0.8,43,"2808 of 3141"
"St. Clair County",01115,0.9,279,"2761 of 3141"
"Monroe County",01099,0.9,72,"2739 of 3141"
"Sumter County",01119,0.9,46,"2703 of 3141"
"Baldwin County",01003,1.0,770,"2599 of 3141"
"Shelby County",01117,1.1,823,"2538 of 3141"
"Winston County",01133,1.1,106,"2479 of 3141"
"Autauga County",01001,1.1,237,"2471 of 3141"
"Cleburne County",01029,1.1,66,"2444 of 3141"
"Lawrence County",01079,1.2,154,"2405 of 3141"
"Lauderdale County",01077,1.2,465,"2372 of 3141"
"Coffee County",01031,1.2,241,"2349 of 3141"
"Lamar County",01075,1.2,75,"2325 of 3141"
"Marion County",01093,1.3,159,"2291 of 3141"
"Houston County",01069,1.3,512,"2266 of 3141"
"Elmore County",01051,1.3,378,"2262 of 3141"
"Macon County",01087,1.3,102,"2260 of 3141"
"Jefferson County",01073,1.3,3424,"2245 of 3141"
"Lowndes County",01085,1.3,57,"2223 of 3141"
"Dale County",01045,1.3,252,"2205 of 3141"
"Etowah County",01055,1.4,547,"2145 of 3141"
"Marengo County",01091,1.4,113,"2120 of 3141"
"Madison County",01089,1.4,2016,"2119 of 3141"
"Talladega County",01121,1.5,465,"2063 of 3141"
"Choctaw County",01023,1.5,81,"2046 of 3141"
"Coosa County",01037,1.5,63,"2028 of 3141"
"Fayette County",01057,1.5,105,"2016 of 3141"
"Conecuh County",01035,1.5,72,"1995 of 3141"
"Butler County",01013,1.6,110,"1961 of 3141"
"Cherokee County",01019,1.6,170,"1939 of 3141"
"Calhoun County",01015,1.6,724,"1914 of 3141"
"Geneva County",01061,1.6,173,"1893 of 3141"
"Cullman County",01043,1.7,535,"1783 of 3141"
"Montgomery County",01101,1.7,1556,"1773 of 3141"
"Pickens County",01107,1.8,137,"1712 of 3141"
"Blount County",01009,1.8,374,"1701 of 3141"
"Limestone County",01083,1.8,593,"1673 of 3141"
"Walker County",01127,1.8,465,"1654 of 3141"
"Covington County",01039,1.9,294,"1572 of 3141"
"Tuscaloosa County",01125,2.0,1401,"1539 of 3141"
"Mobile County",01097,2.0,3066,"1507 of 3141"
"Barbour County",01005,2.0,186,"1474 of 3141"
"Clarke County",01025,2.0,196,"1459 of 3141"
"Morgan County",01103,2.1,946,"1438 of 3141"
"Pike County",01109,2.1,258,"1401 of 3141"
"Jackson County",01071,2.3,462,"1229 of 3141"
"Escambia County",01053,2.3,301,"1222 of 3141"
"Perry County",01105,2.3,71,"1166 of 3141"
"Washington County",01129,2.5,151,"1008 of 3141"
"Chilton County",01021,2.7,448,"907 of 3141"
"Randolph County",01111,2.8,247,"830 of 3141"
"DeKalb County",01049,2.8,711,"829 of 3141"
"Lee County",01081,2.9,1685,"797 of 3141"
"Chambers County",01017,3.3,446,"613 of 3141"
"Russell County",01113,3.3,752,"588 of 3141"
"Marshall County",01095,3.3,1156,"575 of 3141"
"Greene County",01063,3.5,105,"534 of 3141"
"Franklin County",01059,3.7,421,"476 of 3141"
"Hale County",01065,3.7,210,"455 of 3141"
"Tallapoosa County",01123,3.7,610,"451 of 3141"
"Dallas County",01047,3.9,639,"414 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
