------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"United States",00000,50.8,162985654,"N/A"
"Alabama",01000,51.5,2499965,"49 of 52"
"Bibb County",01007,45.7,10329,"146 of 3141"
"Bullock County",01011,46.4,4862,"189 of 3141"
"Barbour County",01005,46.7,12225,"214 of 3141"
"Escambia County",01053,48.6,18295,"489 of 3141"
"Franklin County",01059,49.8,15689,"1022 of 3141"
"Limestone County",01083,50.0,45806,"1159 of 3141"
"St. Clair County",01115,50.0,43468,"1191 of 3141"
"Coosa County",01037,50.0,5481,"1226 of 3141"
"Washington County",01129,50.2,8404,"1364 of 3141"
"Cherokee County",01019,50.3,12993,"1427 of 3141"
"Dale County",01045,50.3,24869,"1519 of 3141"
"DeKalb County",01049,50.4,35866,"1548 of 3141"
"Marion County",01093,50.5,15178,"1678 of 3141"
"Winston County",01133,50.6,12118,"1755 of 3141"
"Blount County",01009,50.6,29177,"1796 of 3141"
"Coffee County",01031,50.6,25848,"1815 of 3141"
"Marshall County",01095,50.6,47967,"1852 of 3141"
"Cleburne County",01029,50.7,7572,"1930 of 3141"
"Morgan County",01103,50.7,60396,"1930 of 3141"
"Lee County",01081,50.7,79425,"1962 of 3141"
"Cullman County",01043,50.8,41480,"2023 of 3141"
"Chilton County",01021,50.8,22251,"2046 of 3141"
"Fayette County",01057,50.8,8466,"2082 of 3141"
"Jackson County",01071,50.9,26614,"2119 of 3141"
"Lamar County",01075,51.0,7146,"2220 of 3141"
"Geneva County",01061,51.0,13564,"2289 of 3141"
"Baldwin County",01003,51.1,103833,"2305 of 3141"
"Crenshaw County",01041,51.1,7080,"2310 of 3141"
"Autauga County",01001,51.1,28137,"2377 of 3141"
"Madison County",01089,51.1,180645,"2396 of 3141"
"Walker County",01127,51.2,33218,"2412 of 3141"
"Randolph County",01111,51.2,11532,"2437 of 3141"
"Russell County",01113,51.4,30056,"2589 of 3141"
"Elmore County",01051,51.4,41632,"2596 of 3141"
"Shelby County",01117,51.4,107301,"2598 of 3141"
"Lawrence County",01079,51.4,17124,"2619 of 3141"
"Talladega County",01121,51.6,41748,"2719 of 3141"
"Covington County",01039,51.7,19386,"2756 of 3141"
"Tuscaloosa County",01125,51.7,105699,"2777 of 3141"
"Clay County",01027,51.7,6936,"2787 of 3141"
"Etowah County",01055,51.8,53394,"2806 of 3141"
"Chambers County",01017,51.9,17575,"2846 of 3141"
"Tallapoosa County",01123,51.9,21140,"2856 of 3141"
"Calhoun County",01015,51.9,59934,"2859 of 3141"
"Colbert County",01033,52.0,28292,"2886 of 3141"
"Henry County",01067,52.0,8902,"2900 of 3141"
"Houston County",01069,52.1,54203,"2910 of 3141"
"Perry County",01105,52.2,5050,"2946 of 3141"
"Lauderdale County",01077,52.2,48327,"2951 of 3141"
"Mobile County",01097,52.2,216360,"2955 of 3141"
"Pike County",01109,52.2,17390,"2956 of 3141"
"Conecuh County",01035,52.2,6609,"2964 of 3141"
"Monroe County",01099,52.4,11390,"2981 of 3141"
"Pickens County",01107,52.4,10569,"2984 of 3141"
"Choctaw County",01023,52.4,6911,"2985 of 3141"
"Greene County",01063,52.4,4475,"2998 of 3141"
"Jefferson County",01073,52.6,347127,"3021 of 3141"
"Montgomery County",01101,52.7,119650,"3028 of 3141"
"Clarke County",01025,52.7,12976,"3029 of 3141"
"Lowndes County",01085,52.8,5466,"3036 of 3141"
"Hale County",01065,53.0,7946,"3062 of 3141"
"Butler County",01013,53.2,10710,"3085 of 3141"
"Marengo County",01091,53.2,10508,"3087 of 3141"
"Wilcox County",01131,53.3,5823,"3090 of 3141"
"Dallas County",01047,53.8,21946,"3109 of 3141"
"Macon County",01087,53.9,10425,"3110 of 3141"
"Sumter County",01119,53.9,7051,"3112 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
