------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"United States",00000,32.4,104105673,"N/A"
"Alabama",01000,32.7,1588429,"31 of 52"
"Pike County",01109,26.8,8917,"112 of 3141"
"Perry County",01105,27.9,2699,"178 of 3141"
"Lee County",01081,28.0,43785,"185 of 3141"
"Tuscaloosa County",01125,28.4,58087,"222 of 3141"
"Macon County",01087,30.1,5830,"415 of 3141"
"Sumter County",01119,30.3,3958,"442 of 3141"
"Dale County",01045,30.9,15264,"574 of 3141"
"Montgomery County",01101,31.3,70999,"660 of 3141"
"Franklin County",01059,31.5,9929,"742 of 3141"
"Russell County",01113,31.7,18544,"807 of 3141"
"Greene County",01063,31.7,2706,"808 of 3141"
"Hale County",01065,31.8,4766,"832 of 3141"
"Mobile County",01097,31.9,132311,"884 of 3141"
"Barbour County",01005,32.1,8414,"953 of 3141"
"Marshall County",01095,32.1,30427,"955 of 3141"
"Jefferson County",01073,32.3,213021,"1033 of 3141"
"DeKalb County",01049,32.4,23088,"1089 of 3141"
"Escambia County",01053,32.4,12207,"1096 of 3141"
"Calhoun County",01015,32.6,37618,"1134 of 3141"
"Dallas County",01047,32.6,13292,"1161 of 3141"
"Lauderdale County",01077,32.6,30228,"1173 of 3141"
"Autauga County",01001,32.7,17991,"1192 of 3141"
"Coffee County",01031,32.8,16771,"1258 of 3141"
"Marengo County",01091,32.9,6491,"1278 of 3141"
"Chilton County",01021,32.9,14404,"1280 of 3141"
"Houston County",01069,33.0,34371,"1341 of 3141"
"Wilcox County",01131,33.1,3613,"1376 of 3141"
"Butler County",01013,33.2,6673,"1408 of 3141"
"Cullman County",01043,33.2,27123,"1431 of 3141"
"Covington County",01039,33.3,12504,"1488 of 3141"
"Monroe County",01099,33.4,7263,"1530 of 3141"
"Lowndes County",01085,33.4,3463,"1544 of 3141"
"Etowah County",01055,33.5,34594,"1612 of 3141"
"Henry County",01067,33.6,5751,"1646 of 3141"
"Clarke County",01025,33.6,8280,"1656 of 3141"
"Crenshaw County",01041,33.7,4676,"1713 of 3141"
"Morgan County",01103,33.8,40284,"1764 of 3141"
"Cleburne County",01029,33.8,5056,"1789 of 3141"
"Elmore County",01051,33.9,27454,"1824 of 3141"
"Randolph County",01111,33.9,7638,"1825 of 3141"
"Pickens County",01107,33.9,6840,"1829 of 3141"
"Madison County",01089,34.0,120001,"1858 of 3141"
"Conecuh County",01035,34.0,4299,"1865 of 3141"
"Fayette County",01057,34.0,5667,"1882 of 3141"
"Baldwin County",01003,34.0,69197,"1884 of 3141"
"Blount County",01009,34.1,19684,"1938 of 3141"
"Talladega County",01121,34.2,27642,"1956 of 3141"
"Chambers County",01017,34.2,11590,"1965 of 3141"
"Shelby County",01117,34.2,71373,"1967 of 3141"
"Walker County",01127,34.6,22439,"2144 of 3141"
"Geneva County",01061,34.6,9199,"2178 of 3141"
"St. Clair County",01115,34.7,30128,"2187 of 3141"
"Marion County",01093,34.7,10428,"2204 of 3141"
"Tallapoosa County",01123,34.7,14145,"2213 of 3141"
"Bibb County",01007,34.8,7855,"2264 of 3141"
"Limestone County",01083,34.8,31900,"2268 of 3141"
"Colbert County",01033,34.8,18962,"2292 of 3141"
"Lamar County",01075,35.0,4902,"2347 of 3141"
"Jackson County",01071,35.1,18365,"2409 of 3141"
"Choctaw County",01023,35.3,4651,"2462 of 3141"
"Lawrence County",01079,35.5,11810,"2539 of 3141"
"Bullock County",01011,35.5,3718,"2540 of 3141"
"Winston County",01133,35.7,8547,"2595 of 3141"
"Clay County",01027,36.0,4833,"2725 of 3141"
"Cherokee County",01019,36.3,9373,"2773 of 3141"
"Washington County",01129,36.5,6104,"2812 of 3141"
"Coosa County",01037,39.1,4287,"3082 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40-64, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
