------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=45&areatype=county&cancer=061&race=00&sex=2&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '45', 'areatype': 'county', 'cancer': '061', 'race': '00', 'sex': '2', 'age': '001', 'type': 'death', 'file_name': 'deathrates_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=45&areatype=county&cancer=061&race=00&sex=2&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for South Carolina by County

"Ovary, 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"South Carolina",45000,***,6.6 ,6.2, 7,210,falling,-4.3 ,-7.3, -1.2
"United States",00000,***,7 ,7, 7.1,14204,falling,-2.3 ,-2.4, -2.1
"Cherokee County",45021,***,10.5 ,6.3, 16.7,4,*,*,*,*
"Darlington County",45031,***,9.5 ,6.1, 14.5,5,*,*,*,*
"Oconee County",45073,***,9.1 ,5.9, 13.9,5,stable,-1.5 ,-3.3, 0.4
"Sumter County",45085,***,8.7 ,5.9, 12.4,6,stable,0.2 ,-1.3, 1.8
"York County",45091,***,8.4 ,6.3, 10.8,12,stable,0.3 ,-1.2, 1.8
"Dorchester County",45035,***,7.7 ,5.1, 11.2,6,*,*,*,*
"Orangeburg County",45075,***,7.7 ,5, 11.6,5,*,*,*,*
"Aiken County",45003,***,7.3 ,5.2, 10,9,stable,-1.2 ,-3.1, 0.7
"Lancaster County",45057,***,6.8 ,4.1, 10.9,4,*,*,*,*
"Richland County",45079,***,6.8 ,5.3, 8.6,15,falling,-2.1 ,-3.6, -0.6
"Spartanburg County",45083,***,6.6 ,5.1, 8.6,12,falling,-1.7 ,-3.1, -0.2
"Horry County",45051,***,6.5 ,5.1, 8.3,16,falling,-2.0 ,-3.1, -0.8
