------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=45&areatype=county&cancer=072&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '45', 'areatype': 'county', 'cancer': '072', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=45&areatype=county&cancer=072&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for South Carolina by County

"Kidney & Renal Pelvis, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"South Carolina",45000,***,4 ,3.8, 4.3,231,stable,-0.3 ,-0.7, 0.2
"United States",00000,***,3.8 ,3.7, 3.8,13926,falling,-0.9 ,-1.1, -0.7
"Chesterfield County",45025,***,7.5 ,4.6, 11.6,4,*,*,*,*
"Chester County",45023,***,7.3 ,4.1, 12.1,3,*,*,*,*
"Pickens County",45077,***,5.9 ,4.2, 8.1,8,stable,0.1 ,-1.7, 2.1
"Cherokee County",45021,***,5.5 ,3.3, 8.7,4,*,*,*,*
"Kershaw County",45055,***,5.5 ,3.4, 8.4,5,*,*,*,*
"Florence County",45041,***,4.9 ,3.4, 6.7,8,*,*,*,*
"Sumter County",45085,***,4.8 ,3.2, 6.9,6,stable,-0.3 ,-2.8, 2.2
"Darlington County",45031,***,4.6 ,2.7, 7.5,4,*,*,*,*
"Laurens County",45059,***,4.6 ,2.8, 7.3,4,*,*,*,*
"Dorchester County",45035,***,4.5 ,3.1, 6.5,6,stable,-0.2 ,-3.0, 2.6
"Georgetown County",45043,***,4.3 ,2.4, 7.2,4,*,*,*,*
