------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=24&areatype=county&cancer=057&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '24', 'areatype': 'county', 'cancer': '057', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=24&areatype=county&cancer=057&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Maryland by County

"Cervix (All Stages^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 7.2?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Maryland(6,10)",24000,Yes,6.4 ,6, 6.8,215,stable,1.2 ,-3.3, 6.0
"US (SEER+NPCR)(1,10)",00000,No,7.6 ,7.5, 7.6,12695,stable,0.8 ,-0.6, 2.3
"Baltimore City(6,10)",24510,No,10.7 ,9.1, 12.4,37,stable,-2.2 ,-16.8, 14.9
"Washington County(6,10)",24043,No,9.4 ,6.4, 13.2,7,stable,-3.1 ,-41.2, 59.7
"Allegany County(6,10)",24001,No,9.3 ,5.3, 15.2,4,stable,4.2 ,-66.0, 219.5
"Anne Arundel County(6,10)",24003,Yes,6.9 ,5.6, 8.4,20,stable,3.4 ,-16.7, 28.3
"Wicomico County(6,10)",24045,Yes,6.6 ,3.9, 10.6,4,stable,0.3 ,-37.9, 61.9
"Cecil County(6,10)",24015,Yes,6.6 ,3.8, 10.6,4,*,*,*,*
"Prince Georges County(6,10)",24033,Yes,6.4 ,5.4, 7.5,31,stable,-6.7 ,-16.3, 4.0
"St. Marys County(6,10)",24037,Yes,6.3 ,3.8, 10,4,stable,0.3 ,-25.0, 34.1
"Baltimore County(6,10)",24005,Yes,6.1 ,5.1, 7.2,30,stable,3.0 ,-12.7, 21.4
"Charles County(6,10)",24017,Yes,5.6 ,3.5, 8.4,5,stable,2.2 ,-25.3, 39.9
"Montgomery County(6,10)",24031,Yes,5.4 ,4.6, 6.3,32,stable,13.7 ,-12.7, 48.1
"Howard County(6,10)",24027,Yes,5 ,3.6, 6.8,8,stable,-0.4 ,-23.8, 30.2
"Harford County(6,10)",24025,Yes,4.6 ,3.1, 6.6,6,stable,-5.1 ,-53.5, 93.7
"Carroll County(6,10)",24013,Yes,4.5 ,2.7, 7,4,stable,3.3 ,-35.8, 66.3
"Frederick County(6,10)",24021,Yes,4.5 ,3, 6.5,6,stable,0.2 ,-20.4, 26.0
"Calvert County(6,10)",24009,***,* ,*, *,3 or fewer,*,*,*,*
"Caroline County(6,10)",24011,***,* ,*, *,3 or fewer,*,*,*,*
"Dorchester County(6,10)",24019,***,* ,*, *,3 or fewer,*,*,*,*
"Garrett County(6,10)",24023,***,* ,*, *,3 or fewer,*,*,*,*
