------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=16&areatype=county&cancer=020&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '16', 'areatype': 'county', 'cancer': '020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=16&areatype=county&cancer=020&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Idaho by County

"Colon & Rectum (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Idaho(7,8)",16000,Yes,35.5 ,34.3, 36.8,633,falling,-2.0 ,-2.4, -1.7
"US (SEER+NPCR)(1,10)",00000,Yes,38.7 ,38.6, 38.8,140982,falling,-1.3 ,-2.1, -0.6
"Payette County(7,8)",16075,No,51 ,39.2, 65.3,13,stable,1.2 ,-2.1, 4.5
"Lemhi County(7)",16059,No,49 ,34.9, 69.7,8,*,*,*,*
"Shoshone County(7,8)",16079,No,48 ,34.6, 65.6,9,stable,-1.8 ,-4.6, 1.1
"Caribou County(7)",16029,No,43.5 ,25.8, 69.5,4,*,*,*,*
"Elmore County(7,8)",16039,No,42.8 ,31.9, 56.2,11,stable,-1.3 ,-4.4, 2.0
"Gem County(7,8)",16045,No,42.7 ,31.2, 57.4,10,stable,-0.8 ,-4.1, 2.5
"Washington County(7,8)",16087,No,42.6 ,28.6, 61.9,6,stable,-3.6 ,-7.5, 0.5
"Bingham County(7,8)",16011,No,41 ,33, 50.3,19,stable,2.5 ,0.0, 5.1
"Bonner County(7,8)",16017,No,40.5 ,33, 49.3,23,falling,-3.0 ,-4.9, -1.2
"Owyhee County(7)",16073,No,40.3 ,26.3, 59.5,5,*,*,*,*
"Fremont County(7,8)",16043,No,40.2 ,27.5, 57.2,7,stable,0.2 ,-4.3, 4.9
"Benewah County(7,8)",16009,Yes,39.9 ,26, 59.7,6,falling,-3.3 ,-6.4, -0.2
"Franklin County(7,8)",16041,Yes,39.6 ,25.6, 58.3,5,stable,2.9 ,-1.9, 7.9
