------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"United States",00000,3.3,3975282,"N/A"
"Alaska",02900,6.6,16558,"3 of 52"
"Wrangell-Petersburg Census Area",02280,2.5,58,"1038 of 3141"
"Sitka City and Borough",02220,2.7,95,"898 of 3141"
"Aleutians East Borough",02013,2.7,22,"876 of 3141"
"Valdez-Cordova Census Area",02261,3.4,98,"541 of 3141"
"Skagway-Hoonah-Angoon Census Area",02232,3.8,47,"421 of 3141"
"Juneau City and Borough",02110,3.9,482,"398 of 3141"
"Denali Borough",02068,4.1,28,"350 of 3141"
"Kenai Peninsula Borough",02122,4.2,909,"340 of 3141"
"Anchorage Municipality",02020,4.4,4672,"305 of 3141"
"Ketchikan Gateway Borough",02130,4.5,235,"290 of 3141"
"Bristol Bay Borough",02060,4.5,16,"287 of 3141"
"Yakutat City and Borough",02282,4.7,12,"250 of 3141"
"Matanuska-Susitna Borough",02170,5.2,1596,"203 of 3141"
"Fairbanks North Borough",02090,5.7,2082,"168 of 3141"
"Prince of Wales-Outer Ketchikan Census Area",02201,6.0,140,"152 of 3141"
"Haines Borough",02100,7.3,79,"97 of 3141"
"Southeast Fairbanks Census Area",02240,8.1,173,"80 of 3141"
"Kodiak Island Borough",02150,9.0,408,"60 of 3141"
"Aleutians West Census Area",02016,9.6,117,"48 of 3141"
"Lake and Peninsula Borough",02164,9.8,40,"45 of 3141"
"Yukon-Koyukuk Census Area",02290,16.4,321,"8 of 3141"
"Dillingham Census Area",02070,22.5,316,"7 of 3141"
"Nome Census Area",02180,29.7,861,"6 of 3141"
"North Slope Borough",02185,30.8,629,"5 of 3141"
"Bethel Census Area",02050,34.9,1580,"3 of 3141"
"Northwest Arctic Borough",02188,37.0,684,"2 of 3141"
"Wade Hampton Census Area",02270,49.0,858,"1 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
