------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Percent),People (Moved Within County),Rank within US
"United States",00000,8.4,26717038,"N/A"
"Alaska",02900,10.9,79592,"49 of 51"
"Denali Borough",02068,3.1,70,"275 of 3140"
"Wade Hampton Census Area",02270,4.7,370,"767 of 3140"
"Aleutians East Borough",02013,5.2,173,"1018 of 3140"
"Valdez-Cordova Census Area",02261,6.2,582,"1535 of 3140"
"Lake and Peninsula Borough",02164,6.3,81,"1585 of 3140"
"Skagway-Hoonah-Angoon Census Area",02232,6.4,202,"1643 of 3140"
"Yukon-Koyukuk Census Area",02290,6.6,353,"1705 of 3140"
"Wrangell-Petersburg Census Area",02280,6.7,380,"1759 of 3140"
"North Slope Borough",02185,7.0,666,"1846 of 3140"
"Kodiak Island Borough",02150,7.2,982,"1984 of 3140"
"Prince of Wales-Outer Ketchikan Census Area",02201,7.7,490,"2155 of 3140"
"Aleutians West Census Area",02016,7.9,453,"2236 of 3140"
"Bristol Bay Borough",02060,8.5,77,"2414 of 3140"
"Matanuska-Susitna Borough",02170,8.7,8717,"2478 of 3140"
"Nome Census Area",02180,8.8,855,"2512 of 3140"
"Southeast Fairbanks Census Area",02240,8.9,602,"2526 of 3140"
"Northwest Arctic Borough",02188,9.2,693,"2602 of 3140"
"Dillingham Census Area",02070,9.2,452,"2616 of 3140"
"Bethel Census Area",02050,9.5,1667,"2673 of 3140"
"Sitka City and Borough",02220,9.8,858,"2752 of 3140"
"Haines Borough",02100,10.4,263,"2855 of 3140"
"Kenai Peninsula Borough",02122,10.8,6209,"2907 of 3140"
"Yakutat City and Borough",02282,11.2,76,"2964 of 3140"
"Ketchikan Gateway Borough",02130,11.3,1533,"2974 of 3140"
"Juneau City and Borough",02110,11.6,3736,"3009 of 3140"
"Fairbanks North Borough",02090,11.9,11665,"3025 of 3140"
"Anchorage Municipality",02020,12.7,37387,"3076 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
