------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Alaska",02900,93.2,688403,"32 of 52"
"Aleutians West Census Area",02016,86.5,5004,"560 of 3141"
"Aleutians East Borough",02013,90.3,3014,"757 of 3141"
"Anchorage Municipality",02020,91.1,271810,"817 of 3141"
"Kodiak Island Borough",02150,91.1,12554,"819 of 3141"
"Fairbanks North Borough",02090,92.3,92317,"913 of 3141"
"Wrangell-Petersburg Census Area",02280,92.6,5326,"955 of 3141"
"Juneau City and Borough",02110,93.6,30367,"1077 of 3141"
"Sitka City and Borough",02220,93.7,8255,"1084 of 3141"
"Skagway-Hoonah-Angoon Census Area",02232,94.1,2996,"1141 of 3141"
"Yakutat City and Borough",02282,94.4,644,"1204 of 3141"
"Southeast Fairbanks Census Area",02240,94.8,6533,"1281 of 3141"
"Valdez-Cordova Census Area",02261,95.2,8986,"1357 of 3141"
"Ketchikan Gateway Borough",02130,95.2,13090,"1367 of 3141"
"Matanuska-Susitna Borough",02170,95.4,96469,"1399 of 3141"
"Bristol Bay Borough",02060,95.5,876,"1434 of 3141"
"North Slope Borough",02185,95.9,9356,"1531 of 3141"
"Kenai Peninsula Borough",02122,96.0,55668,"1575 of 3141"
"Prince of Wales-Outer Ketchikan Census Area",02201,96.3,6235,"1647 of 3141"
"Dillingham Census Area",02070,96.9,4819,"1832 of 3141"
"Haines Borough",02100,97.2,2466,"1970 of 3141"
"Northwest Arctic Borough",02188,97.5,7519,"2095 of 3141"
"Nome Census Area",02180,97.6,9635,"2176 of 3141"
"Bethel Census Area",02050,97.8,17564,"2276 of 3141"
"Yukon-Koyukuk Census Area",02290,97.9,5336,"2304 of 3141"
"Wade Hampton Census Area",02270,98.4,7997,"2592 of 3141"
"Lake and Peninsula Borough",02164,98.5,1281,"2657 of 3141"
"Denali Borough",02068,99.3,2286,"3012 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
