------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Percent),People (White),Rank within US
"Alaska",02900,65.3,481971,"44 of 52"
"United States",00000,73.0,234370202,"N/A"
"Wade Hampton Census Area",02270,4.0,326,"3141 of 3141"
"Bethel Census Area",02050,11.0,1968,"3137 of 3141"
"Northwest Arctic Borough",02188,11.7,901,"3136 of 3141"
"Nome Census Area",02180,16.4,1616,"3128 of 3141"
"Aleutians East Borough",02013,17.2,574,"3126 of 3141"
"Dillingham Census Area",02070,17.5,868,"3124 of 3141"
"Lake and Peninsula Borough",02164,22.4,292,"3112 of 3141"
"Yukon-Koyukuk Census Area",02290,22.6,1231,"3111 of 3141"
"Aleutians West Census Area",02016,29.8,1723,"3088 of 3141"
"North Slope Borough",02185,31.9,3113,"3083 of 3141"
"Yakutat City and Borough",02282,46.0,314,"2988 of 3141"
"Prince of Wales-Outer Ketchikan Census Area",02201,47.0,3044,"2977 of 3141"
"Bristol Bay Borough",02060,52.0,477,"2934 of 3141"
"Kodiak Island Borough",02150,53.7,7402,"2913 of 3141"
"Skagway-Hoonah-Angoon Census Area",02232,57.8,1841,"2850 of 3141"
"Anchorage Municipality",02020,63.7,189826,"2734 of 3141"
"Sitka City and Borough",02220,64.8,5712,"2704 of 3141"
"Ketchikan Gateway Borough",02130,67.2,9234,"2651 of 3141"
"Juneau City and Borough",02110,68.9,22360,"2586 of 3141"
"Wrangell-Petersburg Census Area",02280,71.8,4127,"2512 of 3141"
"Valdez-Cordova Census Area",02261,73.2,6908,"2477 of 3141"
"Fairbanks North Borough",02090,76.2,76189,"2377 of 3141"
"Southeast Fairbanks Census Area",02240,78.1,5380,"2303 of 3141"
"Haines Borough",02100,80.1,2033,"2215 of 3141"
"Denali Borough",02068,83.0,1912,"2064 of 3141"
"Matanuska-Susitna Borough",02170,83.2,84138,"2053 of 3141"
"Kenai Peninsula Borough",02122,83.6,48462,"2035 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
