------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Percent),People (Unemployed),Rank within US
"United States",00000,6.6,10560305,"N/A"
"Alaska",02900,7.7,29548,"47 of 52"
"Denali Borough",02068,1.9,29,"127 of 3141"
"Aleutians West Census Area",02016,1.9,77,"132 of 3141"
"Aleutians East Borough",02013,2.4,59,"195 of 3141"
"Haines Borough",02100,2.7,40,"252 of 3141"
"Juneau City and Borough",02110,4.8,906,"962 of 3141"
"Sitka City and Borough",02220,5.0,247,"1041 of 3141"
"Kodiak Island Borough",02150,5.3,396,"1206 of 3141"
"Wrangell-Petersburg Census Area",02280,5.7,165,"1368 of 3141"
"Anchorage Municipality",02020,5.8,9394,"1434 of 3141"
"Yakutat City and Borough",02282,6.5,26,"1776 of 3141"
"Bristol Bay Borough",02060,6.8,37,"1961 of 3141"
"Ketchikan Gateway Borough",02130,7.0,521,"2063 of 3141"
"Valdez-Cordova Census Area",02261,7.5,384,"2227 of 3141"
"Fairbanks North Borough",02090,8.0,4047,"2421 of 3141"
"Kenai Peninsula Borough",02122,8.6,2397,"2580 of 3141"
"North Slope Borough",02185,9.5,565,"2762 of 3141"
"Matanuska-Susitna Borough",02170,9.8,4646,"2818 of 3141"
"Skagway-Hoonah-Angoon Census Area",02232,10.2,198,"2884 of 3141"
"Dillingham Census Area",02070,11.4,256,"2975 of 3141"
"Southeast Fairbanks Census Area",02240,12.5,420,"3033 of 3141"
"Lake and Peninsula Borough",02164,13.2,88,"3050 of 3141"
"Prince of Wales-Outer Ketchikan Census Area",02201,13.5,433,"3055 of 3141"
"Nome Census Area",02180,16.6,724,"3110 of 3141"
"Bethel Census Area",02050,19.3,1456,"3124 of 3141"
"Yukon-Koyukuk Census Area",02290,19.7,510,"3126 of 3141"
"Northwest Arctic Borough",02188,20.1,669,"3127 of 3141"
"Wade Hampton Census Area",02270,28.8,858,"3141 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
