------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Percent),People (Age 40-64),Rank within US
"Alaska",02900,31.8,234560,"17 of 52"
"United States",00000,32.4,104105673,"N/A"
"Wade Hampton Census Area",02270,22.6,1840,"18 of 3141"
"Northwest Arctic Borough",02188,25.0,1929,"46 of 3141"
"Bethel Census Area",02050,25.6,4594,"62 of 3141"
"Nome Census Area",02180,26.9,2657,"118 of 3141"
"Dillingham Census Area",02070,28.3,1406,"210 of 3141"
"Fairbanks North Borough",02090,28.7,28716,"248 of 3141"
"Anchorage Municipality",02020,30.7,91474,"521 of 3141"
"Yukon-Koyukuk Census Area",02290,31.4,1710,"693 of 3141"
"Lake and Peninsula Borough",02164,31.4,408,"695 of 3141"
"Kodiak Island Borough",02150,31.8,4381,"837 of 3141"
"Haines Borough",02100,32.4,822,"1076 of 3141"
"Matanuska-Susitna Borough",02170,32.9,33312,"1307 of 3141"
"Southeast Fairbanks Census Area",02240,34.1,2347,"1908 of 3141"
"Sitka City and Borough",02220,34.5,3040,"2127 of 3141"
"Yakutat City and Borough",02282,35.0,239,"2383 of 3141"
"Ketchikan Gateway Borough",02130,35.6,4891,"2577 of 3141"
"Kenai Peninsula Borough",02122,35.8,20766,"2649 of 3141"
"Wrangell-Petersburg Census Area",02280,35.9,2067,"2685 of 3141"
"Juneau City and Borough",02110,36.0,11685,"2716 of 3141"
"North Slope Borough",02185,36.9,3597,"2899 of 3141"
"Prince of Wales-Outer Ketchikan Census Area",02201,37.6,2431,"2999 of 3141"
"Valdez-Cordova Census Area",02261,38.2,3603,"3046 of 3141"
"Aleutians West Census Area",02016,41.0,2370,"3113 of 3141"
"Denali Borough",02068,41.0,944,"3114 of 3141"
"Skagway-Hoonah-Angoon Census Area",02232,42.6,1357,"3127 of 3141"
"Bristol Bay Borough",02060,44.5,408,"3131 of 3141"
"Aleutians East Borough",02013,46.9,1566,"3138 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40-64, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
